nice: cannot set niceness: Permission denied
Precompiling packages...
   1318.6 ms  ✓ Adapt → AdaptStaticArraysExt
   2034.6 ms  ✓ Accessors → StaticArraysExt
   1155.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   1060.0 ms  ✓ PDMats → StatsBaseExt
   4559.8 ms  ✓ JSON
   1957.6 ms  ✓ HypergeometricFunctions
   1729.1 ms  ✓ DiffRules
   1772.1 ms  ✓ OhMyThreads
   1408.1 ms  ✓ BangBang → BangBangStaticArraysExt
   1120.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   1480.3 ms  ✓ OhMyThreads → MarkdownExt
   1044.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    906.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1617.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  62163.0 ms  ✓ Static
   3998.6 ms  ✓ StatsFuns
  15264.8 ms  ✓ NearestNeighbors
  14450.8 ms  ✓ RecursiveArrayTools
   2296.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1838.7 ms  ✓ BitTwiddlingConvenienceFunctions
   4432.7 ms  ✓ CPUSummary
   1624.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  17043.7 ms  ✓ ForwardDiff
  64680.2 ms  ✓ Polynomials
   2207.7 ms  ✓ Neighborhood
   1271.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  39696.4 ms  ✓ FFTW
   1085.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   3508.0 ms  ✓ Clustering
   1298.7 ms  ✓ PolyesterWeave
    885.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   1674.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1199.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    874.0 ms  ✓ Roots → RootsForwardDiffExt
   2338.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1272.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1952.2 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
  11149.9 ms  ✓ Distributions
   2061.3 ms  ✓ StateSpaceSets
   2307.6 ms  ✓ Polynomials → PolynomialsFFTWExt
   1741.1 ms  ✓ NLSolversBase
   2727.5 ms  ✓ Distributions → DistributionsTestExt
   1559.4 ms  ✓ LineSearches
   7753.7 ms  ✓ DSP
   4604.9 ms  ✓ DelayEmbeddings
  12672.8 ms  ✓ BlackBoxOptim
   4865.0 ms  ✓ Wavelets
   5319.0 ms  ✓ Optim
   6198.6 ms  ✓ ComplexityMeasures
  38872.0 ms  ✓ StaticArrayInterface
    960.2 ms  ✓ CloseOpenIntervals
   1312.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  23389.8 ms  ✓ SciMLBase
   1428.2 ms  ✓ LayoutPointers
   1635.5 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1650.4 ms  ✓ StrideArraysCore
   2412.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2914.7 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1359.5 ms  ✓ Polyester
   1215.4 ms  ✓ FastBroadcast
   1060.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   4747.4 ms  ✓ SciMLJacobianOperators
  10033.6 ms  ✓ NonlinearSolveBase
   2117.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2151.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   6897.6 ms  ✓ BracketingNonlinearSolve
