nice: cannot set niceness: Permission denied
Precompiling packages...
   4215.7 ms  ✓ PDMats
   6423.5 ms  ✓ PreallocationTools
   6513.1 ms  ✓ MKL_jll
   2591.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2801.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  16196.7 ms  ✓ Accessors
   2788.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   9793.7 ms  ✓ SciMLStructures
   2109.9 ms  ✓ Accessors → LinearAlgebraExt
  23800.5 ms  ✓ Test
  13002.6 ms  ✓ SpecialFunctions
   3836.5 ms  ✓ BangBang
   3493.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3495.9 ms  ✓ Accessors → TestExt
  28700.8 ms  ✓ Static
   3779.3 ms  ✓ DiffRules
   5391.4 ms  ✓ HypergeometricFunctions
   2493.7 ms  ✓ BitTwiddlingConvenienceFunctions
  16905.6 ms  ✓ StatsBase
   7872.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5296.3 ms  ✓ CPUSummary
   3207.6 ms  ✓ PDMats → StatsBaseExt
  12014.2 ms  ✓ SymbolicIndexingInterface
  12800.3 ms  ✓ SciMLOperators
   2812.0 ms  ✓ PolyesterWeave
  10306.0 ms  ✓ OhMyThreads
   2604.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3704.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  42300.3 ms  ✓ StaticArrays
   4288.4 ms  ✓ OhMyThreads → MarkdownExt
  19178.6 ms  ✓ Roots
  12701.7 ms  ✓ StatsFuns
   3188.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3373.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3493.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3490.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4096.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
