nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2390.8 ms  ✓ CloseOpenIntervals
   3792.3 ms  ✓ PolyesterWeave
  17217.6 ms  ✓ Test
  11916.5 ms  ✓ SpecialFunctions
   4200.9 ms  ✓ LayoutPointers
   5193.6 ms  ✓ PDMats
   5543.0 ms  ✓ SymbolicIndexingInterface
   2405.7 ms  ✓ Accessors → TestExt
   2763.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6983.6 ms  ✓ SciMLOperators
   3244.2 ms  ✓ DiffRules
   3086.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   4602.9 ms  ✓ HypergeometricFunctions
   1996.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3889.3 ms  ✓ StrideArraysCore
   5900.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3015.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  10125.5 ms  ✓ StatsBase
   2121.2 ms  ✓ Polyester
  11982.8 ms  ✓ Roots
   7402.5 ms  ✓ RecursiveArrayTools
   1675.4 ms  ✓ FastBroadcast
   4546.7 ms  ✓ StatsFuns
   1694.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1410.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2297.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  27005.0 ms  ✓ StaticArrays
   2636.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2676.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2681.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2791.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3076.3 ms  ✓ Accessors → StaticArraysExt
   3074.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  11997.0 ms  ✓ ForwardDiff
   3788.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3099.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   4300.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
