nice: cannot set niceness: Permission denied
Precompiling packages...
   3498.5 ms  ✓ Adapt → AdaptSparseArraysExt
   3391.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   4002.2 ms  ✓ FiniteDiff
  14518.8 ms  ✓ SpecialFunctions
   2895.9 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   5084.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   4907.6 ms  ✓ PDMats
   3396.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3604.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2904.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  24701.0 ms  ✓ Test
   4083.8 ms  ✓ Accessors → LinearAlgebraExt
   3817.7 ms  ✓ DiffRules
   4311.6 ms  ✓ StochasticDiffEqLevyArea
   4597.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  15883.2 ms  ✓ FunctionWrappersWrappers
   3604.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   3609.0 ms  ✓ Accessors → TestExt
   3812.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3893.6 ms  ✓ BangBang
   3499.6 ms  ✓ BangBang → BangBangTablesExt
   9315.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10419.8 ms  ✓ NLSolversBase
  40806.0 ms  ✓ StaticArrays
  17397.3 ms  ✓ StatsBase
   9102.5 ms  ✓ RespecializeParams
   3301.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3403.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3189.0 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
  16419.4 ms  ✓ StatsFuns
   4274.4 ms  ✓ PDMats → StatsBaseExt
  14101.4 ms  ✓ SymbolicIndexingInterface
  11096.9 ms  ✓ OhMyThreads
   3589.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3408.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3875.1 ms  ✓ Accessors → StaticArraysExt
   3310.4 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4977.6 ms  ✓ ResettableStacks
   3203.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3796.3 ms  ✓ BangBang → BangBangStaticArraysExt
  19421.2 ms  ✓ Roots
   2562.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  10085.1 ms  ✓ LineSearches
  10207.4 ms  ✓ BijectiveHilbert
   2507.2 ms  ✓ OhMyThreads → ProgressMeterExt
   2607.0 ms  ✓ OhMyThreads → MarkdownExt
  12393.7 ms  ✓ ArnoldiMethod
  21614.6 ms  ✓ ForwardDiff
  22593.8 ms  ✓ SciMLOperators
   3690.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   5195.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   5998.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   6394.5 ms  ✓ Roots → RootsForwardDiffExt
   6532.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  37620.2 ms  ✓ FFTW
   9626.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  16473.9 ms  ✓ NearestNeighbors
  14172.0 ms  ✓ Optim
   2017.9 ms  ✓ Neighborhood
  17713.7 ms  ✓ RecursiveArrayTools
  17502.5 ms  ✓ Distributions
   1890.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1993.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1990.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   2086.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2187.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   4424.9 ms  ✓ Clustering
  16816.5 ms  ✓ Graphs
   2247.2 ms  ✓ Distributions → DistributionsTestExt
   4125.6 ms  ✓ StateSpaceSets
   3028.7 ms  ✓ DelayEmbeddings
  12282.5 ms  ✓ BlackBoxOptim
  57515.2 ms  ✓ Polynomials
    812.7 ms  ✓ Polynomials → PolynomialsFFTWExt
    840.9 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
  13821.4 ms  ✓ SciMLBase
   1080.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1397.5 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1988.8 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   4097.2 ms  ✓ DSP
   4352.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   6620.7 ms  ✓ SciMLJacobianOperators
   8499.6 ms  ✓ Wavelets
  92186.3 ms  ✓ REPL
   7774.2 ms  ✓ LineSearch
    917.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
   4838.1 ms  ✓ ComplexityMeasures
