nice: cannot set niceness: Permission denied
Precompiling packages...
   4199.7 ms  ✓ HypergeometricFunctions
   6276.4 ms  ✓ SymbolicIndexingInterface
   7330.1 ms  ✓ SciMLOperators
   3600.0 ms  ✓ OhMyThreads
   1797.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4015.0 ms  ✓ FastBroadcast
   4812.9 ms  ✓ PDMats → StatsBaseExt
   3213.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   6795.6 ms  ✓ StatsFuns
   5349.4 ms  ✓ OhMyThreads → MarkdownExt
  14603.6 ms  ✓ Roots
  28097.2 ms  ✓ StaticArrays
   2219.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  23699.6 ms  ✓ FFTW
   1999.6 ms  ✓ Adapt → AdaptStaticArraysExt
   2412.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2592.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2797.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2920.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2176.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  15509.8 ms  ✓ ForwardDiff
   4409.9 ms  ✓ Accessors → StaticArraysExt
   5011.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2595.0 ms  ✓ Roots → RootsForwardDiffExt
   2995.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  33503.9 ms  ✓ Moshi
   3699.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   3696.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  37914.0 ms  ✓ Parsers
   3593.0 ms  ✓ BangBang → BangBangStaticArraysExt
   5305.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  18734.3 ms  ✓ RecursiveArrayTools
   2033.4 ms  ✓ NLSolversBase
   1362.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1391.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1663.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2582.4 ms  ✓ JSON
   1691.8 ms  ✓ LineSearches
  15144.0 ms  ✓ Distributions
   1013.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  12496.9 ms  ✓ NearestNeighbors
   2285.0 ms  ✓ Distributions → DistributionsTestExt
   1488.1 ms  ✓ Neighborhood
   4270.5 ms  ✓ Optim
   2307.5 ms  ✓ Clustering
   1379.3 ms  ✓ StateSpaceSets
   6166.9 ms  ✓ BlackBoxOptim
   4735.2 ms  ✓ DelayEmbeddings
  45802.0 ms  ✓ Polynomials
    730.2 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   1096.5 ms  ✓ Polynomials → PolynomialsFFTWExt
  15236.9 ms  ✓ SciMLBase
   2475.6 ms  ✓ DSP
   1019.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1360.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1607.6 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2114.6 ms  ✓ Wavelets
   2333.2 ms  ✓ SciMLJacobianOperators
   2627.8 ms  ✓ ComplexityMeasures
   4826.1 ms  ✓ NonlinearSolveBase
   1012.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1196.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3292.1 ms  ✓ BracketingNonlinearSolve
   1144.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2291.7 ms  ✓ DiffEqBase
   1028.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1190.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3418.2 ms  ✓ OrdinaryDiffEqCore
   1175.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4955.7 ms  ✓ OrdinaryDiffEqTsit5
   2161.5 ms  ✓ DynamicalSystemsBase
   3464.5 ms  ✓ Attractors
  207 dependencies successfully precompiled in 107 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
