nice: cannot set niceness: Permission denied
Precompiling packages...
   2592.0 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   3300.1 ms  ✓ Distances → DistancesSparseArraysExt
   6787.4 ms  ✓ MKL_jll
   3093.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3385.9 ms  ✓ FiniteDiff
  13811.7 ms  ✓ FunctionWrappersWrappers
   2419.2 ms  ✓ Accessors → LinearAlgebraExt
  14281.0 ms  ✓ DifferentiationInterface
   4505.1 ms  ✓ PDMats
   3410.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3594.9 ms  ✓ BangBang
   2504.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3499.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4396.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  14200.1 ms  ✓ SpecialFunctions
   2812.1 ms  ✓ BangBang → BangBangTablesExt
   4599.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  28205.3 ms  ✓ Test
   9688.1 ms  ✓ RespecializeParams
   3596.1 ms  ✓ DiffRules
   3881.8 ms  ✓ StochasticDiffEqLevyArea
   3299.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3218.4 ms  ✓ Accessors → TestExt
  12930.2 ms  ✓ SymbolicIndexingInterface
  17888.8 ms  ✓ StatsBase
  10716.8 ms  ✓ NLSolversBase
  45185.1 ms  ✓ StaticArrays
  13210.6 ms  ✓ OhMyThreads
   9212.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4613.3 ms  ✓ PDMats → StatsBaseExt
  19396.5 ms  ✓ Roots
   3302.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3607.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3674.3 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3482.2 ms  ✓ Adapt → AdaptStaticArraysExt
  14782.5 ms  ✓ StatsFuns
   3276.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4089.2 ms  ✓ ResettableStacks
   3274.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3887.0 ms  ✓ Accessors → StaticArraysExt
   3517.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  24392.8 ms  ✓ SciMLOperators
   3909.2 ms  ✓ BangBang → BangBangStaticArraysExt
   3631.9 ms  ✓ OhMyThreads → ProgressMeterExt
   2323.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3498.7 ms  ✓ OhMyThreads → MarkdownExt
  10107.8 ms  ✓ LineSearches
   9903.1 ms  ✓ BijectiveHilbert
   2795.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  11711.7 ms  ✓ ArnoldiMethod
  22515.7 ms  ✓ ForwardDiff
  34320.7 ms  ✓ FFTW
   2106.6 ms  ✓ FastPower → FastPowerForwardDiffExt
   2373.0 ms  ✓ Roots → RootsForwardDiffExt
   2885.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  23201.9 ms  ✓ RecursiveArrayTools
   4408.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2299.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2292.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   2227.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2374.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3090.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   6900.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  16926.6 ms  ✓ NearestNeighbors
  14515.1 ms  ✓ Optim
   1396.5 ms  ✓ Neighborhood
  16183.7 ms  ✓ Distributions
   2522.6 ms  ✓ Clustering
  15804.5 ms  ✓ Graphs
   2247.6 ms  ✓ Distributions → DistributionsTestExt
   2999.8 ms  ✓ StateSpaceSets
   2980.0 ms  ✓ DelayEmbeddings
  57833.2 ms  ✓ Polynomials
  12320.6 ms  ✓ BlackBoxOptim
  16093.9 ms  ✓ SciMLBase
   1305.3 ms  ✓ Polynomials → PolynomialsFFTWExt
   1428.9 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   1306.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1675.8 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1914.4 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2678.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3406.9 ms  ✓ DSP
   4705.6 ms  ✓ SciMLJacobianOperators
   7769.6 ms  ✓ Wavelets
  90211.9 ms  ✓ REPL
  10020.6 ms  ✓ LineSearch
    921.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
   5252.4 ms  ✓ ComplexityMeasures
   4792.4 ms  ✓ Pkg → REPLExt
  17437.6 ms  ✓ PrettyTables
    654.1 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4177.2 ms  ✓ TimerOutputs
   5930.5 ms  ✓ NonlinearSolveBase
    948.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1198.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1596.5 ms  ✓ BracketingNonlinearSolve
   1054.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4559.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   4543.1 ms  ✓ DiffEqBase
   1329.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4348.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   6093.4 ms  ✓ DiffEqCallbacks
   7743.3 ms  ✓ SimpleNonlinearSolve
   6236.7 ms  ✓ OrdinaryDiffEqCore
   5644.9 ms  ✓ DiffEqNoiseProcess
   1207.6 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   1494.7 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   4266.0 ms  ✓ JumpProcesses
   1495.0 ms  ✓ JumpProcesses → JumpProcessesForwardDiffExt
   1505.2 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   3902.9 ms  ✓ StochasticDiffEqCore
  10636.4 ms  ✓ OrdinaryDiffEqTsit5
   2716.7 ms  ✓ StochasticDiffEqHighOrder
   3134.9 ms  ✓ DynamicalSystemsBase
   4619.2 ms  ✓ Attractors
  231 dependencies successfully precompiled in 181 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 149 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 769.05
	System time (seconds): 56.56
	Percent of CPU this job got: 336%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:05.65
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2203764
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 904
	Minor (reclaiming a frame) page faults: 14913346
	Voluntary context switches: 40719
	Involuntary context switches: 74356
	Swaps: 0
	File system inputs: 32
	File system outputs: 1432296
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
