nice: cannot set niceness: Permission denied
Precompiling packages...
   2698.4 ms  ✓ Accessors → LinearAlgebraExt
   3991.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2418.7 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
  13802.9 ms  ✓ FunctionWrappersWrappers
  12791.3 ms  ✓ DifferentiationInterface
   4192.1 ms  ✓ FiniteDiff
   3883.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   4686.7 ms  ✓ PDMats
   6686.5 ms  ✓ MKL_jll
   2380.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3599.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   5285.5 ms  ✓ BangBang
   4123.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  13984.2 ms  ✓ SpecialFunctions
   4207.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  26496.6 ms  ✓ Test
   5307.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   4401.5 ms  ✓ BangBang → BangBangTablesExt
   3801.3 ms  ✓ DiffRules
   4110.4 ms  ✓ StochasticDiffEqLevyArea
  10055.7 ms  ✓ RespecializeParams
   3808.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3510.4 ms  ✓ Accessors → TestExt
  13358.4 ms  ✓ SymbolicIndexingInterface
  16611.6 ms  ✓ StatsBase
  43597.8 ms  ✓ StaticArrays
  11491.2 ms  ✓ OhMyThreads
   8102.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10716.2 ms  ✓ NLSolversBase
   3891.4 ms  ✓ PDMats → StatsBaseExt
   3805.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4282.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4202.4 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3700.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3387.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  15187.8 ms  ✓ StatsFuns
  23296.4 ms  ✓ Roots
   3126.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3696.5 ms  ✓ Accessors → StaticArraysExt
   4697.3 ms  ✓ ResettableStacks
  24801.5 ms  ✓ SciMLOperators
   4111.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3991.5 ms  ✓ BangBang → BangBangStaticArraysExt
   3199.2 ms  ✓ OhMyThreads → MarkdownExt
   3818.2 ms  ✓ OhMyThreads → ProgressMeterExt
   2211.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  10278.0 ms  ✓ BijectiveHilbert
   2505.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  11200.6 ms  ✓ ArnoldiMethod
   6311.0 ms  ✓ LineSearches
  20497.4 ms  ✓ ForwardDiff
   3598.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3610.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   5421.4 ms  ✓ Roots → RootsForwardDiffExt
  23624.2 ms  ✓ RecursiveArrayTools
  34620.1 ms  ✓ FFTW
   8690.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2804.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2991.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   2995.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3424.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3429.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  17381.8 ms  ✓ NearestNeighbors
  10431.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1728.3 ms  ✓ Neighborhood
  16899.7 ms  ✓ Distributions
   3593.0 ms  ✓ Clustering
  15158.4 ms  ✓ Optim
  18216.5 ms  ✓ Graphs
   2802.2 ms  ✓ Distributions → DistributionsTestExt
   3589.6 ms  ✓ StateSpaceSets
   3143.4 ms  ✓ DelayEmbeddings
  59429.7 ms  ✓ Polynomials
  12963.7 ms  ✓ BlackBoxOptim
  16109.2 ms  ✓ SciMLBase
   1195.3 ms  ✓ Polynomials → PolynomialsFFTWExt
   1243.6 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   1108.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1538.2 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1820.2 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2486.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3244.2 ms  ✓ DSP
   6056.2 ms  ✓ SciMLJacobianOperators
   8738.2 ms  ✓ Wavelets
  92199.4 ms  ✓ REPL
   9928.0 ms  ✓ LineSearch
   5539.6 ms  ✓ ComplexityMeasures
    936.3 ms  ✓ LineSearch → LineSearchLineSearchesExt
   4793.7 ms  ✓ Pkg → REPLExt
  18054.3 ms  ✓ PrettyTables
    668.6 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4195.4 ms  ✓ TimerOutputs
   5861.2 ms  ✓ NonlinearSolveBase
    968.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1168.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1614.3 ms  ✓ BracketingNonlinearSolve
   1055.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4593.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   4570.8 ms  ✓ DiffEqBase
   1281.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
