nice: cannot set niceness: Permission denied
Precompiling packages...
   8175.9 ms  ✓ PreallocationTools
   3011.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3206.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2572.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   9315.7 ms  ✓ SciMLStructures
  14014.2 ms  ✓ SpecialFunctions
   2083.6 ms  ✓ Accessors → LinearAlgebraExt
   3784.2 ms  ✓ PDMats
   2899.4 ms  ✓ DiffRules
   4394.1 ms  ✓ HypergeometricFunctions
  24600.8 ms  ✓ Test
   4874.9 ms  ✓ BangBang
   4402.3 ms  ✓ FillArrays → FillArraysPDMatsExt
   3499.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3430.4 ms  ✓ Accessors → TestExt
  10224.4 ms  ✓ NLSolversBase
  27304.5 ms  ✓ Static
  12502.3 ms  ✓ SymbolicIndexingInterface
   8393.9 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3085.7 ms  ✓ BitTwiddlingConvenienceFunctions
  13673.4 ms  ✓ SciMLOperators
  16363.6 ms  ✓ StatsBase
   2607.1 ms  ✓ FastBroadcast → FastBroadcastStaticExt
  11001.7 ms  ✓ OhMyThreads
   2742.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   6527.6 ms  ✓ CPUSummary
   3496.6 ms  ✓ PDMats → StatsBaseExt
   3780.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  13974.7 ms  ✓ StatsFuns
   9403.2 ms  ✓ LineSearches
   2793.1 ms  ✓ OhMyThreads → MarkdownExt
   3096.0 ms  ✓ PolyesterWeave
   3030.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  20615.4 ms  ✓ Roots
  39902.2 ms  ✓ StaticArrays
  21403.0 ms  ✓ ForwardDiff
   3888.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4586.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4513.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4615.9 ms  ✓ BangBang → BangBangStaticArraysExt
   5502.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
   5506.0 ms  ✓ Accessors → StaticArraysExt
   5608.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   7296.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3273.8 ms  ✓ Roots → RootsForwardDiffExt
   4995.8 ms  ✓ FastPower → FastPowerForwardDiffExt
  12913.1 ms  ✓ Optim
   8596.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  45799.8 ms  ✓ Moshi
   6228.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  37424.8 ms  ✓ FFTW
   9102.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  18705.9 ms  ✓ Distributions
  26208.6 ms  ✓ RecursiveArrayTools
  29401.6 ms  ✓ StaticArrayInterface
   4199.9 ms  ✓ Distributions → DistributionsTestExt
   1626.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1707.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1903.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1995.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1699.1 ms  ✓ CloseOpenIntervals
   1900.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1913.9 ms  ✓ LayoutPointers
  14608.0 ms  ✓ NearestNeighbors
   1299.9 ms  ✓ StrideArraysCore
   1091.8 ms  ✓ Neighborhood
    898.3 ms  ✓ Polyester
   2033.7 ms  ✓ Clustering
    716.1 ms  ✓ FastBroadcast → FastBroadcastPolyesterExt
   2277.3 ms  ✓ StateSpaceSets
   1106.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastPolyesterExt
   9609.0 ms  ✓ BlackBoxOptim
   2617.4 ms  ✓ DelayEmbeddings
  56308.6 ms  ✓ Polynomials
    775.1 ms  ✓ Polynomials → PolynomialsFFTWExt
    792.2 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   2192.0 ms  ✓ DSP
  14072.9 ms  ✓ SciMLBase
    912.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1266.2 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1946.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2932.9 ms  ✓ Wavelets
   3261.0 ms  ✓ SciMLJacobianOperators
   3174.3 ms  ✓ ComplexityMeasures
   6233.0 ms  ✓ NonlinearSolveBase
   1130.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3252.0 ms  ✓ BracketingNonlinearSolve
   4655.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1569.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2867.9 ms  ✓ DiffEqBase
   1076.6 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3385.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3799.0 ms  ✓ OrdinaryDiffEqCore
   1187.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4746.0 ms  ✓ OrdinaryDiffEqTsit5
   2693.9 ms  ✓ DynamicalSystemsBase
   3597.6 ms  ✓ Attractors
  211 dependencies successfully precompiled in 134 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 595.04
	System time (seconds): 48.87
	Percent of CPU this job got: 326%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:17.43
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2185420
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 781
	Minor (reclaiming a frame) page faults: 12583142
	Voluntary context switches: 34539
	Involuntary context switches: 61171
	Swaps: 0
	File system inputs: 0
	File system outputs: 1086856
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
