nice: cannot set niceness: Permission denied
Precompiling packages...
   3237.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3309.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3334.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  16293.6 ms  ✓ Accessors
  10401.9 ms  ✓ SpecialFunctions
   2814.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1890.0 ms  ✓ Accessors → LinearAlgebraExt
   4084.3 ms  ✓ PDMats
   3286.7 ms  ✓ DiffRules
   5110.2 ms  ✓ HypergeometricFunctions
   3512.2 ms  ✓ FillArrays → FillArraysPDMatsExt
  23190.7 ms  ✓ Test
  25403.5 ms  ✓ Static
   5695.7 ms  ✓ BangBang
   2651.3 ms  ✓ BitTwiddlingConvenienceFunctions
   3589.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3825.2 ms  ✓ Accessors → TestExt
   5601.8 ms  ✓ CPUSummary
   7605.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  12301.4 ms  ✓ SymbolicIndexingInterface
  16295.8 ms  ✓ StatsBase
   2898.7 ms  ✓ PolyesterWeave
  15107.6 ms  ✓ SciMLOperators
   3095.6 ms  ✓ PDMats → StatsBaseExt
  12595.4 ms  ✓ StatsFuns
   2682.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   9762.8 ms  ✓ OhMyThreads
   3883.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2695.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  40723.2 ms  ✓ StaticArrays
  21267.5 ms  ✓ Roots
   4241.2 ms  ✓ OhMyThreads → MarkdownExt
   3402.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3563.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3505.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3768.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4173.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  22308.6 ms  ✓ ForwardDiff
   4795.8 ms  ✓ Accessors → StaticArraysExt
   5647.2 ms  ✓ BangBang → BangBangStaticArraysExt
   3302.3 ms  ✓ Roots → RootsForwardDiffExt
   5478.7 ms  ✓ FastPower → FastPowerForwardDiffExt
   6492.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  10289.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  49889.2 ms  ✓ Moshi
  10803.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  56090.5 ms  ✓ Parsers
  39477.4 ms  ✓ FFTW
   2029.5 ms  ✓ NLSolversBase
  25407.7 ms  ✓ RecursiveArrayTools
   1275.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1573.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  22618.0 ms  ✓ Distributions
   1683.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3605.8 ms  ✓ JSON
  17625.2 ms  ✓ NearestNeighbors
   4593.0 ms  ✓ LineSearches
   2871.9 ms  ✓ Distributions → DistributionsTestExt
   1475.2 ms  ✓ Neighborhood
   2580.0 ms  ✓ Clustering
   3573.7 ms  ✓ Optim
   2715.7 ms  ✓ StateSpaceSets
   7621.0 ms  ✓ BlackBoxOptim
   3288.0 ms  ✓ DelayEmbeddings
  60911.6 ms  ✓ Polynomials
  50104.4 ms  ✓ StaticArrayInterface
   1097.5 ms  ✓ Polynomials → PolynomialsFFTWExt
    529.4 ms  ✓ CloseOpenIntervals
    617.7 ms  ✓ LayoutPointers
    630.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    715.8 ms  ✓ StrideArraysCore
    876.1 ms  ✓ Polyester
  21473.6 ms  ✓ SciMLBase
   2589.9 ms  ✓ DSP
    744.4 ms  ✓ FastBroadcast
   1054.5 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    757.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1438.3 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2057.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2627.2 ms  ✓ Wavelets
   3054.3 ms  ✓ SciMLJacobianOperators
   3113.2 ms  ✓ ComplexityMeasures
   5717.1 ms  ✓ NonlinearSolveBase
   1089.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1152.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3001.9 ms  ✓ BracketingNonlinearSolve
    934.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2234.7 ms  ✓ DiffEqBase
   1088.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1153.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2824.5 ms  ✓ OrdinaryDiffEqCore
    952.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4351.8 ms  ✓ OrdinaryDiffEqTsit5
   2520.3 ms  ✓ DynamicalSystemsBase
   3341.7 ms  ✓ Attractors
  209 dependencies successfully precompiled in 138 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 617.74
	System time (seconds): 51.25
	Percent of CPU this job got: 334%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:20.22
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2147808
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 741
	Minor (reclaiming a frame) page faults: 12617058
	Voluntary context switches: 34892
	Involuntary context switches: 66281
	Swaps: 0
	File system inputs: 3144
	File system outputs: 1084912
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
