nice: cannot set niceness: Permission denied
Precompiling packages...
   3519.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3635.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
  16702.6 ms  ✓ Accessors
   9088.8 ms  ✓ QuadGK
   2803.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2508.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1598.0 ms  ✓ Accessors → LinearAlgebraExt
   2860.7 ms  ✓ PDMats
  11410.3 ms  ✓ SpecialFunctions
  21410.7 ms  ✓ Test
   3437.8 ms  ✓ FillArrays → FillArraysPDMatsExt
   4383.7 ms  ✓ BangBang
   3591.5 ms  ✓ StochasticDiffEqLevyArea
   3424.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3538.4 ms  ✓ Accessors → TestExt
   3885.4 ms  ✓ DiffRules
   8628.7 ms  ✓ NLSolversBase
   5263.4 ms  ✓ HypergeometricFunctions
   6392.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   9407.6 ms  ✓ SymbolicIndexingInterface
  12496.4 ms  ✓ StatsBase
   6623.1 ms  ✓ OhMyThreads
  11023.6 ms  ✓ SciMLOperators
   6673.2 ms  ✓ LineSearches
   3115.2 ms  ✓ PDMats → StatsBaseExt
   2360.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2509.2 ms  ✓ OhMyThreads → ProgressMeterExt
   2802.4 ms  ✓ OhMyThreads → MarkdownExt
   3424.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  34730.6 ms  ✓ StaticArrays
  15993.2 ms  ✓ Roots
   9925.8 ms  ✓ StatsFuns
   3009.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3115.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3141.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3347.9 ms  ✓ ResettableStacks
   3398.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3388.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3513.8 ms  ✓ Accessors → StaticArraysExt
   3810.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3114.5 ms  ✓ BangBang → BangBangStaticArraysExt
   2889.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  16672.9 ms  ✓ ForwardDiff
  10026.9 ms  ✓ Optim
   2919.5 ms  ✓ Roots → RootsForwardDiffExt
   3539.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  28808.5 ms  ✓ FFTW
   4384.6 ms  ✓ FastPower → FastPowerForwardDiffExt
  11051.6 ms  ✓ ArnoldiMethod
   5071.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  18491.2 ms  ✓ RecursiveArrayTools
   7128.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1193.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1276.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1298.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1771.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  12058.3 ms  ✓ NearestNeighbors
  13121.8 ms  ✓ Distributions
   1126.3 ms  ✓ Neighborhood
   2235.3 ms  ✓ Clustering
   1718.4 ms  ✓ Distributions → DistributionsTestExt
   2504.1 ms  ✓ StateSpaceSets
   8448.8 ms  ✓ Graphs
   2651.0 ms  ✓ DelayEmbeddings
   5581.9 ms  ✓ BlackBoxOptim
  45549.0 ms  ✓ Polynomials
  11942.2 ms  ✓ SciMLBase
   1245.9 ms  ✓ Polynomials → PolynomialsFFTWExt
   1289.1 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
    988.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1271.1 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1511.4 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2158.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2238.5 ms  ✓ DSP
   3127.2 ms  ✓ SciMLJacobianOperators
   2743.1 ms  ✓ Wavelets
   4708.8 ms  ✓ LineSearch
   3325.2 ms  ✓ ComplexityMeasures
    702.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6426.5 ms  ✓ NonlinearSolveBase
    882.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1078.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3166.4 ms  ✓ BracketingNonlinearSolve
   4682.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1513.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3313.8 ms  ✓ DiffEqBase
   1181.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4294.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   5167.1 ms  ✓ OrdinaryDiffEqCore
   5170.1 ms  ✓ DiffEqNoiseProcess
   8461.1 ms  ✓ SimpleNonlinearSolve
   7087.8 ms  ✓ DiffEqCallbacks
   2250.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   1598.0 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   3222.1 ms  ✓ JumpProcesses
   6272.0 ms  ✓ OrdinaryDiffEqTsit5
   1482.2 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   3006.1 ms  ✓ StochasticDiffEqCore
   2220.2 ms  ✓ StochasticDiffEqHighOrder
   2959.9 ms  ✓ DynamicalSystemsBase
   4400.2 ms  ✓ Attractors
  213 dependencies successfully precompiled in 128 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 573.75
	System time (seconds): 49.51
	Percent of CPU this job got: 326%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:10.98
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2194848
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 783
	Minor (reclaiming a frame) page faults: 12952358
	Voluntary context switches: 36045
	Involuntary context switches: 52649
	Swaps: 0
	File system inputs: 0
	File system outputs: 1109536
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
