nice: cannot set niceness: Permission denied
Precompiling packages...
   2703.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2703.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  11299.9 ms  ✓ SpecialFunctions
  15401.0 ms  ✓ Accessors
   3806.1 ms  ✓ PDMats
   2176.8 ms  ✓ DiffRules
  21261.2 ms  ✓ Static
   2195.1 ms  ✓ Accessors → LinearAlgebraExt
   5100.7 ms  ✓ HypergeometricFunctions
   2331.2 ms  ✓ BitTwiddlingConvenienceFunctions
   4308.4 ms  ✓ FillArrays → FillArraysPDMatsExt
   4196.5 ms  ✓ BangBang
  24764.2 ms  ✓ Test
   5513.0 ms  ✓ CPUSummary
   3722.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3498.3 ms  ✓ Accessors → TestExt
  15995.0 ms  ✓ StatsBase
   2816.5 ms  ✓ PolyesterWeave
   7434.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  11200.3 ms  ✓ SymbolicIndexingInterface
  14091.1 ms  ✓ SciMLOperators
  10095.2 ms  ✓ OhMyThreads
   3104.5 ms  ✓ PDMats → StatsBaseExt
  12872.2 ms  ✓ StatsFuns
   2318.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2223.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2914.6 ms  ✓ OhMyThreads → MarkdownExt
   3469.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  20347.9 ms  ✓ ForwardDiff
  42398.3 ms  ✓ StaticArrays
  20006.2 ms  ✓ Roots
   2988.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   3226.9 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3096.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3367.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3398.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3507.5 ms  ✓ Adapt → AdaptStaticArraysExt
   3797.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3902.3 ms  ✓ Accessors → StaticArraysExt
   4274.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  14306.7 ms  ✓ RecursiveArrayTools
   6493.5 ms  ✓ Roots → RootsForwardDiffExt
   7498.0 ms  ✓ BangBang → BangBangStaticArraysExt
  10881.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   6698.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   7399.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  40805.4 ms  ✓ FFTW
  58164.2 ms  ✓ Parsers
   6403.2 ms  ✓ NLSolversBase
  51473.5 ms  ✓ Moshi
  22417.9 ms  ✓ Distributions
   2305.6 ms  ✓ JSON
   2060.9 ms  ✓ Distributions → DistributionsTestExt
  17166.7 ms  ✓ NearestNeighbors
   3801.6 ms  ✓ LineSearches
   1275.5 ms  ✓ Neighborhood
   2378.3 ms  ✓ Clustering
   3615.8 ms  ✓ Optim
   2686.3 ms  ✓ StateSpaceSets
   8853.8 ms  ✓ BlackBoxOptim
   7898.9 ms  ✓ DelayEmbeddings
  55514.5 ms  ✓ StaticArrayInterface
   1068.2 ms  ✓ CloseOpenIntervals
   1152.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1167.1 ms  ✓ LayoutPointers
  19895.2 ms  ✓ SciMLBase
  62827.5 ms  ✓ Polynomials
    913.5 ms  ✓ StrideArraysCore
    833.0 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    954.9 ms  ✓ Polynomials → PolynomialsFFTWExt
   1283.9 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
    696.0 ms  ✓ Polyester
   1935.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    646.0 ms  ✓ FastBroadcast
    561.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2080.3 ms  ✓ DSP
   1795.3 ms  ✓ DiffEqBase
   1080.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1090.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2596.3 ms  ✓ Wavelets
   2868.2 ms  ✓ OrdinaryDiffEqCore
    902.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3110.1 ms  ✓ ComplexityMeasures
   4394.7 ms  ✓ OrdinaryDiffEqTsit5
   2404.7 ms  ✓ DynamicalSystemsBase
   3211.5 ms  ✓ Attractors
  199 dependencies successfully precompiled in 123 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.3 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 591.27
	System time (seconds): 48.13
	Percent of CPU this job got: 346%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:04.70
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2151184
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 643
	Minor (reclaiming a frame) page faults: 11891342
	Voluntary context switches: 31854
	Involuntary context switches: 69407
	Swaps: 0
	File system inputs: 0
	File system outputs: 1024224
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
