nice: cannot set niceness: Permission denied
Precompiling packages...
   3521.9 ms  ✓ Distances → DistancesSparseArraysExt
   3592.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  12595.0 ms  ✓ SpecialFunctions
  16499.8 ms  ✓ Accessors
   3100.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3110.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4310.9 ms  ✓ PDMats
   2498.3 ms  ✓ Accessors → LinearAlgebraExt
   3185.5 ms  ✓ DiffRules
  23998.5 ms  ✓ Test
   5082.3 ms  ✓ HypergeometricFunctions
   3283.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   4099.9 ms  ✓ BangBang
   3799.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  28494.1 ms  ✓ Static
   4008.5 ms  ✓ Accessors → TestExt
   2508.6 ms  ✓ BitTwiddlingConvenienceFunctions
   7806.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4904.3 ms  ✓ CPUSummary
  11698.1 ms  ✓ SymbolicIndexingInterface
  16929.2 ms  ✓ StatsBase
   3097.2 ms  ✓ PolyesterWeave
  13798.6 ms  ✓ SciMLOperators
   3409.1 ms  ✓ PDMats → StatsBaseExt
  11698.1 ms  ✓ OhMyThreads
  41922.9 ms  ✓ StaticArrays
  14409.7 ms  ✓ StatsFuns
   3491.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4503.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3790.0 ms  ✓ OhMyThreads → MarkdownExt
   3395.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3573.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3673.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3702.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3388.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3318.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  21101.8 ms  ✓ Roots
   3798.5 ms  ✓ Accessors → StaticArraysExt
   2296.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3520.5 ms  ✓ BangBang → BangBangStaticArraysExt
  23416.1 ms  ✓ ForwardDiff
   5321.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   7194.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7398.8 ms  ✓ Roots → RootsForwardDiffExt
  60090.0 ms  ✓ Parsers
  12212.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  45090.2 ms  ✓ FFTW
