nice: cannot set niceness: Permission denied
Precompiling packages...
   1904.1 ms  ✓ FillArrays → FillArraysPDMatsExt
   9727.3 ms  ✓ SpecialFunctions
   2402.4 ms  ✓ LineSearches
   1987.0 ms  ✓ BangBang → BangBangTablesExt
   4793.7 ms  ✓ SymbolicIndexingInterface
   6896.6 ms  ✓ StatsBase
   2180.4 ms  ✓ DiffRules
   3300.3 ms  ✓ OhMyThreads
   3078.9 ms  ✓ StochasticDiffEqLevyArea
   2507.4 ms  ✓ PDMats → StatsBaseExt
   2480.9 ms  ✓ OhMyThreads → ProgressMeterExt
   2792.9 ms  ✓ OhMyThreads → MarkdownExt
   5726.2 ms  ✓ StatsFuns
  28223.6 ms  ✓ StaticArrays
   9787.4 ms  ✓ Roots
   2289.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2815.5 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3511.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3938.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4299.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4386.1 ms  ✓ BijectiveHilbert
  14857.8 ms  ✓ SciMLOperators
   6043.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4603.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  11885.3 ms  ✓ Optim
   4216.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   7491.4 ms  ✓ ArnoldiMethod
   4006.4 ms  ✓ Accessors → StaticArraysExt
   6808.6 ms  ✓ ResettableStacks
   4893.1 ms  ✓ BangBang → BangBangStaticArraysExt
  13894.8 ms  ✓ RecursiveArrayTools
   4047.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  14182.8 ms  ✓ ForwardDiff
  23810.6 ms  ✓ FFTW
   2590.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2697.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   2127.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   2320.2 ms  ✓ Roots → RootsForwardDiffExt
   2908.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2998.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2511.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2607.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2649.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3125.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   9685.2 ms  ✓ NearestNeighbors
   8880.4 ms  ✓ Graphs
  12459.1 ms  ✓ Distributions
   1183.5 ms  ✓ Neighborhood
   1880.9 ms  ✓ Clustering
   1364.8 ms  ✓ Distributions → DistributionsTestExt
   1290.2 ms  ✓ StateSpaceSets
   1732.4 ms  ✓ DelayEmbeddings
  12625.6 ms  ✓ SciMLBase
   2871.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
  41224.5 ms  ✓ Polynomials
  11749.8 ms  ✓ BlackBoxOptim
   3770.0 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   3777.3 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   3860.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2494.8 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   2592.0 ms  ✓ Polynomials → PolynomialsFFTWExt
   5001.3 ms  ✓ SciMLJacobianOperators
   5520.8 ms  ✓ DSP
  48954.9 ms  ✓ PrettyTables
    494.5 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   1538.8 ms  ✓ Wavelets
   4887.8 ms  ✓ LineSearch
   1356.0 ms  ✓ LineSearch → LineSearchLineSearchesExt
   3077.7 ms  ✓ TimerOutputs
   2986.9 ms  ✓ ComplexityMeasures
   4346.7 ms  ✓ NonlinearSolveBase
    931.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
    968.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1504.6 ms  ✓ BracketingNonlinearSolve
   3453.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1083.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2954.7 ms  ✓ DiffEqBase
   1025.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   5410.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   7731.6 ms  ✓ SimpleNonlinearSolve
   4946.8 ms  ✓ DiffEqNoiseProcess
   5161.5 ms  ✓ OrdinaryDiffEqCore
   5391.7 ms  ✓ DiffEqCallbacks
   1088.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   1556.6 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   3017.2 ms  ✓ JumpProcesses
   1515.1 ms  ✓ JumpProcesses → JumpProcessesForwardDiffExt
   1577.1 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   2128.3 ms  ✓ StochasticDiffEqCore
   3539.0 ms  ✓ StochasticDiffEqHighOrder
   9479.1 ms  ✓ OrdinaryDiffEqTsit5
   2353.1 ms  ✓ DynamicalSystemsBase
   3519.0 ms  ✓ Attractors
  226 dependencies successfully precompiled in 114 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 398.82
	System time (seconds): 43.57
	Percent of CPU this job got: 385%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:54.88
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1115416
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 825
	Minor (reclaiming a frame) page faults: 10869433
	Voluntary context switches: 273075
	Involuntary context switches: 141535
	Swaps: 0
	File system inputs: 28840
	File system outputs: 1028808
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
