nice: cannot set niceness: Permission denied
Precompiling packages...
   4189.5 ms  ✓ Distances → DistancesSparseArraysExt
   3904.7 ms  ✓ FiniteDiff
   9603.9 ms  ✓ PreallocationTools
   3082.0 ms  ✓ Accessors → LinearAlgebraExt
   2502.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3697.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3489.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2519.6 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   2807.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  12565.6 ms  ✓ FunctionWrappersWrappers
   4409.4 ms  ✓ PDMats
   3521.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4193.1 ms  ✓ BangBang
  13879.9 ms  ✓ SpecialFunctions
   7590.7 ms  ✓ MKL_jll
   3503.2 ms  ✓ FillArrays → FillArraysPDMatsExt
  26507.5 ms  ✓ Test
   3602.8 ms  ✓ BangBang → BangBangTablesExt
   3790.7 ms  ✓ DiffRules
   3918.2 ms  ✓ StochasticDiffEqLevyArea
   3501.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3401.4 ms  ✓ Accessors → TestExt
  10000.2 ms  ✓ NLSolversBase
  10321.2 ms  ✓ RespecializeParams
  13486.6 ms  ✓ SymbolicIndexingInterface
  17013.6 ms  ✓ StatsBase
  10966.5 ms  ✓ OhMyThreads
   8296.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  44173.9 ms  ✓ StaticArrays
   2824.7 ms  ✓ OhMyThreads → ProgressMeterExt
  19418.1 ms  ✓ Roots
   3307.4 ms  ✓ OhMyThreads → MarkdownExt
   3493.4 ms  ✓ PDMats → StatsBaseExt
   3609.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3720.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
  14592.6 ms  ✓ StatsFuns
   3402.4 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
  10302.2 ms  ✓ LineSearches
   3899.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4081.1 ms  ✓ Adapt → AdaptStaticArraysExt
   3293.0 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4697.0 ms  ✓ ResettableStacks
   3597.7 ms  ✓ Accessors → StaticArraysExt
   3973.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3190.9 ms  ✓ BangBang → BangBangStaticArraysExt
   2322.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  24302.9 ms  ✓ SciMLOperators
  10147.6 ms  ✓ BijectiveHilbert
   2081.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  10932.5 ms  ✓ ArnoldiMethod
  19520.5 ms  ✓ ForwardDiff
   1982.1 ms  ✓ FastPower → FastPowerForwardDiffExt
   2332.6 ms  ✓ Roots → RootsForwardDiffExt
   3238.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   5819.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  22206.2 ms  ✓ RecursiveArrayTools
   9430.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  33884.5 ms  ✓ FFTW
  17699.1 ms  ✓ NearestNeighbors
