nice: cannot set niceness: Permission denied
Precompiling packages...
   3193.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   9187.1 ms  ✓ QuadGK
   2334.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1946.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   9419.2 ms  ✓ FunctionWrappersWrappers
   2706.3 ms  ✓ PDMats
  13803.6 ms  ✓ Accessors
  10317.6 ms  ✓ SpecialFunctions
   1793.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   1723.5 ms  ✓ Accessors → LinearAlgebraExt
   2485.3 ms  ✓ DiffRules
   2793.8 ms  ✓ StochasticDiffEqLevyArea
   4092.9 ms  ✓ HypergeometricFunctions
  20199.9 ms  ✓ Test
   4388.2 ms  ✓ BangBang
   7685.1 ms  ✓ NLSolversBase
   3001.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3085.8 ms  ✓ Accessors → TestExt
  12916.7 ms  ✓ StatsBase
   6297.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   8918.8 ms  ✓ SymbolicIndexingInterface
   1900.8 ms  ✓ PDMats → StatsBaseExt
   6199.1 ms  ✓ LineSearches
  11487.5 ms  ✓ SciMLOperators
   7491.3 ms  ✓ OhMyThreads
  34321.1 ms  ✓ StaticArrays
  11869.9 ms  ✓ StatsFuns
   2998.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3207.3 ms  ✓ OhMyThreads → ProgressMeterExt
   3593.1 ms  ✓ OhMyThreads → MarkdownExt
   4100.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  15685.7 ms  ✓ Roots
   3210.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3514.0 ms  ✓ ResettableStacks
   3094.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3833.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4495.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
   5180.7 ms  ✓ Adapt → AdaptStaticArraysExt
   3387.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3983.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3691.2 ms  ✓ Accessors → StaticArraysExt
   3504.0 ms  ✓ BangBang → BangBangStaticArraysExt
  20692.0 ms  ✓ ForwardDiff
  11908.2 ms  ✓ Optim
   3020.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   3301.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3247.4 ms  ✓ Roots → RootsForwardDiffExt
  29581.1 ms  ✓ FFTW
  11469.4 ms  ✓ ArnoldiMethod
   4105.1 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   5300.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  18501.1 ms  ✓ RecursiveArrayTools
   1804.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1842.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1895.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  12012.5 ms  ✓ NearestNeighbors
   2049.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  13149.1 ms  ✓ Distributions
   1225.4 ms  ✓ Neighborhood
   2322.8 ms  ✓ Clustering
   1783.7 ms  ✓ Distributions → DistributionsTestExt
   2477.6 ms  ✓ StateSpaceSets
   8407.1 ms  ✓ Graphs
   2765.0 ms  ✓ DelayEmbeddings
   5691.1 ms  ✓ BlackBoxOptim
  45342.1 ms  ✓ Polynomials
  11507.7 ms  ✓ SciMLBase
   1014.5 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   1017.8 ms  ✓ Polynomials → PolynomialsFFTWExt
    836.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1109.4 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1320.2 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2035.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2345.6 ms  ✓ DSP
   3210.9 ms  ✓ SciMLJacobianOperators
   2695.2 ms  ✓ Wavelets
   3253.6 ms  ✓ ComplexityMeasures
   4685.8 ms  ✓ LineSearch
    718.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6662.2 ms  ✓ NonlinearSolveBase
    902.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1085.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3160.9 ms  ✓ BracketingNonlinearSolve
   4640.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1519.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3370.6 ms  ✓ DiffEqBase
   1197.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4273.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   5291.1 ms  ✓ OrdinaryDiffEqCore
   4708.3 ms  ✓ DiffEqNoiseProcess
   8733.2 ms  ✓ SimpleNonlinearSolve
   7165.8 ms  ✓ DiffEqCallbacks
   2302.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   2101.3 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   3356.8 ms  ✓ JumpProcesses
   6283.3 ms  ✓ OrdinaryDiffEqTsit5
   1469.1 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   3057.1 ms  ✓ StochasticDiffEqCore
   2216.6 ms  ✓ StochasticDiffEqHighOrder
   2994.4 ms  ✓ DynamicalSystemsBase
   4381.1 ms  ✓ Attractors
  214 dependencies successfully precompiled in 128 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 575.58
	System time (seconds): 49.62
	Percent of CPU this job got: 325%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:12.08
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2194588
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 786
	Minor (reclaiming a frame) page faults: 13032408
	Voluntary context switches: 37121
	Involuntary context switches: 53675
	Swaps: 0
	File system inputs: 0
	File system outputs: 1109288
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
