nice: cannot set niceness: Permission denied
Precompiling packages...
   1482.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1481.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1760.0 ms  ✓ PDMats → StatsBaseExt
   6925.7 ms  ✓ Roots
MaybeInplaceSparseArraysExt Waiting for background task / IO / timer.
[pid 3347867] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x304e6940->0x777a1c647910
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  23300.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
TestExt Waiting for background task / IO / timer.
[pid 3347959] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xb3315a0->0x75d175f79180
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  21168.0 ms  ✓ StaticArrays
   5122.3 ms  ✓ StatsFuns
   2909.1 ms  ✓ ResettableStacks
   3436.0 ms  ✓ NLSolversBase
  17689.5 ms  ✓ FFTW
   3916.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3934.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4007.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4086.0 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4303.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4601.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  10796.8 ms  ✓ ForwardDiff
   1894.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5018.0 ms  ✓ ArnoldiMethod
  12300.3 ms  ✓ RecursiveArrayTools
   2375.7 ms  ✓ LineSearches
   1697.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   1704.9 ms  ✓ Roots → RootsForwardDiffExt
   1894.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2105.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1686.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2871.9 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1194.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1356.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  22213.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2497.2 ms  ✓ Optim
  21359.4 ms  ✓ Accessors → TestExt
   5593.1 ms  ✓ NearestNeighbors
   5358.6 ms  ✓ Graphs
   6885.0 ms  ✓ Distributions
    841.8 ms  ✓ Neighborhood
   1244.3 ms  ✓ Clustering
    905.5 ms  ✓ Distributions → DistributionsTestExt
    834.0 ms  ✓ StateSpaceSets
StaticArraysExt Waiting for background task / IO / timer.
[pid 3348627] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x24b0b0c0->0x7fc3048612a0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1459.7 ms  ✓ DelayEmbeddings
   2907.8 ms  ✓ BlackBoxOptim
  29922.0 ms  ✓ Polynomials
RecursiveArrayToolsStatisticsExt Waiting for background task / IO / timer.
[pid 3348914] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2ed15200->0x7b973a74c3d0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
    641.9 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
    655.6 ms  ✓ Polynomials → PolynomialsFFTWExt
   1805.3 ms  ✓ DSP
   1409.3 ms  ✓ Wavelets
   2284.9 ms  ✓ ComplexityMeasures
  23139.7 ms  ✓ Accessors → StaticArraysExt
BangBangStaticArraysExt Waiting for background task / IO / timer.
[pid 3348653] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x26fe3fd0->0x7ad336a6f5e0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  21846.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   6158.6 ms  ✓ SciMLBase
    797.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    980.7 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
    994.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  32397.7 ms  ✓ BangBang → BangBangStaticArraysExt
   1750.7 ms  ✓ SciMLJacobianOperators
   3087.3 ms  ✓ LineSearch
    800.5 ms  ✓ LineSearch → LineSearchLineSearchesExt
   4034.2 ms  ✓ NonlinearSolveBase
    870.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2592.4 ms  ✓ BracketingNonlinearSolve
   2226.4 ms  ✓ DiffEqBase
    803.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1840.5 ms  ✓ DiffEqNoiseProcess
   2427.7 ms  ✓ OrdinaryDiffEqCore
   3152.3 ms  ✓ DiffEqCallbacks
   1344.6 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   1021.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
NonlinearSolveBaseLineSearchExt Waiting for background task / IO / timer.
[pid 3349707] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xd5eb010->0x7115f38ae7a0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   2001.0 ms  ✓ JumpProcesses
NonlinearSolveBaseForwardDiffExt Waiting for background task / IO / timer.
[pid 3349704] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x21d9e710->0x7469a1e505b0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1135.7 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   4138.0 ms  ✓ OrdinaryDiffEqTsit5
  20870.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  21532.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
BracketingNonlinearSolveForwardDiffExt Waiting for background task / IO / timer.
[pid 3349756] waiting for IO to finish:
 Handle type        uv_handle_t->data
