nice: cannot set niceness: Permission denied
Precompiling packages...
   1986.3 ms  ✓ Distances → DistancesSparseArraysExt
   1990.4 ms  ✓ BangBang → BangBangTablesExt
   5108.6 ms  ✓ SymbolicIndexingInterface
   3014.7 ms  ✓ OhMyThreads
   2387.9 ms  ✓ DiffRules
   2596.8 ms  ✓ LineSearches
   2979.9 ms  ✓ StochasticDiffEqLevyArea
   7293.7 ms  ✓ StatsBase
   1989.6 ms  ✓ OhMyThreads → ProgressMeterExt
   2005.6 ms  ✓ OhMyThreads → MarkdownExt
   5802.0 ms  ✓ StatsFuns
   2803.5 ms  ✓ PDMats → StatsBaseExt
  27900.9 ms  ✓ StaticArrays
  10593.6 ms  ✓ Roots
   1879.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3104.1 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3800.1 ms  ✓ BijectiveHilbert
   3582.7 ms  ✓ ResettableStacks
   3897.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4077.3 ms  ✓ Adapt → AdaptStaticArraysExt
   5287.6 ms  ✓ ArnoldiMethod
   5356.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3081.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  10307.8 ms  ✓ Optim
   3191.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  17306.8 ms  ✓ SciMLOperators
   7278.1 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   7094.6 ms  ✓ Accessors → StaticArraysExt
   5246.9 ms  ✓ BangBang → BangBangStaticArraysExt
  13902.4 ms  ✓ RecursiveArrayTools
   2900.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  23678.8 ms  ✓ FFTW
   1693.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   1697.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2008.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2035.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  15099.9 ms  ✓ ForwardDiff
   1687.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   1791.0 ms  ✓ Roots → RootsForwardDiffExt
   1806.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1811.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1995.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2421.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  10226.7 ms  ✓ Graphs
  11429.5 ms  ✓ NearestNeighbors
  12604.6 ms  ✓ Distributions
   1088.5 ms  ✓ Neighborhood
   1777.2 ms  ✓ Clustering
   1218.5 ms  ✓ StateSpaceSets
   1336.8 ms  ✓ Distributions → DistributionsTestExt
   1749.9 ms  ✓ DelayEmbeddings
  12663.7 ms  ✓ SciMLBase
   3027.6 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   4097.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   4389.7 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   4704.1 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
  43008.1 ms  ✓ Polynomials
  13597.6 ms  ✓ BlackBoxOptim
   2685.3 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   2881.5 ms  ✓ Polynomials → PolynomialsFFTWExt
   5270.1 ms  ✓ SciMLJacobianOperators
   4671.8 ms  ✓ DSP
  49183.6 ms  ✓ PrettyTables
    501.6 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   5976.4 ms  ✓ LineSearch
   1583.7 ms  ✓ Wavelets
    936.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
   2829.6 ms  ✓ TimerOutputs
   2811.1 ms  ✓ ComplexityMeasures
   4243.2 ms  ✓ NonlinearSolveBase
    935.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
    958.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1506.6 ms  ✓ BracketingNonlinearSolve
