nice: cannot set niceness: Permission denied
Precompiling packages...
   4498.2 ms  ✓ Adapt → AdaptSparseArraysExt
   4637.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4601.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   4697.2 ms  ✓ Distances → DistancesSparseArraysExt
   3402.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  16354.1 ms  ✓ Static
   3795.4 ms  ✓ BangBang
   2905.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4052.2 ms  ✓ PDMats
   3247.0 ms  ✓ BitTwiddlingConvenienceFunctions
   5196.7 ms  ✓ SymbolicIndexingInterface
   3655.4 ms  ✓ Accessors → TestExt
  13099.9 ms  ✓ SpecialFunctions
   6887.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4898.1 ms  ✓ CPUSummary
   3037.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   8754.6 ms  ✓ SciMLOperators
   3350.4 ms  ✓ DiffRules
   4439.5 ms  ✓ OhMyThreads
   4748.7 ms  ✓ HypergeometricFunctions
   2740.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3150.9 ms  ✓ PolyesterWeave
   3163.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2707.6 ms  ✓ OhMyThreads → MarkdownExt
   7105.2 ms  ✓ RecursiveArrayTools
  11398.4 ms  ✓ StatsBase
  13694.3 ms  ✓ Roots
   2694.5 ms  ✓ PDMats → StatsBaseExt
   2787.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  30908.4 ms  ✓ StaticArrays
   6300.1 ms  ✓ StatsFuns
   2495.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2977.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3044.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3102.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3112.0 ms  ✓ Adapt → AdaptStaticArraysExt
   2341.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3249.2 ms  ✓ BangBang → BangBangStaticArraysExt
   3367.0 ms  ✓ Accessors → StaticArraysExt
  13196.2 ms  ✓ ForwardDiff
   4384.2 ms  ✓ Roots → RootsForwardDiffExt
   4688.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4965.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   5897.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   5889.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   6949.1 ms  ✓ FastPower → FastPowerForwardDiffExt
  44002.5 ms  ✓ Parsers
  13144.8 ms  ✓ NearestNeighbors
  40254.3 ms  ✓ Moshi
   4637.5 ms  ✓ NLSolversBase
  33995.5 ms  ✓ FFTW
   2840.5 ms  ✓ Neighborhood
   5358.4 ms  ✓ JSON
  18240.4 ms  ✓ Distributions
   4139.2 ms  ✓ Clustering
   1622.9 ms  ✓ StateSpaceSets
   3300.8 ms  ✓ LineSearches
