Precompiling Pkg...
   6601.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   9935.7 ms  ✓ NearestNeighbors
  23345.0 ms  ✓ FFTW
  33194.7 ms  ✓ Moshi
   4197.2 ms  ✓ NLSolversBase
   2905.6 ms  ✓ Neighborhood
  40942.3 ms  ✓ Parsers
   3859.3 ms  ✓ Clustering
   1142.0 ms  ✓ StateSpaceSets
  17219.6 ms  ✓ Distributions
   2622.4 ms  ✓ LineSearches
   1584.8 ms  ✓ JSON
    935.4 ms  ✓ Distributions → DistributionsTestExt
   2228.4 ms  ✓ Optim
   1599.8 ms  ✓ DelayEmbeddings
   3119.3 ms  ✓ BlackBoxOptim
  39469.6 ms  ✓ PrettyTables
   2296.9 ms  ✓ SymbolicIndexingInterface
  42637.8 ms  ✓ Polynomials
    760.8 ms  ✓ Polynomials → PolynomialsFFTWExt
   1615.9 ms  ✓ RecursiveArrayTools
    687.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    729.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    752.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2313.5 ms  ✓ DSP
   1718.0 ms  ✓ Wavelets
   6085.2 ms  ✓ SciMLBase
   2536.5 ms  ✓ ComplexityMeasures
   1690.9 ms  ✓ DiffEqBase
   1016.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1158.5 ms  ✓ DiffEqBase → DiffEqBaseDistributionsExt
   1200.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2564.7 ms  ✓ OrdinaryDiffEqCore
    836.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4336.4 ms  ✓ OrdinaryDiffEqTsit5
   1693.1 ms  ✓ DynamicalSystemsBase
   2639.2 ms  ✓ Attractors
  191 dependencies successfully precompiled in 90 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 411.82
	System time (seconds): 34.12
	Percent of CPU this job got: 327%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:16.35
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2058028
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 646
	Minor (reclaiming a frame) page faults: 9132809
	Voluntary context switches: 249837
	Involuntary context switches: 130214
	Swaps: 0
	File system inputs: 672
	File system outputs: 1271240
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
