nice: cannot set niceness: Permission denied
Precompiling packages...
   2852.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   7595.8 ms  ✓ PreallocationTools
   3824.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  13979.4 ms  ✓ QuadGK
  10576.0 ms  ✓ SciMLStructures
   2459.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3300.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  20171.2 ms  ✓ Accessors
  15387.4 ms  ✓ FunctionWrappersWrappers
   4494.1 ms  ✓ PDMats
  16414.6 ms  ✓ SpecialFunctions
   1994.8 ms  ✓ Accessors → LinearAlgebraExt
   2806.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   3293.3 ms  ✓ DiffRules
   3574.8 ms  ✓ BangBang
   5513.5 ms  ✓ HypergeometricFunctions
  28627.8 ms  ✓ Test
  10700.1 ms  ✓ NLSolversBase
   3354.8 ms  ✓ Accessors → TestExt
   4308.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  17411.1 ms  ✓ StatsBase
  14180.4 ms  ✓ SymbolicIndexingInterface
   4200.5 ms  ✓ PDMats → StatsBaseExt
  13437.1 ms  ✓ OhMyThreads
  10389.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3963.8 ms  ✓ OhMyThreads → MarkdownExt
  21071.8 ms  ✓ SciMLOperators
  14032.3 ms  ✓ LineSearches
   2232.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3130.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  50228.9 ms  ✓ Static
  25478.8 ms  ✓ Roots
  20390.7 ms  ✓ StatsFuns
   2261.8 ms  ✓ BitTwiddlingConvenienceFunctions
  53055.9 ms  ✓ StaticArrays
   2234.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3298.4 ms  ✓ FastBroadcast → FastBroadcastStaticExt
   3743.7 ms  ✓ Adapt → AdaptStaticArraysExt
   3857.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4619.1 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4889.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4934.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4630.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4617.5 ms  ✓ Accessors → StaticArraysExt
   8831.3 ms  ✓ CPUSummary
  31569.9 ms  ✓ ForwardDiff
   5182.9 ms  ✓ BangBang → BangBangStaticArraysExt
  15368.7 ms  ✓ Optim
   3564.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   4798.8 ms  ✓ PolyesterWeave
   4923.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   5023.4 ms  ✓ Roots → RootsForwardDiffExt
  45559.4 ms  ✓ FFTW
   7606.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  59104.9 ms  ✓ Moshi
  19767.6 ms  ✓ StaticArrayInterface
  30616.5 ms  ✓ RecursiveArrayTools
  10546.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1798.4 ms  ✓ CloseOpenIntervals
   1753.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1790.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2181.7 ms  ✓ LayoutPointers
   2411.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
