nice: cannot set niceness: Permission denied
Precompiling packages...
   3606.7 ms  ✓ Adapt → AdaptSparseArraysExt
  17307.3 ms  ✓ FindFirstFunctions
   3713.3 ms  ✓ Distances → DistancesSparseArraysExt
   9394.9 ms  ✓ SciMLStructures
   2686.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2496.4 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   3006.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2967.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2924.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  13411.6 ms  ✓ SpecialFunctions
   2297.3 ms  ✓ Accessors → LinearAlgebraExt
   3988.6 ms  ✓ PDMats
   7908.8 ms  ✓ RespecializeParams
   2696.5 ms  ✓ DiffRules
   2801.8 ms  ✓ StochasticDiffEqLevyArea
   2597.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   3799.5 ms  ✓ BangBang
  23317.9 ms  ✓ Test
   8994.6 ms  ✓ NLSolversBase
   3085.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2900.5 ms  ✓ Accessors → TestExt
   9879.2 ms  ✓ SymbolicIndexingInterface
  14482.5 ms  ✓ StatsBase
  11856.0 ms  ✓ StatsFuns
  11487.5 ms  ✓ SciMLOperators
   6183.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2120.4 ms  ✓ PDMats → StatsBaseExt
   9086.4 ms  ✓ OhMyThreads
   1928.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   1817.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2597.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  14213.5 ms  ✓ Roots
   1819.6 ms  ✓ OhMyThreads → ProgressMeterExt
   7004.2 ms  ✓ LineSearches
   2180.2 ms  ✓ OhMyThreads → MarkdownExt
  36025.0 ms  ✓ StaticArrays
   3077.2 ms  ✓ ResettableStacks
   3160.6 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3262.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3293.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3312.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3385.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3511.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3661.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3886.5 ms  ✓ Accessors → StaticArraysExt
  18208.1 ms  ✓ ForwardDiff
   2996.6 ms  ✓ BangBang → BangBangStaticArraysExt
   2668.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   2963.1 ms  ✓ Roots → RootsForwardDiffExt
   3486.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   6971.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  11490.2 ms  ✓ ArnoldiMethod
  31504.8 ms  ✓ FFTW
   8473.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  14479.8 ms  ✓ Optim
  19445.6 ms  ✓ RecursiveArrayTools
   1057.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1164.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1296.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1335.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  16632.9 ms  ✓ Distributions
  12850.3 ms  ✓ NearestNeighbors
   1387.4 ms  ✓ Neighborhood
   2642.8 ms  ✓ Distributions → DistributionsTestExt
   2253.5 ms  ✓ Clustering
   2198.9 ms  ✓ StateSpaceSets
   8441.5 ms  ✓ Graphs
   6535.0 ms  ✓ BlackBoxOptim
   2675.4 ms  ✓ DelayEmbeddings
  46493.4 ms  ✓ Polynomials
  11994.9 ms  ✓ SciMLBase
   1055.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1212.0 ms  ✓ Polynomials → PolynomialsFFTWExt
   1224.6 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   1407.6 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1659.1 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2318.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2263.7 ms  ✓ DSP
   3228.9 ms  ✓ SciMLJacobianOperators
   2709.4 ms  ✓ Wavelets
   4798.5 ms  ✓ LineSearch
   3252.7 ms  ✓ ComplexityMeasures
    812.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6938.9 ms  ✓ NonlinearSolveBase
    918.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1084.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2390.8 ms  ✓ BracketingNonlinearSolve
    998.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4481.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3053.3 ms  ✓ DiffEqBase
   1228.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4311.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   5043.5 ms  ✓ OrdinaryDiffEqCore
   4470.6 ms  ✓ DiffEqNoiseProcess
   6157.6 ms  ✓ DiffEqCallbacks
   1794.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   8762.7 ms  ✓ SimpleNonlinearSolve
   2551.8 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   4186.0 ms  ✓ JumpProcesses
   6596.1 ms  ✓ OrdinaryDiffEqTsit5
   1610.7 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   3053.9 ms  ✓ StochasticDiffEqCore
   2194.6 ms  ✓ StochasticDiffEqHighOrder
   3009.4 ms  ✓ DynamicalSystemsBase
   4407.7 ms  ✓ Attractors
  219 dependencies successfully precompiled in 131 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 591.14
	System time (seconds): 50.91
	Percent of CPU this job got: 330%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:14.45
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2190072
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 808
	Minor (reclaiming a frame) page faults: 13266834
	Voluntary context switches: 36573
	Involuntary context switches: 55972
	Swaps: 0
	File system inputs: 0
	File system outputs: 1135144
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
