nice: cannot set niceness: Permission denied
Precompiling packages...
  17196.1 ms  ✓ Accessors
  13788.6 ms  ✓ SpecialFunctions
   4001.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3316.0 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3006.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2808.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2309.3 ms  ✓ Accessors → LinearAlgebraExt
   2593.3 ms  ✓ DiffRules
   4806.9 ms  ✓ PDMats
   5008.3 ms  ✓ HypergeometricFunctions
   4284.8 ms  ✓ BangBang
  24605.0 ms  ✓ Test
   4897.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   3392.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  29314.5 ms  ✓ Static
   2777.2 ms  ✓ BitTwiddlingConvenienceFunctions
   3800.9 ms  ✓ Accessors → TestExt
  12398.3 ms  ✓ SymbolicIndexingInterface
   8714.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5583.3 ms  ✓ CPUSummary
  16989.5 ms  ✓ StatsBase
  15097.0 ms  ✓ SciMLOperators
  11413.2 ms  ✓ OhMyThreads
   3702.5 ms  ✓ PolyesterWeave
   2884.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3390.2 ms  ✓ PDMats → StatsBaseExt
  15675.1 ms  ✓ StatsFuns
   3393.4 ms  ✓ OhMyThreads → MarkdownExt
  41813.9 ms  ✓ StaticArrays
   5194.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3018.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  22288.9 ms  ✓ Roots
   3501.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3584.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3613.1 ms  ✓ Adapt → AdaptStaticArraysExt
   3910.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3700.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4585.6 ms  ✓ Accessors → StaticArraysExt
   7719.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   5490.2 ms  ✓ BangBang → BangBangStaticArraysExt
  30813.1 ms  ✓ ForwardDiff
   4280.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  44285.4 ms  ✓ FFTW
   4618.7 ms  ✓ FastPower → FastPowerForwardDiffExt
   4880.2 ms  ✓ Roots → RootsForwardDiffExt
  51621.8 ms  ✓ Moshi
  58896.4 ms  ✓ Parsers
   6801.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  23015.0 ms  ✓ Distributions
  10302.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  30083.6 ms  ✓ RecursiveArrayTools
   2501.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   7509.0 ms  ✓ JSON
   2887.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3909.4 ms  ✓ NLSolversBase
   3514.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  35142.9 ms  ✓ StaticArrayInterface
   5206.5 ms  ✓ Distributions → DistributionsTestExt
  23118.3 ms  ✓ NearestNeighbors
   1179.8 ms  ✓ CloseOpenIntervals
   1316.9 ms  ✓ LayoutPointers
   1602.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1903.7 ms  ✓ Neighborhood
   1340.0 ms  ✓ StrideArraysCore
   2870.9 ms  ✓ Clustering
   4116.9 ms  ✓ LineSearches
   1069.5 ms  ✓ Polyester
    975.5 ms  ✓ FastBroadcast
   2813.9 ms  ✓ StateSpaceSets
    925.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3233.4 ms  ✓ Optim
   8347.9 ms  ✓ BlackBoxOptim
   3021.3 ms  ✓ DelayEmbeddings
  62929.5 ms  ✓ Polynomials
    789.5 ms  ✓ Polynomials → PolynomialsFFTWExt
  16444.4 ms  ✓ SciMLBase
    942.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1295.4 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2512.5 ms  ✓ DSP
   2057.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2657.2 ms  ✓ Wavelets
   3345.7 ms  ✓ SciMLJacobianOperators
   3158.9 ms  ✓ ComplexityMeasures
   6460.5 ms  ✓ NonlinearSolveBase
   1130.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1233.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3178.5 ms  ✓ BracketingNonlinearSolve
   1035.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2311.8 ms  ✓ DiffEqBase
   1180.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1202.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3613.8 ms  ✓ OrdinaryDiffEqCore
   1283.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4756.1 ms  ✓ OrdinaryDiffEqTsit5
   2739.1 ms  ✓ DynamicalSystemsBase
   3520.9 ms  ✓ Attractors
  210 dependencies successfully precompiled in 144 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 631.21
	System time (seconds): 51.79
	Percent of CPU this job got: 330%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:26.37
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2180804
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 756
	Minor (reclaiming a frame) page faults: 12567438
	Voluntary context switches: 33918
	Involuntary context switches: 63240
	Swaps: 0
	File system inputs: 41536
	File system outputs: 1073576
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
