nice: cannot set niceness: Permission denied
Precompiling packages...
    799.7 ms  ✓ DiffRules
   1311.3 ms  ✓ HypergeometricFunctions
    841.1 ms  ✓ ResettableStacks
    819.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1630.4 ms  ✓ ArnoldiMethod
    846.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    801.0 ms  ✓ Adapt → AdaptStaticArraysExt
    803.3 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
    878.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
    812.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    788.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    856.7 ms  ✓ Accessors → StaticArraysExt
    867.3 ms  ✓ BangBang → BangBangStaticArraysExt
    720.6 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    929.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    804.6 ms  ✓ OhMyThreads → MarkdownExt
  24642.5 ms  ✓ Polynomials
    690.2 ms  ✓ OhMyThreads → ProgressMeterExt
   2002.3 ms  ✓ StatsFuns
   6110.0 ms  ✓ RecursiveArrayTools
   4896.9 ms  ✓ ForwardDiff
  14077.5 ms  ✓ FFTW
   1320.3 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
    655.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
    750.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    948.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    744.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   6160.3 ms  ✓ NearestNeighbors
    635.9 ms  ✓ FastPower → FastPowerForwardDiffExt
    832.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    811.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   5088.6 ms  ✓ Graphs
    685.3 ms  ✓ Roots → RootsForwardDiffExt
    685.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1505.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
