nice: cannot set niceness: Permission denied
Precompiling packages...
   3911.2 ms  ✓ HypergeometricFunctions
   2293.7 ms  ✓ Distances → DistancesSparseArraysExt
   3795.0 ms  ✓ OhMyThreads
   2425.7 ms  ✓ Polyester
   2004.6 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2408.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   8214.2 ms  ✓ StatsBase
   2192.5 ms  ✓ OhMyThreads → MarkdownExt
   2392.7 ms  ✓ FastBroadcast
  12626.7 ms  ✓ Roots
   2888.0 ms  ✓ PDMats → StatsBaseExt
   7394.6 ms  ✓ StatsFuns
  28013.5 ms  ✓ StaticArrays
   3389.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  24012.3 ms  ✓ FFTW
   2690.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2789.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2792.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  14126.7 ms  ✓ RecursiveArrayTools
  13293.2 ms  ✓ ForwardDiff
   3399.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3595.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2796.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   3184.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3396.2 ms  ✓ Accessors → StaticArraysExt
   3572.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4167.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3620.7 ms  ✓ Roots → RootsForwardDiffExt
   4700.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   5289.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5401.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4898.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   5027.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3291.8 ms  ✓ BangBang → BangBangStaticArraysExt
  33567.2 ms  ✓ Moshi
   2799.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   3387.0 ms  ✓ NLSolversBase
  38976.8 ms  ✓ Parsers
    984.6 ms  ✓ LineSearches
   1256.1 ms  ✓ JSON
  15640.9 ms  ✓ Distributions
  10493.0 ms  ✓ NearestNeighbors
   1322.4 ms  ✓ Distributions → DistributionsTestExt
   3150.5 ms  ✓ Optim
   1183.6 ms  ✓ Neighborhood
   1630.0 ms  ✓ Clustering
    836.7 ms  ✓ StateSpaceSets
   3402.6 ms  ✓ BlackBoxOptim
   1466.5 ms  ✓ DelayEmbeddings
  41000.2 ms  ✓ Polynomials
    810.4 ms  ✓ Polynomials → PolynomialsFFTWExt
  11735.0 ms  ✓ SciMLBase
    843.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1051.8 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1063.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2015.4 ms  ✓ DSP
   1821.4 ms  ✓ SciMLJacobianOperators
   1503.5 ms  ✓ Wavelets
   2345.5 ms  ✓ ComplexityMeasures
   4164.5 ms  ✓ NonlinearSolveBase
    877.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1069.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2794.2 ms  ✓ BracketingNonlinearSolve
   1015.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   1953.3 ms  ✓ DiffEqBase
    874.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1025.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2860.5 ms  ✓ OrdinaryDiffEqCore
   1012.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4010.4 ms  ✓ OrdinaryDiffEqTsit5
   1894.1 ms  ✓ DynamicalSystemsBase
   3022.1 ms  ✓ Attractors
  206 dependencies successfully precompiled in 95 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 303.88
	System time (seconds): 39.90
	Percent of CPU this job got: 358%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:35.98
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 941620
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 542
	Minor (reclaiming a frame) page faults: 9118947
	Voluntary context switches: 255436
	Involuntary context switches: 135408
	Swaps: 0
	File system inputs: 30152
	File system outputs: 755768
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
