nice: cannot set niceness: Permission denied
Precompiling packages...
  12412.3 ms  ✓ QuadGK
  12278.5 ms  ✓ FunctionWrappersWrappers
  13503.0 ms  ✓ SciMLStructures
   7214.6 ms  ✓ MKL_jll
  12197.7 ms  ✓ DifferentiationInterface
   3621.7 ms  ✓ FiniteDiff
   2804.9 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   2918.2 ms  ✓ Accessors → LinearAlgebraExt
   3516.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2395.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   4195.8 ms  ✓ PDMats
   3220.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3594.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3781.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3830.9 ms  ✓ BangBang
   3395.5 ms  ✓ FillArrays → FillArraysPDMatsExt
  25404.3 ms  ✓ Test
  14791.6 ms  ✓ SpecialFunctions
   3186.8 ms  ✓ BangBang → BangBangTablesExt
   9132.8 ms  ✓ RespecializeParams
   3480.6 ms  ✓ Accessors → TestExt
   3501.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4085.7 ms  ✓ StochasticDiffEqLevyArea
   3298.0 ms  ✓ DiffRules
  11596.6 ms  ✓ NLSolversBase
  42706.0 ms  ✓ StaticArrays
  12811.2 ms  ✓ SymbolicIndexingInterface
   8301.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10207.3 ms  ✓ OhMyThreads
  17670.4 ms  ✓ StatsBase
   3098.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3383.4 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3587.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3602.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3933.2 ms  ✓ ResettableStacks
   3207.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3896.9 ms  ✓ Accessors → StaticArraysExt
   3610.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  21306.3 ms  ✓ Roots
   3797.7 ms  ✓ BangBang → BangBangStaticArraysExt
   3864.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2891.8 ms  ✓ OhMyThreads → ProgressMeterExt
  16700.9 ms  ✓ StatsFuns
  10092.6 ms  ✓ BijectiveHilbert
  23994.9 ms  ✓ SciMLOperators
  10791.2 ms  ✓ LineSearches
   3909.6 ms  ✓ OhMyThreads → MarkdownExt
   3803.3 ms  ✓ PDMats → StatsBaseExt
   1468.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  12506.1 ms  ✓ ArnoldiMethod
   2893.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  33987.0 ms  ✓ FFTW
  22233.0 ms  ✓ ForwardDiff
   1700.2 ms  ✓ Roots → RootsForwardDiffExt
   1792.7 ms  ✓ FastPower → FastPowerForwardDiffExt
   2972.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  22090.5 ms  ✓ RecursiveArrayTools
   5172.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  17088.4 ms  ✓ NearestNeighbors
   2812.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2995.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3190.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  15017.2 ms  ✓ Optim
   3316.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   7217.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3600.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2130.5 ms  ✓ Neighborhood
   3180.0 ms  ✓ Clustering
  16255.4 ms  ✓ Distributions
  16807.5 ms  ✓ Graphs
   3051.7 ms  ✓ StateSpaceSets
   1930.5 ms  ✓ Distributions → DistributionsTestExt
   3027.4 ms  ✓ DelayEmbeddings
  14376.5 ms  ✓ SciMLBase
  58571.1 ms  ✓ Polynomials
  12485.1 ms  ✓ BlackBoxOptim
   1836.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1812.3 ms  ✓ Polynomials → PolynomialsFFTWExt
   1843.6 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   2199.0 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   2439.2 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   3115.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2373.8 ms  ✓ DSP
   2768.9 ms  ✓ SciMLJacobianOperators
   2914.6 ms  ✓ Wavelets
   7110.3 ms  ✓ LineSearch
   2502.6 ms  ✓ LineSearch → LineSearchLineSearchesExt
  10526.0 ms  ✓ ComplexityMeasures
  93502.1 ms  ✓ REPL
   4369.2 ms  ✓ Pkg → REPLExt
  17424.5 ms  ✓ PrettyTables
    664.8 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4189.7 ms  ✓ TimerOutputs
   5950.9 ms  ✓ NonlinearSolveBase
    964.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1192.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1622.7 ms  ✓ BracketingNonlinearSolve
   1069.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4571.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   4394.5 ms  ✓ DiffEqBase
   1301.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4301.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   7531.1 ms  ✓ SimpleNonlinearSolve
   6121.7 ms  ✓ DiffEqCallbacks
   6192.7 ms  ✓ OrdinaryDiffEqCore
