Precompiling Pkg...
   2785.6 ms  ✓ OpenSpecFun_jll
   3507.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   3986.5 ms  ✓ FriBidi_jll
   3094.8 ms  ✓ SuiteSparse
   3126.5 ms  ✓ WoodburyMatrices
  17480.2 ms  ✓ Test
   2611.7 ms  ✓ Statistics → SparseArraysExt
   2591.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2193.5 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3409.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4298.8 ms  ✓ StructArrays
   2403.9 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3321.1 ms  ✓ FilePaths
   2192.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2718.6 ms  ✓ Pixman_jll
   2690.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2892.4 ms  ✓ FreeType2_jll
   2785.7 ms  ✓ SortingAlgorithms
   3719.6 ms  ✓ Rmath
   3492.7 ms  ✓ OpenEXR_jll
   2912.2 ms  ✓ libvorbis_jll
   3389.4 ms  ✓ CRlibm
   2977.2 ms  ✓ libsixel_jll
   6990.3 ms  ✓ ColorTypes
   2309.7 ms  ✓ Isoband
   4806.2 ms  ✓ QuadGK
   6299.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3103.9 ms  ✓ GettextRuntime_jll
   2800.9 ms  ✓ Libtiff_jll
   1905.9 ms  ✓ SignedDistanceFields
   5483.9 ms  ✓ MKL_jll
   2410.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2914.2 ms  ✓ AxisAlgorithms
   2093.2 ms  ✓ StructArrays → StructArraysAdaptExt
   3689.3 ms  ✓ PDMats
   7286.7 ms  ✓ Xorg_libxcb_jll
   3002.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2295.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4911.1 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   6988.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5522.1 ms  ✓ FreeType
   6399.2 ms  ✓ Fontconfig_jll
   5710.2 ms  ✓ Glib_jll
   7917.9 ms  ✓ QOI
   4419.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   3405.2 ms  ✓ Xorg_libX11_jll
   9699.4 ms  ✓ IntervalArithmetic
  49014.0 ms  ✓ StyledStrings
  13585.0 ms  ✓ SpecialFunctions
   2787.9 ms  ✓ Xorg_libXrender_jll
   2793.3 ms  ✓ Xorg_libXext_jll
  12792.6 ms  ✓ StatsBase
   2697.7 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2709.0 ms  ✓ ColorTypes → StyledStringsExt
   3095.9 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3100.7 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  11923.1 ms  ✓ ColorVectorSpace
   2591.6 ms  ✓ Cairo_jll
   1780.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3791.1 ms  ✓ HypergeometricFunctions
   2705.8 ms  ✓ Libglvnd_jll
   2582.1 ms  ✓ HarfBuzz_jll
   6498.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  30799.0 ms  ✓ StaticArrays
   3794.6 ms  ✓ libwebp_jll
   4609.6 ms  ✓ libass_jll
   4620.6 ms  ✓ Pango_jll
   3303.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3820.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4321.1 ms  ✓ Adapt → AdaptStaticArraysExt
   4406.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  21290.8 ms  ✓ Colors
   5008.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  36209.6 ms  ✓ SIMD
   8997.5 ms  ✓ StatsFuns
   5090.0 ms  ✓ Graphics
   4801.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6114.3 ms  ✓ OpenEXR
   6301.4 ms  ✓ Animations
   8198.6 ms  ✓ FFMPEG_jll
  33289.0 ms  ✓ FFTW
   7409.7 ms  ✓ Cairo
  17896.9 ms  ✓ ExactPredicates
  13907.3 ms  ✓ Interpolations
   9708.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  52804.5 ms  ✓ Parsers
  17692.5 ms  ✓ ColorSchemes
   6117.2 ms  ✓ JSON
  82713.7 ms  ✓ Unitful
   2295.0 ms  ✓ ColorBrewer
   2181.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2286.5 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2292.7 ms  ✓ Unitful → PrintfExt
  21035.3 ms  ✓ Distributions
   3276.0 ms  ✓ Interpolations → InterpolationsUnitfulExt
  14115.6 ms  ✓ DelaunayTriangulation
   1976.5 ms  ✓ Distributions → DistributionsTestExt
   2060.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2411.6 ms  ✓ KernelDensity
  42338.3 ms  ✓ GeometryBasics
  37704.7 ms  ✓ Automa
   3670.1 ms  ✓ Packing
   3969.6 ms  ✓ ShaderAbstractions
  24888.8 ms  ✓ PlotUtils
   5445.0 ms  ✓ FreeTypeAbstraction
  10769.1 ms  ✓ GridLayoutBase
  49219.4 ms  ✓ ImageCore
   2435.6 ms  ✓ ImageBase
   2908.6 ms  ✓ WebP
   4150.4 ms  ✓ JpegTurbo
   4239.0 ms  ✓ PNGFiles
   2240.9 ms  ✓ ImageAxes
    898.1 ms  ✓ ImageMetadata
   4106.6 ms  ✓ Netpbm
  60457.0 ms  ✓ TiffImages
  86154.3 ms  ✓ REPL
   1036.1 ms  ✓ UnicodeFun
   4871.6 ms  ✓ Pkg → REPLExt
   2022.7 ms  ✓ Sixel
    850.3 ms  ✓ ImageIO
   4303.3 ms  ✓ MathTeXEngine
 116889.2 ms  ✓ Makie
  40268.2 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 306 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 941.28
