nice: cannot set niceness: Permission denied
Precompiling packages...
   4738.0 ms  ✓ Xorg_xtrans_jll
   3836.1 ms  ✓ isoband_jll
   4752.1 ms  ✓ Libiconv_jll
   4008.9 ms  ✓ Libuuid_jll
   4123.2 ms  ✓ FFTW_jll
   5255.4 ms  ✓ Libffi_jll
   4268.6 ms  ✓ FriBidi_jll
   3163.8 ms  ✓ SortingAlgorithms
   3547.0 ms  ✓ OpenSpecFun_jll
   2620.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3055.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3302.7 ms  ✓ StructArrays → StructArraysAdaptExt
   4753.6 ms  ✓ OpenBLASConsistentFPCSR_jll
   3421.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   5246.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   7074.5 ms  ✓ QuadGK
   5191.1 ms  ✓ FilePaths
   4250.4 ms  ✓ LAME_jll
   4217.4 ms  ✓ SuiteSparse
   4423.2 ms  ✓ Rmath
   5227.0 ms  ✓ FreeType2_jll
   4834.9 ms  ✓ WoodburyMatrices
   7283.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3803.9 ms  ✓ Statistics → SparseArraysExt
   3546.9 ms  ✓ Adapt → AdaptSparseArraysExt
  11292.6 ms  ✓ ColorTypes
   5314.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4071.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5098.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3796.8 ms  ✓ SignedDistanceFields
   5488.0 ms  ✓ OpenEXR_jll
   2821.8 ms  ✓ libsixel_jll
   3914.5 ms  ✓ libvorbis_jll
   5960.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   7305.8 ms  ✓ libaom_jll
   2908.1 ms  ✓ Isoband
   6515.8 ms  ✓ Libtiff_jll
   5091.2 ms  ✓ GettextRuntime_jll
  10798.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4747.4 ms  ✓ PDMats
  10193.5 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4828.7 ms  ✓ FreeType
   9604.1 ms  ✓ MKL_jll
   4906.2 ms  ✓ AxisAlgorithms
   3189.0 ms  ✓ ColorTypes → StyledStringsExt
  11564.4 ms  ✓ Xorg_libxcb_jll
   6292.0 ms  ✓ Fontconfig_jll
  45524.3 ms  ✓ StaticArrays
   3042.3 ms  ✓ FillArrays → FillArraysPDMatsExt
   5929.9 ms  ✓ Glib_jll
   4024.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4532.2 ms  ✓ Xorg_libX11_jll
   4378.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  15858.9 ms  ✓ SpecialFunctions
   3614.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3479.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   6508.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  12695.6 ms  ✓ ColorVectorSpace
