Precompiling Pkg...
   4000.6 ms  ✓ FilePathsBase
  16384.8 ms  ✓ Test
   3291.5 ms  ✓ libfdk_aac_jll
  20604.9 ms  ✓ FileIO
   4300.8 ms  ✓ ProgressMeter
   3100.2 ms  ✓ FreeType2_jll
   2705.7 ms  ✓ Pixman_jll
   3503.4 ms  ✓ StructArrays
   7001.9 ms  ✓ ChainRulesCore
   4258.4 ms  ✓ Rmath
   3320.4 ms  ✓ OpenEXR_jll
   2790.6 ms  ✓ CRlibm
   2459.2 ms  ✓ libsixel_jll
   8906.1 ms  ✓ DataStructures
   3601.5 ms  ✓ libvorbis_jll
   2895.2 ms  ✓ Libtiff_jll
   2492.1 ms  ✓ Statistics → SparseArraysExt
   2753.6 ms  ✓ WoodburyMatrices
   2596.8 ms  ✓ SuiteSparse
   2749.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2577.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2206.4 ms  ✓ Isoband
   6389.5 ms  ✓ MKL_jll
   3195.0 ms  ✓ GettextRuntime_jll
   2098.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   9494.1 ms  ✓ ColorVectorSpace
   7293.2 ms  ✓ Xorg_libxcb_jll
   3177.2 ms  ✓ FilePaths
   1992.4 ms  ✓ SignedDistanceFields
   3009.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   1803.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2109.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2716.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   6095.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3895.7 ms  ✓ Fontconfig_jll
   4509.3 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   2396.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4887.1 ms  ✓ FreeType
   3196.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7512.3 ms  ✓ QOI
   3686.9 ms  ✓ PDMats
   4293.9 ms  ✓ SortingAlgorithms
   4676.0 ms  ✓ AxisAlgorithms
   6395.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5494.0 ms  ✓ Glib_jll
   3487.9 ms  ✓ Xorg_libX11_jll
   3258.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   7812.5 ms  ✓ QuadGK
  15106.0 ms  ✓ SpecialFunctions
  21896.8 ms  ✓ Colors
  51491.5 ms  ✓ StyledStrings
   3103.3 ms  ✓ Xorg_libXext_jll
   3409.9 ms  ✓ Xorg_libXrender_jll
   3093.8 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2909.3 ms  ✓ Animations
   3112.2 ms  ✓ Graphics
  13104.9 ms  ✓ IntervalArithmetic
   4699.0 ms  ✓ HypergeometricFunctions
   3199.4 ms  ✓ ColorTypes → StyledStringsExt
   6689.6 ms  ✓ OpenEXR
   3704.2 ms  ✓ Cairo_jll
   7848.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3982.6 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3305.4 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  34707.1 ms  ✓ StaticArrays
  13107.3 ms  ✓ StatsBase
   5792.1 ms  ✓ Libglvnd_jll
   3488.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
