Precompiling Pkg...
   3892.7 ms  ✓ FriBidi_jll
   3514.5 ms  ✓ OpenSpecFun_jll
   1996.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3196.4 ms  ✓ SharedArrays
   3604.7 ms  ✓ AxisArrays
   2802.8 ms  ✓ libfdk_aac_jll
   2712.1 ms  ✓ Pixman_jll
   3693.2 ms  ✓ StructArrays
   3305.6 ms  ✓ FilePaths
   4026.6 ms  ✓ ProgressMeter
   2308.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3000.6 ms  ✓ FreeType2_jll
   3807.9 ms  ✓ Rmath
   2508.4 ms  ✓ SortingAlgorithms
   3313.7 ms  ✓ OpenEXR_jll
   3215.5 ms  ✓ CRlibm
   3104.9 ms  ✓ libsixel_jll
   3287.1 ms  ✓ libvorbis_jll
   4624.9 ms  ✓ QuadGK
   6226.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2796.0 ms  ✓ SuiteSparse
   3106.5 ms  ✓ WoodburyMatrices
   2707.3 ms  ✓ Adapt → AdaptSparseArraysExt
   4076.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3092.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7585.3 ms  ✓ Xorg_libxcb_jll
   7092.3 ms  ✓ MKL_jll
   4602.3 ms  ✓ Libtiff_jll
   3486.2 ms  ✓ Isoband
   2017.4 ms  ✓ SignedDistanceFields
  11304.5 ms  ✓ ColorVectorSpace
   3596.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   7108.7 ms  ✓ GettextRuntime_jll
  10215.8 ms  ✓ IntervalArithmetic
   4008.5 ms  ✓ StructArrays → StructArraysAdaptExt
   3595.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4685.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
  47603.1 ms  ✓ StyledStrings
   7301.4 ms  ✓ FilePathsBase → FilePathsBaseTestExt
  10801.3 ms  ✓ QOI
   2799.6 ms  ✓ Statistics → SparseArraysExt
   3086.9 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   9323.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2713.3 ms  ✓ AxisAlgorithms
   5596.5 ms  ✓ FreeType
   4601.1 ms  ✓ Fontconfig_jll
   3118.1 ms  ✓ Xorg_libX11_jll
   2676.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2896.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3608.3 ms  ✓ Glib_jll
   2796.4 ms  ✓ ColorTypes → StyledStringsExt
   3120.4 ms  ✓ PDMats
   2683.4 ms  ✓ Xorg_libXrender_jll
   2916.7 ms  ✓ Xorg_libXext_jll
  12510.6 ms  ✓ SpecialFunctions
  22300.4 ms  ✓ Colors
   2663.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   3615.9 ms  ✓ Cairo_jll
   3803.2 ms  ✓ Libglvnd_jll
   3102.8 ms  ✓ Graphics
   3183.8 ms  ✓ Animations
   9111.0 ms  ✓ StatsBase
   4681.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   6212.0 ms  ✓ HypergeometricFunctions
  34707.3 ms  ✓ StaticArrays
   7293.4 ms  ✓ OpenEXR
   7704.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4497.5 ms  ✓ libwebp_jll
   5279.6 ms  ✓ HarfBuzz_jll
  36784.2 ms  ✓ SIMD
   3188.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3306.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3401.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3597.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3488.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3318.2 ms  ✓ libass_jll
   3002.1 ms  ✓ Pango_jll
   8379.7 ms  ✓ StatsFuns
   4378.2 ms  ✓ FFMPEG_jll
   8493.1 ms  ✓ Interpolations
   7190.1 ms  ✓ Cairo
   6816.6 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  20213.2 ms  ✓ ColorSchemes
  11612.5 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  58897.9 ms  ✓ Parsers
  39789.9 ms  ✓ FFTW
  26405.1 ms  ✓ ExactPredicates
  20504.8 ms  ✓ Distributions
  85900.0 ms  ✓ Unitful
   2582.4 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2599.3 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   5613.7 ms  ✓ JSON
   2803.4 ms  ✓ Unitful → PrintfExt
   3694.6 ms  ✓ Distributions → DistributionsTestExt
   3791.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   3710.8 ms  ✓ Interpolations → InterpolationsUnitfulExt
   1898.1 ms  ✓ ColorBrewer
   2909.1 ms  ✓ KernelDensity
  10479.5 ms  ✓ DelaunayTriangulation
  36749.0 ms  ✓ Automa
  44009.2 ms  ✓ GeometryBasics
  30588.3 ms  ✓ PlotUtils
   2373.7 ms  ✓ Packing
   3098.4 ms  ✓ ShaderAbstractions
   4981.8 ms  ✓ FreeTypeAbstraction
  57358.2 ms  ✓ ImageCore
   4392.7 ms  ✓ ImageBase
   4677.7 ms  ✓ WebP
  12004.6 ms  ✓ GridLayoutBase
   6373.6 ms  ✓ JpegTurbo
   6379.5 ms  ✓ PNGFiles
   2491.2 ms  ✓ ImageAxes
    878.4 ms  ✓ ImageMetadata
   2418.0 ms  ✓ Netpbm
  62442.8 ms  ✓ TiffImages
  90496.4 ms  ✓ REPL
   1056.2 ms  ✓ UnicodeFun
   4961.6 ms  ✓ Pkg → REPLExt
   2011.8 ms  ✓ Sixel
    868.3 ms  ✓ ImageIO
   4433.0 ms  ✓ MathTeXEngine
 114898.1 ms  ✓ Makie
  38626.6 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 306 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 947.27
	System time (seconds): 58.28
	Percent of CPU this job got: 285%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:51.68
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4862428
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 923
	Minor (reclaiming a frame) page faults: 14948120
	Voluntary context switches: 318874
	Involuntary context switches: 217041
	Swaps: 0
	File system inputs: 72
	File system outputs: 3834632
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
