Precompiling Pkg...
   3698.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4007.4 ms  ✓ XML2_jll
   8792.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5808.6 ms  ✓ QuadGK
   3900.2 ms  ✓ Libgcrypt_jll
   2508.2 ms  ✓ SignedDistanceFields
   3402.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3784.5 ms  ✓ PDMats
   3495.6 ms  ✓ AxisAlgorithms
   5982.3 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   3895.4 ms  ✓ XSLT_jll
   6792.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3708.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   4221.8 ms  ✓ FilePaths
  44793.0 ms  ✓ StyledStrings
   9911.5 ms  ✓ FixedPointNumbers
   9025.1 ms  ✓ StatsBase
   5124.2 ms  ✓ Xorg_libxcb_jll
   1013.7 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1103.7 ms  ✓ Xorg_libX11_jll
   2069.0 ms  ✓ Xorg_libXrender_jll
   2091.9 ms  ✓ Xorg_libXext_jll
  24105.1 ms  ✓ StaticArrays
   5688.9 ms  ✓ ColorTypes
  26521.7 ms  ✓ SIMD
   2920.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3105.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3114.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3199.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1581.8 ms  ✓ StructArrays
   1713.6 ms  ✓ StructArrays → StructArraysAdaptExt
   1828.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   5015.6 ms  ✓ ColorVectorSpace
   2012.0 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3818.6 ms  ✓ Interpolations
   7148.5 ms  ✓ Colors
    796.1 ms  ✓ Graphics
    859.6 ms  ✓ Animations
  59617.2 ms  ✓ Unitful
   2793.1 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2871.2 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3643.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
  43387.0 ms  ✓ Parsers
   2835.2 ms  ✓ JSON
  20249.8 ms  ✓ Automa
    655.1 ms  ✓ ColorBrewer
  49379.0 ms  ✓ REPL
   1127.2 ms  ✓ UnicodeFun
   4430.8 ms  ✓ Pkg → REPLExt
   2580.8 ms  ✓ Graphite2_jll
   2674.1 ms  ✓ OpenSpecFun_jll
   2893.0 ms  ✓ EarCut_jll
   2887.1 ms  ✓ Gettext_jll
   2968.3 ms  ✓ isoband_jll
   2978.8 ms  ✓ libsixel_jll
   2992.2 ms  ✓ Ogg_jll
   2997.7 ms  ✓ CRlibm_jll
   2995.3 ms  ✓ FFTW_jll
   2997.1 ms  ✓ Libffi_jll
   3077.3 ms  ✓ Bzip2_jll
   4000.4 ms  ✓ LazyArtifacts
   4308.1 ms  ✓ PkgVersion
   1607.5 ms  ✓ Isoband
   1686.0 ms  ✓ libvorbis_jll
   1720.2 ms  ✓ Glib_jll
   1733.4 ms  ✓ FreeType2_jll
   1980.2 ms  ✓ IntelOpenMP_jll
   1167.6 ms  ✓ Fontconfig_jll
   1560.1 ms  ✓ FreeType
   3889.7 ms  ✓ IntervalArithmetic
   4311.1 ms  ✓ SpecialFunctions
   1613.1 ms  ✓ Cairo_jll
   8190.5 ms  ✓ FileIO
   2420.6 ms  ✓ MKL_jll
   1789.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2085.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   1895.7 ms  ✓ HarfBuzz_jll
   4413.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2606.2 ms  ✓ libass_jll
   4092.6 ms  ✓ OpenEXR
   3191.5 ms  ✓ Pango_jll
   5101.7 ms  ✓ QOI
  10500.8 ms  ✓ GeometryBasics
   4090.5 ms  ✓ HypergeometricFunctions
   3983.7 ms  ✓ FFMPEG_jll
   4506.5 ms  ✓ Cairo
   4896.3 ms  ✓ Packing
   9609.8 ms  ✓ ColorSchemes
   5577.9 ms  ✓ ShaderAbstractions
  10511.1 ms  ✓ ExactPredicates
   6804.3 ms  ✓ FreeTypeAbstraction
   5510.5 ms  ✓ StatsFuns
   2767.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   7381.2 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  15583.3 ms  ✓ MakieCore
  23316.3 ms  ✓ FFTW
  19016.2 ms  ✓ GridLayoutBase
  14304.5 ms  ✓ MathTeXEngine
   7423.9 ms  ✓ Distributions
  20379.6 ms  ✓ PlotUtils
   3276.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   3373.2 ms  ✓ Distributions → DistributionsTestExt
   1179.2 ms  ✓ KernelDensity
  34655.0 ms  ✓ ImageCore
   2446.1 ms  ✓ ImageBase
   3441.3 ms  ✓ Sixel
   4446.3 ms  ✓ JpegTurbo
   4462.9 ms  ✓ PNGFiles
   2436.2 ms  ✓ ImageAxes
    992.5 ms  ✓ ImageMetadata
   1516.6 ms  ✓ Netpbm
  56389.8 ms  ✓ DelaunayTriangulation
  70434.0 ms  ✓ TiffImages
    895.1 ms  ✓ ImageIO
  84072.3 ms  ✓ Makie
  27916.5 ms  ✓ CairoMakie
  238 dependencies successfully precompiled in 294 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.1 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 942.26
	System time (seconds): 60.74
	Percent of CPU this job got: 294%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:40.80
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3924148
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1035
	Minor (reclaiming a frame) page faults: 15413345
	Voluntary context switches: 329674
	Involuntary context switches: 146592
	Swaps: 0
	File system inputs: 0
	File system outputs: 4115560
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
