nice: cannot set niceness: Permission denied
Precompiling packages...
    589.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    460.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
    661.7 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2570.0 ms  ✓ StatsBase
   1460.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5399.8 ms  ✓ Colors
    697.2 ms  ✓ Unitful → InverseFunctionsUnitfulExt
    753.3 ms  ✓ Unitful → PrintfExt
    578.5 ms  ✓ Unitful → NaNMathExt
    456.4 ms  ✓ Isoband
    680.8 ms  ✓ FreeType2_jll
    731.1 ms  ✓ Rmath
    868.2 ms  ✓ CRlibm
    814.9 ms  ✓ OpenEXR_jll
    664.6 ms  ✓ x264_jll
    724.9 ms  ✓ libvorbis_jll
    588.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2535.4 ms  ✓ SpecialFunctions
    642.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    645.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    672.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
    585.2 ms  ✓ Adapt → AdaptStaticArraysExt
    631.8 ms  ✓ Xorg_libXdmcp_jll
    644.2 ms  ✓ libdrm_jll
    751.6 ms  ✓ GettextRuntime_jll
   1360.5 ms  ✓ QOI
    687.8 ms  ✓ Libtiff_jll
    660.6 ms  ✓ libsixel_jll
    590.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
    461.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
    421.7 ms  ✓ StructArrays → StructArraysAdaptExt
    640.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
    608.8 ms  ✓ FillArrays → FillArraysPDMatsExt
    630.6 ms  ✓ PDMats → StatsBaseExt
    650.0 ms  ✓ Animations
    752.0 ms  ✓ Graphics
   1186.4 ms  ✓ ColorBrewer
  21604.0 ms  ✓ Automa
  22640.4 ms  ✓ GeometryBasics
   1076.6 ms  ✓ FreeType
   5663.3 ms  ✓ ColorSchemes
   1067.4 ms  ✓ Fontconfig_jll
   1431.6 ms  ✓ OpenEXR
   2676.4 ms  ✓ IntervalArithmetic
   1220.3 ms  ✓ HypergeometricFunctions
   1913.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
    736.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2181.9 ms  ✓ Interpolations
   2116.1 ms  ✓ Xorg_libxcb_jll
   1273.0 ms  ✓ Glib_jll
   1308.3 ms  ✓ Packing
   2574.6 ms  ✓ ShaderAbstractions
   4632.7 ms  ✓ FreeTypeAbstraction
  33125.1 ms  ✓ ImageCore
  11704.1 ms  ✓ GridLayoutBase
  78479.8 ms  ✓ REPL
    801.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
    604.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
    820.1 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
    870.3 ms  ✓ Xorg_libX11_jll
   1198.0 ms  ✓ Interpolations → InterpolationsUnitfulExt
   1992.1 ms  ✓ StatsFuns
   2922.2 ms  ✓ ImageBase
   2494.6 ms  ✓ JpegTurbo
   1529.4 ms  ✓ UnicodeFun
  48893.8 ms  ✓ TiffImages
    832.3 ms  ✓ Xorg_libXfixes_jll
   6483.0 ms  ✓ PNGFiles
    686.1 ms  ✓ Xorg_libXrender_jll
    684.9 ms  ✓ Xorg_libXext_jll
    557.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   1488.7 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   1811.1 ms  ✓ ImageAxes
   1063.6 ms  ✓ Cairo_jll
  18308.4 ms  ✓ PlotUtils
   1027.0 ms  ✓ libva_jll
   1095.5 ms  ✓ Libglvnd_jll
   9124.6 ms  ✓ ExactPredicates
   5653.7 ms  ✓ Distributions
   1221.9 ms  ✓ ImageMetadata
    930.7 ms  ✓ HarfBuzz_jll
   1154.2 ms  ✓ libwebp_jll
   1264.4 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  12099.4 ms  ✓ Pkg → REPLExt
    789.4 ms  ✓ libass_jll
    826.6 ms  ✓ Pango_jll
   1730.2 ms  ✓ Netpbm
   1342.5 ms  ✓ KernelDensity
   1840.6 ms  ✓ WebP
   2167.9 ms  ✓ Sixel
   4343.1 ms  ✓ DelaunayTriangulation
   1168.0 ms  ✓ FFMPEG_jll
   1204.8 ms  ✓ Cairo
    850.6 ms  ✓ ImageIO
   5277.1 ms  ✓ MathTeXEngine
 230659.4 ms  ✓ Makie
  95206.8 ms  ✓ CairoMakie
  246 dependencies successfully precompiled in 443 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1057.07
	System time (seconds): 52.30
	Percent of CPU this job got: 207%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 8:54.72
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4721660
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1069
	Minor (reclaiming a frame) page faults: 18184533
	Voluntary context switches: 48012
	Involuntary context switches: 27940
	Swaps: 0
	File system inputs: 96
	File system outputs: 3033064
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
