nice: cannot set niceness: Permission denied
Precompiling packages...
   2515.8 ms  ✓ libvorbis_jll
   9064.7 ms  ✓ Accessors
   2607.8 ms  ✓ Libtiff_jll
   1921.3 ms  ✓ Isoband
   2990.0 ms  ✓ GettextRuntime_jll
   3604.8 ms  ✓ CodecZstd
   1830.2 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   1991.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3599.3 ms  ✓ PDMats
   3881.6 ms  ✓ StructArrays → StructArraysAdaptExt
   6010.6 ms  ✓ Xorg_libxcb_jll
   2692.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2593.6 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   4698.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2598.9 ms  ✓ FilePaths
   2698.0 ms  ✓ AxisAlgorithms
   2602.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3573.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2687.4 ms  ✓ Accessors → LinearAlgebraExt
   3799.9 ms  ✓ Fontconfig_jll
   8068.0 ms  ✓ SignedDistanceFields
   5786.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5170.1 ms  ✓ Accessors → StructArraysExt
   5983.7 ms  ✓ FreeType
  11170.2 ms  ✓ SpecialFunctions
   4797.6 ms  ✓ Accessors → IntervalSetsExt
   4701.9 ms  ✓ Glib_jll
   3375.8 ms  ✓ FillArrays → FillArraysPDMatsExt
  30702.3 ms  ✓ StaticArrays
   3129.2 ms  ✓ Xorg_libX11_jll
  30796.0 ms  ✓ Parsers
   2921.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  13875.7 ms  ✓ FixedPointNumbers
   3307.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4693.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4911.3 ms  ✓ Adapt → AdaptStaticArraysExt
   4263.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
   6711.8 ms  ✓ StatsFuns
  10284.2 ms  ✓ StatsBase
  13700.6 ms  ✓ IntervalArithmetic
   3528.4 ms  ✓ Xorg_libXrender_jll
  36921.5 ms  ✓ SIMD
   5101.4 ms  ✓ Accessors → StaticArraysExt
   9433.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4810.7 ms  ✓ Xorg_libXext_jll
   8192.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3898.4 ms  ✓ Xorg_libXfixes_jll
   3392.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3193.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2902.9 ms  ✓ PDMats → StatsBaseExt
   2613.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2769.5 ms  ✓ Cairo_jll
   1881.9 ms  ✓ libva_jll
   2996.9 ms  ✓ Libglvnd_jll
   3878.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  41735.6 ms  ✓ Automa
   5691.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   7230.8 ms  ✓ ColorTypes
   4324.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
  14803.5 ms  ✓ Roots
   4673.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2126.2 ms  ✓ HarfBuzz_jll
   7622.3 ms  ✓ Interpolations
   2516.6 ms  ✓ libwebp_jll
   1810.3 ms  ✓ Roots → RootsChainRulesCoreExt
   1507.2 ms  ✓ Pango_jll
   1703.6 ms  ✓ libass_jll
   2808.2 ms  ✓ QOI
   1772.7 ms  ✓ FFMPEG_jll
   5988.3 ms  ✓ ColorVectorSpace
   7688.8 ms  ✓ ExactPredicates
   1308.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  10087.7 ms  ✓ Colors
   3195.7 ms  ✓ Graphics
  13276.8 ms  ✓ Distributions
   3598.5 ms  ✓ Animations
  64388.6 ms  ✓ Unitful
   5071.5 ms  ✓ OpenEXR
   2400.7 ms  ✓ Unitful → PrintfExt
   4032.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  11771.7 ms  ✓ DelaunayTriangulation
   3910.0 ms  ✓ Unitful → NaNMathExt
   4077.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4104.2 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   5203.3 ms  ✓ Cairo
   5312.7 ms  ✓ Accessors → UnitfulExt
   5715.4 ms  ✓ Interpolations → InterpolationsUnitfulExt
  31883.6 ms  ✓ GeometryBasics
   5993.7 ms  ✓ Roots → RootsUnitfulExt
   4164.8 ms  ✓ KernelDensity
   1822.5 ms  ✓ Packing
   1830.3 ms  ✓ GeometryBasics → IntervalSetsExt
  11818.1 ms  ✓ ColorSchemes
   2720.8 ms  ✓ ShaderAbstractions
   3452.7 ms  ✓ FreeTypeAbstraction
   7388.0 ms  ✓ GridLayoutBase
  37733.0 ms  ✓ JSON
   7295.4 ms  ✓ MathTeXEngine
    946.3 ms  ✓ ColorBrewer
  11430.1 ms  ✓ PlotUtils
  30182.8 ms  ✓ ImageCore
  40405.7 ms  ✓ TiffImages
   1457.0 ms  ✓ WebP
   1507.1 ms  ✓ Sixel
   1577.0 ms  ✓ JpegTurbo
   1775.2 ms  ✓ ImageBase
   2887.5 ms  ✓ PNGFiles
   1578.2 ms  ✓ ImageAxes
    980.4 ms  ✓ ImageMetadata
    974.6 ms  ✓ Netpbm
    398.0 ms  ✓ ImageIO
 101166.3 ms  ✓ Makie
  34436.9 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 242 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 633.61
	System time (seconds): 54.84
	Percent of CPU this job got: 283%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:02.71
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4040128
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 687
	Minor (reclaiming a frame) page faults: 13481793
	Voluntary context switches: 310782
	Involuntary context switches: 191968
	Swaps: 0
	File system inputs: 0
	File system outputs: 2692064
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
