nice: cannot set niceness: Permission denied
Precompiling packages...
   2795.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2908.3 ms  ✓ WoodburyMatrices
   5893.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3501.5 ms  ✓ Statistics
   2599.4 ms  ✓ Adapt → AdaptSparseArraysExt
   2799.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2897.6 ms  ✓ GettextRuntime_jll
   2804.0 ms  ✓ OpenEXR_jll
   2390.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3702.4 ms  ✓ FreeType
   2705.8 ms  ✓ Fontconfig_jll
   7404.8 ms  ✓ Xorg_libxcb_jll
   2901.4 ms  ✓ AxisAlgorithms
   2610.8 ms  ✓ SignedDistanceFields
   3795.5 ms  ✓ PDMats
   2496.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   3294.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2101.9 ms  ✓ StructArrays → StructArraysAdaptExt
   2806.2 ms  ✓ Glib_jll
   2399.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2307.5 ms  ✓ Xorg_libX11_jll
   2005.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   2079.2 ms  ✓ Xorg_libXext_jll
   2379.6 ms  ✓ Xorg_libXrender_jll
   8294.8 ms  ✓ IntervalArithmetic
  10228.3 ms  ✓ SpecialFunctions
  29700.9 ms  ✓ StaticArrays
   2696.9 ms  ✓ Cairo_jll
   9904.0 ms  ✓ FixedPointNumbers
   3015.7 ms  ✓ Libglvnd_jll
   8807.0 ms  ✓ StatsBase
   3577.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3386.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4621.2 ms  ✓ HypergeometricFunctions
   3610.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4504.6 ms  ✓ Adapt → AdaptStaticArraysExt
   3610.1 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5011.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3827.0 ms  ✓ HarfBuzz_jll
  34876.7 ms  ✓ SIMD
   6981.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4107.1 ms  ✓ libwebp_jll
   3809.6 ms  ✓ PDMats → StatsBaseExt
   2879.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3596.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2789.5 ms  ✓ libass_jll
   3001.9 ms  ✓ Pango_jll
   3798.9 ms  ✓ StructArrays → StructArraysStaticArraysExt
   9510.0 ms  ✓ ColorTypes
   5685.5 ms  ✓ FFMPEG_jll
   8909.9 ms  ✓ Interpolations
  44407.4 ms  ✓ Parsers
  11908.6 ms  ✓ StatsFuns
   7393.5 ms  ✓ QOI
   3490.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  29093.1 ms  ✓ FFTW
  15590.6 ms  ✓ ExactPredicates
   5396.5 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  10523.8 ms  ✓ ColorVectorSpace
   1209.9 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   9496.8 ms  ✓ JSON
  14186.2 ms  ✓ Colors
   1722.0 ms  ✓ Graphics
   2222.7 ms  ✓ Animations
   2622.2 ms  ✓ OpenEXR
   3014.5 ms  ✓ ColorBrewer
  13042.2 ms  ✓ Distributions
   9912.8 ms  ✓ DelaunayTriangulation
   4379.3 ms  ✓ Cairo
   5073.5 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   7376.7 ms  ✓ Distributions → DistributionsTestExt
  74095.9 ms  ✓ Unitful
  38028.2 ms  ✓ GeometryBasics
   2302.6 ms  ✓ Unitful → PrintfExt
  14797.8 ms  ✓ ColorSchemes
  34190.1 ms  ✓ Automa
   6985.2 ms  ✓ KernelDensity
   2824.9 ms  ✓ Packing
   1802.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1887.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3434.0 ms  ✓ ShaderAbstractions
   2240.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
   4234.7 ms  ✓ FreeTypeAbstraction
   7736.2 ms  ✓ GridLayoutBase
   4968.0 ms  ✓ MathTeXEngine
   9941.4 ms  ✓ PlotUtils
  44516.0 ms  ✓ TiffImages
  31063.5 ms  ✓ ImageCore
   1360.7 ms  ✓ Sixel
   1396.2 ms  ✓ WebP
   1463.2 ms  ✓ JpegTurbo
   1689.9 ms  ✓ ImageBase
   2725.5 ms  ✓ PNGFiles
   1540.9 ms  ✓ ImageAxes
    914.9 ms  ✓ ImageMetadata
    931.5 ms  ✓ Netpbm
    378.0 ms  ✓ ImageIO
  92030.9 ms  ✓ Makie
  33395.3 ms  ✓ CairoMakie
  243 dependencies successfully precompiled in 234 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 626.11
	System time (seconds): 55.69
	Percent of CPU this job got: 290%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:54.50
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3822044
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 772
	Minor (reclaiming a frame) page faults: 12788321
	Voluntary context switches: 302808
	Involuntary context switches: 182309
	Swaps: 0
	File system inputs: 432
	File system outputs: 2645160
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
