nice: cannot set niceness: Permission denied
Precompiling packages...
   3893.4 ms  ✓ OpenBLASConsistentFPCSR_jll
   4400.9 ms  ✓ SimpleTraits
   2997.1 ms  ✓ SortingAlgorithms
   2473.8 ms  ✓ StructUtils → StructUtilsTablesExt
   2508.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3894.6 ms  ✓ Pixman_jll
   3698.7 ms  ✓ FreeType2_jll
   6199.2 ms  ✓ FilePathsBase
   3715.1 ms  ✓ SharedArrays
   4302.1 ms  ✓ Rmath
   3269.6 ms  ✓ CRlibm
   4624.0 ms  ✓ ProgressMeter
   3894.0 ms  ✓ libsixel_jll
   4770.1 ms  ✓ OpenEXR_jll
   4026.6 ms  ✓ libvorbis_jll
   2299.6 ms  ✓ Isoband
   3772.6 ms  ✓ Libtiff_jll
  11602.0 ms  ✓ QuadGK
   4135.3 ms  ✓ GettextRuntime_jll
   3522.2 ms  ✓ WoodburyMatrices
   3098.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
  11601.9 ms  ✓ StructArrays
  13499.8 ms  ✓ ChainRulesCore
   3023.7 ms  ✓ SuiteSparse
   3216.2 ms  ✓ Statistics → SparseArraysExt
   3000.2 ms  ✓ Adapt → AdaptSparseArraysExt
  14096.1 ms  ✓ ColorTypes
   3802.5 ms  ✓ AxisAlgorithms
   4494.1 ms  ✓ FreeType
   3083.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4117.5 ms  ✓ FilePaths
   2493.4 ms  ✓ StructArrays → StructArraysAdaptExt
   5501.4 ms  ✓ Fontconfig_jll
  11911.2 ms  ✓ Xorg_libxcb_jll
   2697.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3408.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   5394.5 ms  ✓ Glib_jll
   2403.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4105.0 ms  ✓ PDMats
   2408.8 ms  ✓ ColorTypes → StyledStringsExt
  13576.0 ms  ✓ SpecialFunctions
   3607.9 ms  ✓ Xorg_libX11_jll
   4510.4 ms  ✓ FillArrays → FillArraysPDMatsExt
   9082.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
