Precompiling Pkg...
   3481.1 ms  ✓ FriBidi_jll
   3224.9 ms  ✓ OpenSpecFun_jll
   4108.6 ms  ✓ SharedArrays
   2495.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2284.1 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4990.4 ms  ✓ ProgressMeter
  16920.5 ms  ✓ Test
   2581.7 ms  ✓ Pixman_jll
   3307.5 ms  ✓ FreeType2_jll
   4514.3 ms  ✓ StructArrays
   2181.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3785.5 ms  ✓ OpenEXR_jll
   4200.1 ms  ✓ FilePaths
   2777.6 ms  ✓ Zstd_jll
   3803.5 ms  ✓ Rmath
   3200.6 ms  ✓ CRlibm
   7077.3 ms  ✓ ColorTypes
   2706.2 ms  ✓ Opus_jll
   3076.7 ms  ✓ Libiconv_jll
   2927.9 ms  ✓ WoodburyMatrices
   2784.9 ms  ✓ SuiteSparse
   4598.0 ms  ✓ QuadGK
   2783.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2519.8 ms  ✓ Statistics → SparseArraysExt
   2874.2 ms  ✓ Adapt → AdaptSparseArraysExt
   6213.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2512.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2215.0 ms  ✓ Isoband
   2023.1 ms  ✓ SignedDistanceFields
   2503.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3080.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   5728.6 ms  ✓ MKL_jll
   3802.9 ms  ✓ StructArrays → StructArraysAdaptExt
   4884.7 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4621.0 ms  ✓ FreeType
   6702.3 ms  ✓ Xorg_libxcb_jll
   3690.1 ms  ✓ Libtiff_jll
   6409.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5376.7 ms  ✓ Fontconfig_jll
   4695.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2873.5 ms  ✓ AxisAlgorithms
   3405.1 ms  ✓ GettextRuntime_jll
   4110.5 ms  ✓ PDMats
   4810.6 ms  ✓ Xorg_libX11_jll
  11891.3 ms  ✓ SpecialFunctions
   7889.9 ms  ✓ QOI
  49284.0 ms  ✓ StyledStrings
   4979.9 ms  ✓ Glib_jll
   4089.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   2714.8 ms  ✓ Xorg_libXext_jll
   3493.6 ms  ✓ Xorg_libXrender_jll
  10789.0 ms  ✓ ColorVectorSpace
   2502.0 ms  ✓ ColorTypes → StyledStringsExt
  12128.1 ms  ✓ IntervalArithmetic
   5212.6 ms  ✓ HypergeometricFunctions
   4000.4 ms  ✓ Libglvnd_jll
  12018.7 ms  ✓ StatsBase
   3577.5 ms  ✓ Cairo_jll
   2898.1 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2401.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   8091.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2971.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3321.2 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2717.1 ms  ✓ HarfBuzz_jll
  31174.0 ms  ✓ StaticArrays
   3795.0 ms  ✓ libwebp_jll
   2795.8 ms  ✓ libass_jll
   3478.7 ms  ✓ Pango_jll
   3096.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3190.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3225.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   7386.8 ms  ✓ StatsFuns
   3897.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4090.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2508.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   4712.9 ms  ✓ FFMPEG_jll
  38814.7 ms  ✓ SIMD
   8401.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  28894.1 ms  ✓ Colors
  10887.2 ms  ✓ Interpolations
   3802.8 ms  ✓ Animations
   4515.2 ms  ✓ Graphics
  34528.9 ms  ✓ FFTW
  19714.5 ms  ✓ ExactPredicates
  50699.2 ms  ✓ Parsers
   8683.4 ms  ✓ OpenEXR
   5001.2 ms  ✓ Cairo
   3493.9 ms  ✓ JSON
  22816.2 ms  ✓ Distributions
   3288.0 ms  ✓ ColorBrewer
  17503.5 ms  ✓ ColorSchemes
  85202.2 ms  ✓ Unitful
   4735.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   5591.7 ms  ✓ Distributions → DistributionsTestExt
   2089.5 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2096.8 ms  ✓ Unitful → PrintfExt
   2098.7 ms  ✓ Unitful → InverseFunctionsUnitfulExt
  13875.7 ms  ✓ DelaunayTriangulation
   2801.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
   3518.7 ms  ✓ KernelDensity
  39424.2 ms  ✓ GeometryBasics
   4128.1 ms  ✓ Packing
  35833.0 ms  ✓ Automa
   4439.1 ms  ✓ ShaderAbstractions
   5720.4 ms  ✓ FreeTypeAbstraction
  20329.6 ms  ✓ PlotUtils
  11432.6 ms  ✓ GridLayoutBase
  42402.1 ms  ✓ ImageCore
   2183.2 ms  ✓ ImageBase
   2554.9 ms  ✓ WebP
   4012.0 ms  ✓ JpegTurbo
   4056.3 ms  ✓ PNGFiles
   2229.3 ms  ✓ ImageAxes
   2791.2 ms  ✓ ImageMetadata
   4031.4 ms  ✓ Netpbm
  58514.8 ms  ✓ TiffImages
  86426.9 ms  ✓ REPL
   1034.5 ms  ✓ UnicodeFun
   5000.7 ms  ✓ Pkg → REPLExt
   1996.9 ms  ✓ Sixel
    858.7 ms  ✓ ImageIO
   4310.3 ms  ✓ MathTeXEngine
 114789.2 ms  ✓ Makie
  38259.1 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 302 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 935.15
	System time (seconds): 58.11
	Percent of CPU this job got: 285%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:48.44
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4860564
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1017
	Minor (reclaiming a frame) page faults: 14932925
	Voluntary context switches: 307735
	Involuntary context switches: 223636
	Swaps: 0
	File system inputs: 0
	File system outputs: 3838128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
