nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2880.1 ms  ✓ FriBidi_jll
   2799.2 ms  ✓ OpenBLASConsistentFPCSR_jll
   3089.3 ms  ✓ OpenSpecFun_jll
   2998.8 ms  ✓ SortingAlgorithms
   3408.1 ms  ✓ StructArrays
   2314.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2800.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4217.2 ms  ✓ QuadGK
   2209.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3766.3 ms  ✓ SharedArrays
   4094.7 ms  ✓ ProgressMeter
   2821.8 ms  ✓ Pixman_jll
   3347.6 ms  ✓ FilePaths
   3087.3 ms  ✓ FreeType2_jll
   2284.7 ms  ✓ SuiteSparse
   2797.3 ms  ✓ Statistics → SparseArraysExt
   3089.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2718.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2703.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3953.4 ms  ✓ Rmath
   3142.5 ms  ✓ XZ_jll
   6710.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3725.3 ms  ✓ OpenEXR_jll
   3803.5 ms  ✓ libsixel_jll
   2988.7 ms  ✓ AxisAlgorithms
   3205.9 ms  ✓ libvorbis_jll
   3692.0 ms  ✓ CRlibm
   4386.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2800.1 ms  ✓ Isoband
   3999.1 ms  ✓ SignedDistanceFields
  11091.8 ms  ✓ ColorVectorSpace
   5891.4 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   8555.7 ms  ✓ Xorg_libxcb_jll
   2850.2 ms  ✓ StructArrays → StructArraysAdaptExt
   6151.2 ms  ✓ GettextRuntime_jll
   2389.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2998.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
  10585.2 ms  ✓ MKL_jll
  10201.3 ms  ✓ QOI
   9895.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5256.1 ms  ✓ FreeType
   5953.2 ms  ✓ PDMats
   4898.9 ms  ✓ Xorg_libX11_jll
   4805.7 ms  ✓ Glib_jll
   6822.8 ms  ✓ Libtiff_jll
  56382.3 ms  ✓ StyledStrings
  39959.1 ms  ✓ StaticArrays
  40213.8 ms  ✓ SIMD
   8796.7 ms  ✓ Fontconfig_jll
   3084.3 ms  ✓ FillArrays → FillArraysPDMatsExt
   3107.6 ms  ✓ Xorg_libXrender_jll
   9493.3 ms  ✓ StatsBase
   3402.3 ms  ✓ Xorg_libXext_jll
   2590.4 ms  ✓ ColorTypes → StyledStringsExt
  13309.1 ms  ✓ SpecialFunctions
   3248.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3304.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3092.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3991.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  12501.4 ms  ✓ IntervalArithmetic
   4602.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4499.9 ms  ✓ Cairo_jll
  29586.3 ms  ✓ Colors
   5496.9 ms  ✓ HypergeometricFunctions
   3896.4 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2686.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   5504.5 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   8101.1 ms  ✓ Libglvnd_jll
   3898.7 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4590.8 ms  ✓ Animations
  10295.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   6506.8 ms  ✓ HarfBuzz_jll
   7103.1 ms  ✓ Graphics
  11982.7 ms  ✓ Interpolations
  55992.6 ms  ✓ Parsers
   8401.5 ms  ✓ StatsFuns
   7085.2 ms  ✓ OpenEXR
   4599.6 ms  ✓ libwebp_jll
   3802.6 ms  ✓ libass_jll
   4109.6 ms  ✓ Pango_jll
   3587.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   7050.5 ms  ✓ JSON
  16858.7 ms  ✓ ColorSchemes
   4157.5 ms  ✓ ColorBrewer
   9289.9 ms  ✓ FFMPEG_jll
  11187.3 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  11680.1 ms  ✓ Cairo
  18916.3 ms  ✓ ExactPredicates
  38959.0 ms  ✓ FFTW
  19910.5 ms  ✓ Distributions
  93716.3 ms  ✓ Unitful
   3600.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   4401.2 ms  ✓ Distributions → DistributionsTestExt
   2640.6 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2697.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2838.2 ms  ✓ Unitful → PrintfExt
   4137.1 ms  ✓ Interpolations → InterpolationsUnitfulExt
  15803.3 ms  ✓ DelaunayTriangulation
   7292.7 ms  ✓ KernelDensity
  48909.5 ms  ✓ Automa
  50169.1 ms  ✓ GeometryBasics
   2148.2 ms  ✓ Packing
   2552.3 ms  ✓ ShaderAbstractions
   3431.6 ms  ✓ FreeTypeAbstraction
  31403.5 ms  ✓ PlotUtils
  11998.3 ms  ✓ GridLayoutBase
  54746.8 ms  ✓ ImageCore
   2648.9 ms  ✓ ImageBase
   3151.8 ms  ✓ WebP
   4719.3 ms  ✓ JpegTurbo
   4724.0 ms  ✓ PNGFiles
   2700.5 ms  ✓ ImageAxes
    980.4 ms  ✓ ImageMetadata
   4039.3 ms  ✓ Netpbm
  75857.0 ms  ✓ TiffImages
  93930.0 ms  ✓ REPL
   1170.3 ms  ✓ UnicodeFun
   5599.7 ms  ✓ Pkg → REPLExt
   2196.0 ms  ✓ Sixel
    958.4 ms  ✓ ImageIO
   4821.7 ms  ✓ MathTeXEngine
 127192.7 ms  ✓ Makie
  42695.1 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 335 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.7 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1021.02
	System time (seconds): 71.04
	Percent of CPU this job got: 282%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:26.10
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4849924
	Average resident set size (kbytes): 0
