nice: cannot set niceness: Permission denied
Precompiling packages...
   3902.2 ms  ✓ SortingAlgorithms
  27103.4 ms  ✓ Test
   6606.6 ms  ✓ FilePathsBase
   2492.3 ms  ✓ StructUtils → StructUtilsTablesExt
   4404.6 ms  ✓ SharedArrays
   7398.8 ms  ✓ MKL_jll
   3612.3 ms  ✓ Pixman_jll
   5499.6 ms  ✓ ProgressMeter
   4212.7 ms  ✓ FreeType2_jll
   2419.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4285.6 ms  ✓ Rmath
   3691.9 ms  ✓ CRlibm
   3893.0 ms  ✓ libsixel_jll
   4904.7 ms  ✓ OpenEXR_jll
   3390.9 ms  ✓ SuiteSparse
   3588.9 ms  ✓ WoodburyMatrices
   4093.7 ms  ✓ libvorbis_jll
   3914.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
  12209.6 ms  ✓ QuadGK
   3614.0 ms  ✓ Statistics → SparseArraysExt
  11198.3 ms  ✓ StructArrays
   2496.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3407.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2709.2 ms  ✓ Isoband
  15385.7 ms  ✓ ChainRulesCore
   4294.9 ms  ✓ Libtiff_jll
   2299.6 ms  ✓ SignedDistanceFields
   4805.4 ms  ✓ GettextRuntime_jll
   3104.5 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3915.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4408.1 ms  ✓ FilePaths
  14691.9 ms  ✓ ColorTypes
   4807.5 ms  ✓ FreeType
   8282.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7773.8 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   5900.5 ms  ✓ Fontconfig_jll
  12095.1 ms  ✓ Xorg_libxcb_jll
   4012.4 ms  ✓ AxisAlgorithms
   6200.0 ms  ✓ PDMats
   3102.8 ms  ✓ StructArrays → StructArraysAdaptExt
   3904.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2913.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3915.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
  48025.3 ms  ✓ StaticArrays
  14302.1 ms  ✓ SpecialFunctions
   5783.9 ms  ✓ Glib_jll
   4094.1 ms  ✓ Xorg_libX11_jll
   5413.3 ms  ✓ ColorTypes → StyledStringsExt
   8789.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   6597.3 ms  ✓ FillArrays → FillArraysPDMatsExt
   5312.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   9998.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   6687.5 ms  ✓ Adapt → AdaptStaticArraysExt
  21980.5 ms  ✓ IntervalArithmetic
  17883.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  20293.4 ms  ✓ StatsBase
  10717.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  17002.2 ms  ✓ ColorVectorSpace
  62996.5 ms  ✓ SIMD
   5498.2 ms  ✓ Xorg_libXrender_jll
  64594.9 ms  ✓ Parsers
   3091.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4598.0 ms  ✓ Xorg_libXext_jll
   6689.7 ms  ✓ HypergeometricFunctions
  11393.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3895.0 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4006.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  10677.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3193.8 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3706.7 ms  ✓ PDMats → StatsBaseExt
   8111.3 ms  ✓ QOI
   4882.1 ms  ✓ Cairo_jll
   5506.7 ms  ✓ Libglvnd_jll
   5128.0 ms  ✓ HarfBuzz_jll
  16707.7 ms  ✓ Interpolations
   5098.8 ms  ✓ libass_jll
   5378.9 ms  ✓ Pango_jll
  14383.5 ms  ✓ StatsFuns
  10091.5 ms  ✓ libwebp_jll
  35188.8 ms  ✓ Colors
  46310.3 ms  ✓ FFTW
   5317.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6427.6 ms  ✓ Animations
  25408.7 ms  ✓ JSON
   9788.1 ms  ✓ FFMPEG_jll
  10081.8 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
 109694.4 ms  ✓ Unitful
  10582.4 ms  ✓ OpenEXR
  25322.4 ms  ✓ ExactPredicates
   2517.9 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2714.5 ms  ✓ Unitful → ConstructionBaseUnitfulExt
  12577.1 ms  ✓ Graphics
   2890.2 ms  ✓ Unitful → PrintfExt
   5019.1 ms  ✓ ColorBrewer
   3997.2 ms  ✓ Interpolations → InterpolationsUnitfulExt
  15093.3 ms  ✓ ColorSchemes
   5217.3 ms  ✓ Cairo
  19112.0 ms  ✓ Distributions
   3576.7 ms  ✓ Distributions → DistributionsTestExt
  14114.4 ms  ✓ DelaunayTriangulation
   7986.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  45880.8 ms  ✓ Automa
   4191.8 ms  ✓ KernelDensity
  59522.7 ms  ✓ GeometryBasics
   1480.6 ms  ✓ Packing
   3074.0 ms  ✓ ShaderAbstractions
   3401.2 ms  ✓ FreeTypeAbstraction
  23702.9 ms  ✓ PlotUtils
  16391.4 ms  ✓ GridLayoutBase
 137864.8 ms  ✓ REPL
  53531.7 ms  ✓ ImageCore
   1945.7 ms  ✓ UnicodeFun
   2600.7 ms  ✓ ImageBase
   2782.4 ms  ✓ WebP
   3479.3 ms  ✓ JpegTurbo
   4561.7 ms  ✓ ImageAxes
   7181.3 ms  ✓ PNGFiles
  11358.7 ms  ✓ Pkg → REPLExt
   4414.9 ms  ✓ ImageMetadata
  83533.7 ms  ✓ TiffImages
   1697.3 ms  ✓ Netpbm
   3240.3 ms  ✓ Sixel
    864.6 ms  ✓ ImageIO
   5085.2 ms  ✓ MathTeXEngine
 123210.9 ms  ✓ Makie
  43071.2 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 348 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.2 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1143.12
	System time (seconds): 70.61
	Percent of CPU this job got: 296%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:49.84
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4306876
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 783
	Minor (reclaiming a frame) page faults: 17029722
	Voluntary context switches: 42280
	Involuntary context switches: 129973
	Swaps: 0
	File system inputs: 608
	File system outputs: 3085392
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
