nice: cannot set niceness: Permission denied
Precompiling packages...
   2802.8 ms  ✓ WoodburyMatrices
   2187.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
ConstructionBaseIntervalSetsExt Waiting for background task / IO / timer.
[pid 1414164] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x18dbe300->0x70c280ed3f70
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1995.1 ms  ✓ StructUtils → StructUtilsTablesExt
   2403.6 ms  ✓ FreeType2_jll
   2224.9 ms  ✓ FilePaths
   2420.3 ms  ✓ Xorg_libX11_jll
   2806.8 ms  ✓ Glib_jll
   3094.4 ms  ✓ StructArrays
   2126.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2517.6 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   3803.9 ms  ✓ PDMats
   5606.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2593.9 ms  ✓ AxisAlgorithms
   5822.5 ms  ✓ SignedDistanceFields
   2093.9 ms  ✓ Xorg_libXrender_jll
   2103.7 ms  ✓ Xorg_libXext_jll
   3116.5 ms  ✓ FreeType
   2705.4 ms  ✓ Fontconfig_jll
   2200.1 ms  ✓ Xorg_libXfixes_jll
   2101.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2175.5 ms  ✓ libva_jll
   2485.3 ms  ✓ FillArrays → FillArraysPDMatsExt
   2415.3 ms  ✓ Cairo_jll
   2420.6 ms  ✓ Libglvnd_jll
  10173.6 ms  ✓ SpecialFunctions
   7378.0 ms  ✓ StatsBase
   8906.1 ms  ✓ FixedPointNumbers
   7795.7 ms  ✓ IntervalArithmetic
   1804.8 ms  ✓ HarfBuzz_jll
   1917.5 ms  ✓ PDMats → StatsBaseExt
   2495.3 ms  ✓ libwebp_jll
   1905.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
  22303.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3022.3 ms  ✓ HypergeometricFunctions
   1298.5 ms  ✓ libass_jll
   1703.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
