nice: cannot set niceness: Permission denied
Precompiling packages...
   3694.5 ms  ✓ OpenSpecFun_jll
   3611.4 ms  ✓ FriBidi_jll
   3614.0 ms  ✓ Libuuid_jll
   3539.8 ms  ✓ OpenBLASConsistentFPCSR_jll
   2925.5 ms  ✓ SortingAlgorithms
   2411.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2605.4 ms  ✓ CoreMath
   4199.2 ms  ✓ SharedArrays
   5110.8 ms  ✓ Gamma
   5769.1 ms  ✓ FilePathsBase
   4604.1 ms  ✓ ProgressMeter
   5475.3 ms  ✓ FFTA
   2713.7 ms  ✓ StructUtils → StructUtilsTablesExt
   3703.6 ms  ✓ Pixman_jll
   3592.1 ms  ✓ FreeType2_jll
   3738.0 ms  ✓ libdrm_jll
   3800.9 ms  ✓ Rmath
   4813.2 ms  ✓ OpenEXR_jll
  11736.1 ms  ✓ QuadGK
   2494.9 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3601.2 ms  ✓ WoodburyMatrices
   3298.4 ms  ✓ SuiteSparse
  13100.5 ms  ✓ ChainRulesCore
   3755.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
  10994.5 ms  ✓ StructArrays
   3405.6 ms  ✓ Adapt → AdaptSparseArraysExt
   3986.5 ms  ✓ Statistics → SparseArraysExt
   3588.0 ms  ✓ CRlibm
  17293.2 ms  ✓ Accessors
   4074.0 ms  ✓ libvorbis_jll
   4299.3 ms  ✓ libsixel_jll
   2514.0 ms  ✓ Isoband
   4108.6 ms  ✓ Libtiff_jll
   5235.6 ms  ✓ CodecZstd
   4577.2 ms  ✓ GettextRuntime_jll
   3031.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4256.0 ms  ✓ FilePaths
  14892.2 ms  ✓ ColorTypes
   5199.6 ms  ✓ FreeType
   6714.4 ms  ✓ HypergeometricFunctions
   5392.8 ms  ✓ Fontconfig_jll
   5706.0 ms  ✓ AxisAlgorithms
  45103.3 ms  ✓ StaticArrays
   3636.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2790.4 ms  ✓ StructArrays → StructArraysAdaptExt
   3685.6 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   8116.5 ms  ✓ PDMats
   4882.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
  15791.2 ms  ✓ Xorg_libxcb_jll
   4101.8 ms  ✓ Accessors → StructArraysExt
   8105.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4800.2 ms  ✓ Accessors → LinearAlgebraExt
   4305.3 ms  ✓ Accessors → IntervalSetsExt
   3094.7 ms  ✓ ColorTypes → StyledStringsExt
  51920.2 ms  ✓ Automa
   5383.4 ms  ✓ Glib_jll
  17719.0 ms  ✓ SpecialFunctions
  13584.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3696.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3487.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   6995.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   5894.0 ms  ✓ Adapt → AdaptStaticArraysExt
   5112.0 ms  ✓ Accessors → StaticArraysExt
   5516.8 ms  ✓ FillArrays → FillArraysPDMatsExt
  10190.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5500.8 ms  ✓ Xorg_libX11_jll
  60818.0 ms  ✓ SIMD
  10391.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
  20881.4 ms  ✓ StatsBase
   4109.6 ms  ✓ Xorg_libXrender_jll
   3595.3 ms  ✓ Xorg_libXext_jll
  18026.7 ms  ✓ ColorVectorSpace
   9311.0 ms  ✓ QOI
   4394.0 ms  ✓ Xorg_libXfixes_jll
   9114.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  23110.6 ms  ✓ IntervalArithmetic
   3694.3 ms  ✓ PDMats → StatsBaseExt
   2792.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   4786.2 ms  ✓ Cairo_jll
   2783.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   5486.4 ms  ✓ Libglvnd_jll
   3697.9 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4009.4 ms  ✓ libva_jll
  11781.8 ms  ✓ StatsFuns
   3982.3 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   3397.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4212.9 ms  ✓ HarfBuzz_jll
   3212.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  15913.6 ms  ✓ Interpolations
  27302.9 ms  ✓ Colors
   6607.5 ms  ✓ libwebp_jll
  20618.9 ms  ✓ Roots
   5260.1 ms  ✓ libass_jll
   5518.0 ms  ✓ Pango_jll
   3542.9 ms  ✓ Animations
   5179.1 ms  ✓ Roots → RootsChainRulesCoreExt
  11922.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   7800.2 ms  ✓ OpenEXR
 102691.6 ms  ✓ Unitful
   6621.6 ms  ✓ FFMPEG_jll
  12288.9 ms  ✓ Graphics
   5395.6 ms  ✓ Accessors → UnitfulExt
   5806.7 ms  ✓ Unitful → PrintfExt
   6009.7 ms  ✓ Unitful → NaNMathExt
   6012.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   6213.1 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   5709.7 ms  ✓ Roots → RootsUnitfulExt
   9809.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
  21996.0 ms  ✓ ExactPredicates
