Precompiling Pkg...
   2977.1 ms  ✓ Libuuid_jll
   2995.5 ms  ✓ FriBidi_jll
   2301.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2999.9 ms  ✓ OpenBLASConsistentFPCSR_jll
   2995.6 ms  ✓ OpenSpecFun_jll
   2303.8 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2407.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2883.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3794.2 ms  ✓ StructArrays
   2809.8 ms  ✓ Pixman_jll
   3926.2 ms  ✓ FilePaths
   3198.5 ms  ✓ FreeType2_jll
   2679.2 ms  ✓ SortingAlgorithms
   4090.7 ms  ✓ Rmath
   2719.5 ms  ✓ SuiteSparse
   3208.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3674.1 ms  ✓ OpenEXR_jll
   7596.6 ms  ✓ ColorTypes
   3202.2 ms  ✓ Statistics → SparseArraysExt
   3189.3 ms  ✓ Adapt → AdaptSparseArraysExt
   3005.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5682.4 ms  ✓ QuadGK
   3319.6 ms  ✓ Xorg_libXdmcp_jll
   7603.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3689.0 ms  ✓ libvorbis_jll
   3795.4 ms  ✓ libsixel_jll
   3386.7 ms  ✓ AxisAlgorithms
   3402.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4318.1 ms  ✓ Libtiff_jll
   3411.0 ms  ✓ Isoband
   3785.2 ms  ✓ StructArrays → StructArraysAdaptExt
   3295.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   7892.6 ms  ✓ MKL_jll
   7412.8 ms  ✓ Libgcrypt_jll
   7894.6 ms  ✓ XML2_jll
   3177.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   9708.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   9476.6 ms  ✓ QOI
  51286.0 ms  ✓ StyledStrings
  10907.8 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   3023.1 ms  ✓ SignedDistanceFields
  37981.1 ms  ✓ SIMD
   4487.3 ms  ✓ Fontconfig_jll
   3008.9 ms  ✓ Gettext_jll
   2618.5 ms  ✓ ColorTypes → StyledStringsExt
   7919.3 ms  ✓ FreeType
   7410.7 ms  ✓ PDMats
   4692.3 ms  ✓ XSLT_jll
  38995.6 ms  ✓ StaticArrays
  13802.7 ms  ✓ SpecialFunctions
   3083.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3496.1 ms  ✓ FillArrays → FillArraysPDMatsExt
   4497.6 ms  ✓ Glib_jll
   3191.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  11001.1 ms  ✓ ColorVectorSpace
  10809.3 ms  ✓ StatsBase
   4385.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  19506.6 ms  ✓ IntervalArithmetic
   6104.2 ms  ✓ Xorg_libxcb_jll
   2919.6 ms  ✓ Adapt → AdaptStaticArraysExt
   3584.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3394.2 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   4311.0 ms  ✓ HypergeometricFunctions
   2300.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2801.4 ms  ✓ Xorg_libX11_jll
   2298.6 ms  ✓ Xorg_libXrender_jll
   7619.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2481.3 ms  ✓ Xorg_libXext_jll
  21600.2 ms  ✓ Colors
   8499.2 ms  ✓ Interpolations
   6494.5 ms  ✓ StatsFuns
   3410.4 ms  ✓ Cairo_jll
   4501.3 ms  ✓ Libglvnd_jll
   3190.1 ms  ✓ Graphics
   3595.8 ms  ✓ Animations
   4395.6 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   7301.8 ms  ✓ HarfBuzz_jll
  11107.7 ms  ✓ OpenEXR
  11187.9 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   7903.4 ms  ✓ libwebp_jll
  22004.3 ms  ✓ ExactPredicates
   4103.3 ms  ✓ libass_jll
  39512.6 ms  ✓ FFTW
   9116.3 ms  ✓ Pango_jll
   5296.2 ms  ✓ FFMPEG_jll
  19993.6 ms  ✓ ColorSchemes
   8486.6 ms  ✓ Cairo
  97295.6 ms  ✓ Unitful
  87590.0 ms  ✓ Parsers
   3084.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3193.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
  32316.3 ms  ✓ Distributions
   4882.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
  53226.1 ms  ✓ Automa
   6404.8 ms  ✓ JSON
   4294.4 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  24900.9 ms  ✓ DelaunayTriangulation
   4897.2 ms  ✓ Distributions → DistributionsTestExt
  50421.7 ms  ✓ GeometryBasics
   1588.5 ms  ✓ ColorBrewer
   3414.5 ms  ✓ KernelDensity
   2603.6 ms  ✓ Packing
   2790.0 ms  ✓ ShaderAbstractions
   3870.2 ms  ✓ FreeTypeAbstraction
   6601.1 ms  ✓ MakieCore
  10824.4 ms  ✓ GridLayoutBase
  30288.9 ms  ✓ PlotUtils
  54644.5 ms  ✓ ImageCore
   2264.3 ms  ✓ ImageBase
   2688.6 ms  ✓ WebP
   3904.3 ms  ✓ JpegTurbo
   4100.1 ms  ✓ PNGFiles
   2121.4 ms  ✓ ImageAxes
    886.0 ms  ✓ ImageMetadata
   1425.9 ms  ✓ Netpbm
  93986.9 ms  ✓ REPL
   1079.7 ms  ✓ UnicodeFun
   5144.6 ms  ✓ Pkg → REPLExt
   6376.6 ms  ✓ Sixel
  10393.8 ms  ✓ MathTeXEngine
 108206.6 ms  ✓ TiffImages
    785.0 ms  ✓ ImageIO
  84730.6 ms  ✓ Makie
  27978.2 ms  ✓ CairoMakie
  250 dependencies successfully precompiled in 280 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.4 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 935.87
	System time (seconds): 63.70
	Percent of CPU this job got: 307%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:24.56
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3949504
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 874
	Minor (reclaiming a frame) page faults: 14804749
	Voluntary context switches: 334869
	Involuntary context switches: 232506
	Swaps: 0
	File system inputs: 24
	File system outputs: 3668504
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
