nice: cannot set niceness: Permission denied
Precompiling packages...
   3893.9 ms  ✓ OpenSpecFun_jll
   3797.7 ms  ✓ Libuuid_jll
   2490.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4095.7 ms  ✓ FriBidi_jll
   3798.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   3566.9 ms  ✓ Libmount_jll
   3090.4 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4216.4 ms  ✓ SimpleTraits
   3512.7 ms  ✓ libfdk_aac_jll
   3789.7 ms  ✓ FreeType2_jll
   2508.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4307.5 ms  ✓ FilePaths
   3603.7 ms  ✓ SharedArrays
   2496.9 ms  ✓ StructUtils → StructUtilsTablesExt
   3602.3 ms  ✓ libdrm_jll
   4800.4 ms  ✓ ProgressMeter
   4041.4 ms  ✓ Rmath
   3407.5 ms  ✓ CRlibm
   5000.3 ms  ✓ OpenEXR_jll
   4113.8 ms  ✓ libvorbis_jll
   3688.2 ms  ✓ libsixel_jll
   3183.4 ms  ✓ Statistics → SparseArraysExt
   3415.1 ms  ✓ WoodburyMatrices
   3614.9 ms  ✓ Libtiff_jll
   3392.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3002.6 ms  ✓ SuiteSparse
   3376.3 ms  ✓ Adapt → AdaptSparseArraysExt
   2299.4 ms  ✓ Isoband
  13889.0 ms  ✓ ChainRulesCore
   4195.8 ms  ✓ GettextRuntime_jll
  13997.4 ms  ✓ ColorTypes
  11089.2 ms  ✓ StructArrays
   4689.9 ms  ✓ FreeType
   4906.0 ms  ✓ Fontconfig_jll
   3494.8 ms  ✓ AxisAlgorithms
  10901.9 ms  ✓ Xorg_libxcb_jll
   2701.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4601.3 ms  ✓ PDMats
   2619.9 ms  ✓ ColorTypes → StyledStringsExt
   2490.6 ms  ✓ StructArrays → StructArraysAdaptExt
   5596.5 ms  ✓ Glib_jll
   3494.7 ms  ✓ StructArrays → StructArraysSparseArraysExt
