Precompiling Pkg...
   4280.9 ms  ✓ WoodburyMatrices
   3325.6 ms  ✓ SuiteSparse
   3499.5 ms  ✓ Statistics → SparseArraysExt
   8317.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4113.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   6405.2 ms  ✓ QuadGK
   4894.1 ms  ✓ Libtiff_jll
   4185.0 ms  ✓ XML2_jll
   3708.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6187.3 ms  ✓ Libgcrypt_jll
   3074.8 ms  ✓ SignedDistanceFields
   4681.8 ms  ✓ AxisAlgorithms
   6119.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7108.4 ms  ✓ PDMats
  42589.4 ms  ✓ StyledStrings
   8427.6 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4409.6 ms  ✓ XSLT_jll
   1888.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   8287.6 ms  ✓ StatsBase
   2603.4 ms  ✓ FilePaths
   9923.2 ms  ✓ FixedPointNumbers
   3229.0 ms  ✓ Xorg_libxcb_jll
   1193.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1415.5 ms  ✓ Xorg_libX11_jll
   2368.1 ms  ✓ Xorg_libXext_jll
   2462.4 ms  ✓ Xorg_libXrender_jll
  24506.4 ms  ✓ StaticArrays
  26501.2 ms  ✓ SIMD
   2878.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   7497.0 ms  ✓ ColorTypes
   3190.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3103.1 ms  ✓ Adapt → AdaptStaticArraysExt
   3203.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2198.4 ms  ✓ StructArrays
   1906.3 ms  ✓ StructArrays → StructArraysAdaptExt
   1916.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2582.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2614.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4984.9 ms  ✓ ColorVectorSpace
   5176.4 ms  ✓ Interpolations
   8187.9 ms  ✓ Colors
   2888.6 ms  ✓ Graphics
   2975.5 ms  ✓ Animations
  62076.8 ms  ✓ Unitful
    933.4 ms  ✓ Unitful → InverseFunctionsUnitfulExt
    934.6 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2033.2 ms  ✓ Interpolations → InterpolationsUnitfulExt
  46894.8 ms  ✓ Parsers
  22924.1 ms  ✓ Automa
   2481.6 ms  ✓ JSON
    690.9 ms  ✓ ColorBrewer
  58586.9 ms  ✓ REPL
   1275.7 ms  ✓ UnicodeFun
   5377.6 ms  ✓ Pkg → REPLExt
   3138.1 ms  ✓ Libffi_jll
   3210.9 ms  ✓ libsixel_jll
   3216.9 ms  ✓ OpenSpecFun_jll
   3223.9 ms  ✓ Bzip2_jll
   3233.6 ms  ✓ Ogg_jll
   3320.9 ms  ✓ EarCut_jll
   3525.9 ms  ✓ CRlibm_jll
   3529.9 ms  ✓ FFTW_jll
   3539.0 ms  ✓ Graphite2_jll
   3616.0 ms  ✓ Gettext_jll
   4011.4 ms  ✓ Libglvnd_jll
   4127.1 ms  ✓ isoband_jll
   5135.1 ms  ✓ PkgVersion
   5622.6 ms  ✓ LazyArtifacts
   2491.9 ms  ✓ FreeType2_jll
   2589.2 ms  ✓ libvorbis_jll
   1928.3 ms  ✓ Isoband
   2801.0 ms  ✓ Glib_jll
   2497.6 ms  ✓ libwebp_jll
   1746.4 ms  ✓ Fontconfig_jll
   1922.2 ms  ✓ FreeType
   2227.1 ms  ✓ IntelOpenMP_jll
   5693.2 ms  ✓ IntervalArithmetic
   1868.5 ms  ✓ Cairo_jll
   9662.9 ms  ✓ FileIO
   6741.8 ms  ✓ SpecialFunctions
   1403.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3282.3 ms  ✓ MKL_jll
   1990.6 ms  ✓ HarfBuzz_jll
   2084.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   4160.6 ms  ✓ QOI
   2891.8 ms  ✓ Pango_jll
   2900.9 ms  ✓ libass_jll
   5566.1 ms  ✓ OpenEXR
  12102.1 ms  ✓ GeometryBasics
   5966.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3999.5 ms  ✓ FFMPEG_jll
   5815.4 ms  ✓ Cairo
   4712.0 ms  ✓ Packing
   4418.6 ms  ✓ HypergeometricFunctions
   5388.6 ms  ✓ ShaderAbstractions
  10565.2 ms  ✓ ColorSchemes
  12090.5 ms  ✓ ExactPredicates
   7612.9 ms  ✓ FreeTypeAbstraction
   4593.7 ms  ✓ StatsFuns
   2102.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6092.7 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  15886.3 ms  ✓ MakieCore
  23816.6 ms  ✓ FFTW
  13560.6 ms  ✓ DelaunayTriangulation
  21059.2 ms  ✓ GridLayoutBase
  15549.4 ms  ✓ MathTeXEngine
   8574.1 ms  ✓ Distributions
   2724.3 ms  ✓ Distributions → DistributionsTestExt
   2810.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  20494.4 ms  ✓ PlotUtils
   1659.2 ms  ✓ KernelDensity
  36225.5 ms  ✓ ImageCore
   2995.5 ms  ✓ ImageBase
   3858.4 ms  ✓ WebP
   4337.6 ms  ✓ Sixel
   4873.6 ms  ✓ PNGFiles
   5155.3 ms  ✓ JpegTurbo
   2626.1 ms  ✓ ImageAxes
   1140.7 ms  ✓ ImageMetadata
   1747.0 ms  ✓ Netpbm
  72409.6 ms  ✓ TiffImages
   1068.4 ms  ✓ ImageIO
 101885.0 ms  ✓ Makie
  31020.2 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 328 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.1 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1002.79
	System time (seconds): 64.63
	Percent of CPU this job got: 277%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:24.14
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3950476
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1031
	Minor (reclaiming a frame) page faults: 15415797
	Voluntary context switches: 331048
	Involuntary context switches: 205226
	Swaps: 0
	File system inputs: 96
	File system outputs: 3961392
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
