Precompiling Pkg...
   4830.8 ms  ✓ Libgpg_error_jll
   1950.2 ms  ✓ SimpleTraits
   4212.0 ms  ✓ OpenSpecFun_jll
   5135.5 ms  ✓ FFTW_jll
  28972.2 ms  ✓ FileIO
  30001.9 ms  ✓ SparseArrays
   1456.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2997.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3617.5 ms  ✓ StructArrays → StructArraysAdaptExt
   2889.8 ms  ✓ FreeType2_jll
   2284.2 ms  ✓ Pixman_jll
   3203.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3713.1 ms  ✓ FilePaths
   1880.5 ms  ✓ SortingAlgorithms
   2758.7 ms  ✓ WoodburyMatrices
   2903.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1158.8 ms  ✓ SignedDistanceFields
   5937.2 ms  ✓ Rmath
   5563.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3630.6 ms  ✓ libsixel_jll
   2717.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4144.1 ms  ✓ libvorbis_jll
   5436.4 ms  ✓ QuadGK
   3288.1 ms  ✓ Libtiff_jll
   3249.3 ms  ✓ Isoband
   3779.8 ms  ✓ XML2_jll
   2790.2 ms  ✓ SuiteSparse
   7391.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4978.9 ms  ✓ Libgcrypt_jll
   2948.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2389.6 ms  ✓ Statistics → SparseArraysExt
   7809.3 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   6879.4 ms  ✓ MKL_jll
   3816.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3853.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  11922.4 ms  ✓ IntervalArithmetic
   2518.2 ms  ✓ AxisAlgorithms
   3089.1 ms  ✓ Gettext_jll
   4255.7 ms  ✓ FreeType
   4828.9 ms  ✓ OpenEXR_jll
  15274.6 ms  ✓ ColorTypes
   5300.0 ms  ✓ Fontconfig_jll
   3588.7 ms  ✓ XSLT_jll
   3339.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   5672.3 ms  ✓ PDMats
   4377.6 ms  ✓ FillArrays → FillArraysPDMatsExt
  15740.0 ms  ✓ SpecialFunctions
   7924.9 ms  ✓ Glib_jll
   7758.3 ms  ✓ Xorg_libxcb_jll
   9543.3 ms  ✓ QOI
   4002.9 ms  ✓ HypergeometricFunctions
  12786.7 ms  ✓ StatsBase
  63936.2 ms  ✓ StyledStrings
   3357.8 ms  ✓ Xorg_libX11_jll
  12391.0 ms  ✓ ColorVectorSpace
   6233.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1855.8 ms  ✓ Xorg_libXext_jll
   1890.9 ms  ✓ Xorg_libXrender_jll
   1917.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2592.4 ms  ✓ Cairo_jll
   3405.4 ms  ✓ Libglvnd_jll
   6515.3 ms  ✓ StatsFuns
  18588.7 ms  ✓ Colors
   4012.1 ms  ✓ HarfBuzz_jll
   2905.0 ms  ✓ Graphics
   3181.9 ms  ✓ Animations
   4802.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5226.4 ms  ✓ libwebp_jll
   4091.1 ms  ✓ libass_jll
   6108.9 ms  ✓ Pango_jll
  47881.0 ms  ✓ StaticArrays
  47249.0 ms  ✓ SIMD
   4616.3 ms  ✓ FFMPEG_jll
  13471.9 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  12485.9 ms  ✓ OpenEXR
   2809.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3532.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4922.6 ms  ✓ Adapt → AdaptStaticArraysExt
   5083.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   7077.9 ms  ✓ StructArrays → StructArraysStaticArraysExt
  17300.9 ms  ✓ ColorSchemes
   8679.5 ms  ✓ Cairo
  39090.3 ms  ✓ FFTW
   6616.8 ms  ✓ Interpolations
  22817.4 ms  ✓ Distributions
   4071.7 ms  ✓ Distributions → DistributionsTestExt
   4197.2 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  17577.6 ms  ✓ ExactPredicates
   8576.8 ms  ✓ KernelDensity
  20523.8 ms  ✓ GeometryBasics
 104741.4 ms  ✓ Unitful
   3125.4 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3475.7 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4468.6 ms  ✓ Packing
   5239.2 ms  ✓ ShaderAbstractions
   7694.2 ms  ✓ Interpolations → InterpolationsUnitfulExt
  14627.9 ms  ✓ FreeTypeAbstraction
  22516.3 ms  ✓ MakieCore
  34193.5 ms  ✓ DelaunayTriangulation
  53201.8 ms  ✓ Automa
 102558.0 ms  ✓ Parsers
  50184.1 ms  ✓ PlotUtils
  32589.6 ms  ✓ GridLayoutBase
   4494.4 ms  ✓ JSON
   1714.6 ms  ✓ ColorBrewer
  79364.3 ms  ✓ ImageCore
   6041.2 ms  ✓ ImageBase
   7491.0 ms  ✓ PNGFiles
   7967.5 ms  ✓ WebP
   9316.8 ms  ✓ JpegTurbo
   3349.5 ms  ✓ ImageAxes
   1807.2 ms  ✓ ImageMetadata
   3045.2 ms  ✓ Netpbm
 132101.3 ms  ✓ REPL
   2327.0 ms  ✓ UnicodeFun
  11674.9 ms  ✓ Pkg → REPLExt
   4605.4 ms  ✓ Sixel
