nice: cannot set niceness: Permission denied
Precompiling packages...
   8873.9 ms  ✓ Accessors
   3244.9 ms  ✓ Statistics
   5892.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2886.2 ms  ✓ WoodburyMatrices
   4087.3 ms  ✓ CodecZstd
   2510.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2804.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2198.6 ms  ✓ FilePaths
   2799.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2223.4 ms  ✓ StructArrays → StructArraysAdaptExt
   6986.7 ms  ✓ Xorg_libxcb_jll
   3110.2 ms  ✓ Fontconfig_jll
   3585.4 ms  ✓ FreeType
   2501.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4408.3 ms  ✓ FFTA
   2988.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2913.0 ms  ✓ Glib_jll
   4606.9 ms  ✓ HypergeometricFunctions
   2399.8 ms  ✓ Accessors → StructArraysExt
   2699.6 ms  ✓ Accessors → LinearAlgebraExt
   2467.5 ms  ✓ Accessors → IntervalSetsExt
   3883.9 ms  ✓ PDMats
   2615.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2598.5 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2523.1 ms  ✓ AxisAlgorithms
   2173.8 ms  ✓ Xorg_libX11_jll
   2395.8 ms  ✓ FillArrays → FillArraysPDMatsExt
  10415.1 ms  ✓ SpecialFunctions
   5887.4 ms  ✓ SignedDistanceFields
   8490.2 ms  ✓ IntervalArithmetic
   1823.4 ms  ✓ Xorg_libXfixes_jll
   2011.3 ms  ✓ Xorg_libXext_jll
   2082.1 ms  ✓ Xorg_libXrender_jll
   2296.4 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3111.2 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   8512.4 ms  ✓ StatsBase
