nice: cannot set niceness: Permission denied
Precompiling packages...
   2482.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4497.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   3097.3 ms  ✓ SortingAlgorithms
   2491.2 ms  ✓ StructUtils → StructUtilsTablesExt
   3792.5 ms  ✓ SharedArrays
   5009.3 ms  ✓ ProgressMeter
   7487.0 ms  ✓ FilePathsBase
   3897.5 ms  ✓ Pixman_jll
   3894.4 ms  ✓ FreeType2_jll
   2512.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4210.1 ms  ✓ Rmath
   3294.6 ms  ✓ CRlibm
   5007.8 ms  ✓ OpenEXR_jll
   3781.3 ms  ✓ libsixel_jll
   3193.4 ms  ✓ SuiteSparse
   4100.5 ms  ✓ libvorbis_jll
   3794.3 ms  ✓ WoodburyMatrices
  11502.3 ms  ✓ QuadGK
  10703.4 ms  ✓ StructArrays
   3292.3 ms  ✓ Statistics → SparseArraysExt
  14185.6 ms  ✓ ChainRulesCore
   3614.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2599.2 ms  ✓ Isoband
   3135.2 ms  ✓ Adapt → AdaptSparseArraysExt
   3993.5 ms  ✓ Libtiff_jll
   2389.0 ms  ✓ SignedDistanceFields
   4302.3 ms  ✓ GettextRuntime_jll
   3300.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3798.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  14094.7 ms  ✓ ColorTypes
   7792.2 ms  ✓ MKL_jll
  11791.9 ms  ✓ Xorg_libxcb_jll
   4204.9 ms  ✓ FilePaths
   7180.9 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4994.0 ms  ✓ FreeType
   8199.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3691.9 ms  ✓ AxisAlgorithms
   3013.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2811.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   5499.8 ms  ✓ Fontconfig_jll
   5395.4 ms  ✓ PDMats
   4508.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
  46904.2 ms  ✓ StaticArrays
   3597.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3396.9 ms  ✓ ColorTypes → StyledStringsExt
  14711.3 ms  ✓ SpecialFunctions
   3377.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   4103.8 ms  ✓ Xorg_libX11_jll
   9108.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4906.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  10707.5 ms  ✓ Glib_jll
  12199.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5508.4 ms  ✓ Adapt → AdaptStaticArraysExt
   9799.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   7828.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  20492.6 ms  ✓ IntervalArithmetic
  59584.0 ms  ✓ SIMD
  60902.7 ms  ✓ Parsers
   4502.9 ms  ✓ Xorg_libXrender_jll
   4287.5 ms  ✓ Xorg_libXext_jll
  19899.5 ms  ✓ StatsBase
   6799.0 ms  ✓ HypergeometricFunctions
   2703.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4402.8 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  10864.6 ms  ✓ QOI
  10407.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3809.8 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  11682.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
  23197.2 ms  ✓ ColorVectorSpace
   3618.9 ms  ✓ PDMats → StatsBaseExt
   2601.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   5306.8 ms  ✓ Libglvnd_jll
   5397.8 ms  ✓ Cairo_jll
  28902.9 ms  ✓ Colors
   4483.9 ms  ✓ libwebp_jll
   4699.7 ms  ✓ HarfBuzz_jll
  16906.2 ms  ✓ Interpolations
   3312.8 ms  ✓ Animations
   4184.1 ms  ✓ libass_jll
   7308.5 ms  ✓ OpenEXR
   9009.6 ms  ✓ Graphics
  19090.9 ms  ✓ StatsFuns
   8894.1 ms  ✓ Pango_jll
   5014.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  27007.0 ms  ✓ ExactPredicates
  29681.5 ms  ✓ JSON
  18699.4 ms  ✓ ColorSchemes
  14135.1 ms  ✓ FFMPEG_jll
  47917.5 ms  ✓ FFTW
 110013.3 ms  ✓ Unitful
  10503.2 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   2896.5 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2994.6 ms  ✓ Unitful → NaNMathExt
   3083.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3195.7 ms  ✓ Unitful → PrintfExt
   4600.5 ms  ✓ ColorBrewer
   4359.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
  12925.6 ms  ✓ Cairo
  17328.2 ms  ✓ Distributions
   6558.2 ms  ✓ Distributions → DistributionsTestExt
  16509.0 ms  ✓ DelaunayTriangulation
  48423.8 ms  ✓ Automa
  10076.4 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  60728.4 ms  ✓ GeometryBasics
   2980.4 ms  ✓ KernelDensity
   2180.4 ms  ✓ Packing
  25809.7 ms  ✓ PlotUtils
   5861.7 ms  ✓ ShaderAbstractions
   5860.3 ms  ✓ FreeTypeAbstraction
  10277.8 ms  ✓ GridLayoutBase
  59792.4 ms  ✓ ImageCore
   7182.8 ms  ✓ ImageBase
   7189.5 ms  ✓ WebP
   8227.1 ms  ✓ JpegTurbo
 143541.7 ms  ✓ REPL
   4010.5 ms  ✓ ImageAxes
  11911.8 ms  ✓ PNGFiles
   4079.0 ms  ✓ UnicodeFun
   3298.9 ms  ✓ ImageMetadata
  87679.1 ms  ✓ TiffImages
   2737.6 ms  ✓ Netpbm
  10068.7 ms  ✓ Pkg → REPLExt
   2496.1 ms  ✓ Sixel
    891.9 ms  ✓ ImageIO
   4307.1 ms  ✓ MathTeXEngine
 122650.6 ms  ✓ Makie
  43451.3 ms  ✓ CairoMakie
  249 dependencies successfully precompiled in 351 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.2 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1151.59
	System time (seconds): 70.84
	Percent of CPU this job got: 296%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:52.77
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4283836
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 825
	Minor (reclaiming a frame) page faults: 17066110
	Voluntary context switches: 42053
	Involuntary context switches: 119801
	Swaps: 0
	File system inputs: 360
	File system outputs: 3088944
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
