nice: cannot set niceness: Permission denied
Precompiling Pkg...
   3503.6 ms  ✓ FFTW_jll
   2894.7 ms  ✓ FriBidi_jll
   2706.1 ms  ✓ OpenBLASConsistentFPCSR_jll
   2745.4 ms  ✓ OpenSpecFun_jll
   3797.0 ms  ✓ Libuuid_jll
   2484.6 ms  ✓ SortingAlgorithms
   4035.9 ms  ✓ FilePathsBase
   3797.0 ms  ✓ StructArrays
   2792.6 ms  ✓ Pixman_jll
   2957.7 ms  ✓ FreeType2_jll
   2468.0 ms  ✓ SuiteSparse
   3765.6 ms  ✓ WoodburyMatrices
   4499.3 ms  ✓ QuadGK
   6200.6 ms  ✓ ChainRulesCore
   4295.6 ms  ✓ Rmath
   3250.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3058.8 ms  ✓ Statistics → SparseArraysExt
   2699.5 ms  ✓ Adapt → AdaptSparseArraysExt
   3633.1 ms  ✓ OpenEXR_jll
   3693.5 ms  ✓ CRlibm
   3938.1 ms  ✓ libsixel_jll
   3990.2 ms  ✓ libvorbis_jll
   4049.7 ms  ✓ Libtiff_jll
   3207.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  10763.0 ms  ✓ ColorVectorSpace
   3705.4 ms  ✓ SignedDistanceFields
   6248.6 ms  ✓ MKL_jll
   3439.9 ms  ✓ Isoband
   5303.8 ms  ✓ GettextRuntime_jll
   3551.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   7872.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   9643.6 ms  ✓ QOI
  10047.2 ms  ✓ Xorg_libxcb_jll
   3353.1 ms  ✓ StructArrays → StructArraysAdaptExt
   3593.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2399.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4798.1 ms  ✓ FilePaths
  49961.8 ms  ✓ StyledStrings
   3145.2 ms  ✓ AxisAlgorithms
   4040.2 ms  ✓ Fontconfig_jll
   7242.9 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   2703.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3955.8 ms  ✓ PDMats
   3439.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5005.6 ms  ✓ FreeType
   3148.3 ms  ✓ ColorTypes → StyledStringsExt
   3461.1 ms  ✓ FillArrays → FillArraysPDMatsExt
   4290.5 ms  ✓ Glib_jll
   6213.5 ms  ✓ Xorg_libX11_jll
  14549.0 ms  ✓ SpecialFunctions
  25304.1 ms  ✓ Colors
  42860.0 ms  ✓ StaticArrays
  10355.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  42869.1 ms  ✓ SIMD
  11145.0 ms  ✓ IntervalArithmetic
   3595.3 ms  ✓ Xorg_libXrender_jll
   3600.2 ms  ✓ Xorg_libXext_jll
  11540.9 ms  ✓ StatsBase
   2798.0 ms  ✓ Graphics
   4425.4 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   5098.3 ms  ✓ HypergeometricFunctions
   4131.8 ms  ✓ Animations
   3007.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3600.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3902.4 ms  ✓ Adapt → AdaptStaticArraysExt
   4070.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3397.7 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  10210.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   7351.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   8914.8 ms  ✓ OpenEXR
   4191.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4560.9 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   5404.9 ms  ✓ Cairo_jll
   4296.1 ms  ✓ Libglvnd_jll
  55495.7 ms  ✓ Parsers
   3489.5 ms  ✓ HarfBuzz_jll
   4270.7 ms  ✓ libwebp_jll
  17191.7 ms  ✓ ColorSchemes
   9638.1 ms  ✓ StatsFuns
   2960.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   8804.6 ms  ✓ JSON
   6190.8 ms  ✓ Pango_jll
   6299.3 ms  ✓ libass_jll
  14807.0 ms  ✓ Interpolations
   3196.4 ms  ✓ ColorBrewer
  15538.2 ms  ✓ ExactPredicates
  34742.6 ms  ✓ FFTW
   5450.2 ms  ✓ FFMPEG_jll
   9445.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   6113.1 ms  ✓ Cairo
  93145.4 ms  ✓ Unitful
  19872.4 ms  ✓ Distributions
   2310.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2604.6 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2714.0 ms  ✓ Unitful → PrintfExt
  14406.9 ms  ✓ DelaunayTriangulation
   3406.0 ms  ✓ Interpolations → InterpolationsUnitfulExt
   2931.6 ms  ✓ Distributions → DistributionsTestExt
   2991.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   6801.0 ms  ✓ KernelDensity
  46032.7 ms  ✓ Automa
  47491.6 ms  ✓ GeometryBasics
   2704.6 ms  ✓ Packing
   4192.7 ms  ✓ ShaderAbstractions
  37407.4 ms  ✓ PlotUtils
   5713.4 ms  ✓ FreeTypeAbstraction
  59277.3 ms  ✓ ImageCore
  14056.1 ms  ✓ GridLayoutBase
   4274.0 ms  ✓ ImageBase
   4944.1 ms  ✓ WebP
   6560.2 ms  ✓ JpegTurbo
   6659.9 ms  ✓ PNGFiles
   2864.1 ms  ✓ ImageAxes
    967.0 ms  ✓ ImageMetadata
   3363.8 ms  ✓ Netpbm
  72135.2 ms  ✓ TiffImages
  98760.3 ms  ✓ REPL
   1179.8 ms  ✓ UnicodeFun
   5610.3 ms  ✓ Pkg → REPLExt
   2258.3 ms  ✓ Sixel
    936.9 ms  ✓ ImageIO
   4849.9 ms  ✓ MathTeXEngine
 131638.7 ms  ✓ Makie
  41958.8 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 339 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1037.06
	System time (seconds): 63.28
	Percent of CPU this job got: 281%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:30.41
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4876136
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 969
	Minor (reclaiming a frame) page faults: 14909777
	Voluntary context switches: 306212
	Involuntary context switches: 254594
	Swaps: 0
	File system inputs: 6728
	File system outputs: 3836936
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
