nice: cannot set niceness: Permission denied
Precompiling packages...
   3707.1 ms  ✓ FriBidi_jll
   2223.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  29786.8 ms  ✓ SparseArrays
   3961.7 ms  ✓ OpenBLASConsistentFPCSR_jll
   3106.2 ms  ✓ SortingAlgorithms
   4981.6 ms  ✓ SimpleTraits
   2496.8 ms  ✓ StructUtils → StructUtilsTablesExt
   2623.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4090.6 ms  ✓ Pixman_jll
   4103.0 ms  ✓ FreeType2_jll
   6195.7 ms  ✓ FilePathsBase
   4080.9 ms  ✓ libdrm_jll
   4209.3 ms  ✓ Rmath
   3307.0 ms  ✓ CRlibm
   5096.0 ms  ✓ OpenEXR_jll
   3797.1 ms  ✓ SharedArrays
   4369.6 ms  ✓ libvorbis_jll
   4856.0 ms  ✓ ProgressMeter
   3690.7 ms  ✓ libsixel_jll
   4010.8 ms  ✓ Libtiff_jll
  10904.0 ms  ✓ StructArrays
   2800.4 ms  ✓ Isoband
  11803.3 ms  ✓ QuadGK
   4308.7 ms  ✓ GettextRuntime_jll
  13504.9 ms  ✓ ChainRulesCore
   3628.4 ms  ✓ WoodburyMatrices
   3409.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3287.8 ms  ✓ Statistics → SparseArraysExt
   3093.8 ms  ✓ SuiteSparse
   3107.8 ms  ✓ Adapt → AdaptSparseArraysExt
  13888.3 ms  ✓ ColorTypes
   3260.0 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4796.6 ms  ✓ FreeType
   2494.2 ms  ✓ StructArrays → StructArraysAdaptExt
   2692.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4098.7 ms  ✓ FilePaths
   3401.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   5589.1 ms  ✓ Fontconfig_jll
  11801.2 ms  ✓ Xorg_libxcb_jll
   2614.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3200.9 ms  ✓ AxisAlgorithms
   5707.4 ms  ✓ Glib_jll
   2601.1 ms  ✓ ColorTypes → StyledStringsExt
   4601.9 ms  ✓ PDMats
  14725.6 ms  ✓ SpecialFunctions
   4006.3 ms  ✓ Xorg_libX11_jll
   7794.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   9837.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5116.8 ms  ✓ FillArrays → FillArraysPDMatsExt
  46796.2 ms  ✓ StaticArrays
   4306.1 ms  ✓ Xorg_libXext_jll
   4605.9 ms  ✓ Xorg_libXrender_jll
   8199.3 ms  ✓ QOI
   5811.3 ms  ✓ HypergeometricFunctions
   4706.4 ms  ✓ Xorg_libXfixes_jll
   3316.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3198.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  18390.0 ms  ✓ IntervalArithmetic
   3407.5 ms  ✓ Adapt → AdaptStaticArraysExt
   4093.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
  11599.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  21493.3 ms  ✓ ColorVectorSpace
  22100.5 ms  ✓ StatsBase
  11800.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   9386.1 ms  ✓ Libglvnd_jll
   5191.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   9001.2 ms  ✓ libva_jll
   8518.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  10593.1 ms  ✓ Cairo_jll
   3709.2 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4212.3 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  62390.6 ms  ✓ SIMD
   4507.2 ms  ✓ PDMats → StatsBaseExt
  14493.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
  61989.6 ms  ✓ Parsers
   4609.2 ms  ✓ libwebp_jll
   4198.7 ms  ✓ HarfBuzz_jll
  29609.2 ms  ✓ Colors
   4294.6 ms  ✓ libass_jll
   3282.4 ms  ✓ Animations
   4904.4 ms  ✓ Pango_jll
  20022.9 ms  ✓ StatsFuns
   2582.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6899.8 ms  ✓ OpenEXR
  14698.9 ms  ✓ Interpolations
   5708.5 ms  ✓ FFMPEG_jll
   8688.9 ms  ✓ Graphics
   7685.5 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  20510.8 ms  ✓ ExactPredicates
  22514.7 ms  ✓ JSON
 103816.1 ms  ✓ Unitful
  12491.5 ms  ✓ Cairo
  21612.1 ms  ✓ ColorSchemes
   2586.7 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2687.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2681.8 ms  ✓ Unitful → PrintfExt
   2714.6 ms  ✓ Unitful → NaNMathExt
   3794.5 ms  ✓ ColorBrewer
   3720.0 ms  ✓ Interpolations → InterpolationsUnitfulExt
  21186.1 ms  ✓ Distributions
   5806.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  17696.8 ms  ✓ DelaunayTriangulation
  52189.9 ms  ✓ GeometryBasics
   4500.2 ms  ✓ Packing
   7803.4 ms  ✓ KernelDensity
  43139.9 ms  ✓ Automa
   6499.9 ms  ✓ ShaderAbstractions
   6719.4 ms  ✓ FreeTypeAbstraction
