Precompiling Pkg...
   2707.8 ms  ✓ OpenSpecFun_jll
   3210.8 ms  ✓ OpenBLASConsistentFPCSR_jll
   1987.9 ms  ✓ StructArrays → StructArraysAdaptExt
   2201.4 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3105.0 ms  ✓ SharedArrays
   2188.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2000.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3897.8 ms  ✓ ProgressMeter
   2613.8 ms  ✓ Pixman_jll
   2860.0 ms  ✓ FreeType2_jll
   3281.0 ms  ✓ FilePaths
   3874.4 ms  ✓ Rmath
   2595.2 ms  ✓ SortingAlgorithms
   2107.9 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2921.7 ms  ✓ CRlibm
   3406.5 ms  ✓ OpenEXR_jll
   2511.4 ms  ✓ SuiteSparse
   2705.5 ms  ✓ WoodburyMatrices
   4501.7 ms  ✓ QuadGK
   2494.5 ms  ✓ Statistics → SparseArraysExt
   6390.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2815.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2490.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4818.8 ms  ✓ FreeType
   2780.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2704.3 ms  ✓ libsixel_jll
   3103.0 ms  ✓ libvorbis_jll
   6597.4 ms  ✓ ColorTypes
   2190.4 ms  ✓ Isoband
   2808.5 ms  ✓ Libtiff_jll
   1803.7 ms  ✓ SignedDistanceFields
   3304.7 ms  ✓ GettextRuntime_jll
   2698.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2918.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   6896.4 ms  ✓ MKL_jll
   4583.5 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   6203.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7131.1 ms  ✓ Xorg_libxcb_jll
   5111.7 ms  ✓ Fontconfig_jll
   4794.5 ms  ✓ PDMats
   4601.1 ms  ✓ AxisAlgorithms
   4100.7 ms  ✓ Glib_jll
   3685.2 ms  ✓ Xorg_libX11_jll
   3431.7 ms  ✓ FillArrays → FillArraysPDMatsExt
  47384.6 ms  ✓ StyledStrings
  10021.6 ms  ✓ IntervalArithmetic
   3000.8 ms  ✓ Xorg_libXrender_jll
   2998.4 ms  ✓ Xorg_libXext_jll
   8874.5 ms  ✓ QOI
   2697.9 ms  ✓ ColorTypes → StyledStringsExt
   2510.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2969.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2995.8 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  13282.9 ms  ✓ StatsBase
  15497.9 ms  ✓ SpecialFunctions
   3111.5 ms  ✓ Cairo_jll
  11989.4 ms  ✓ ColorVectorSpace
   3396.1 ms  ✓ Libglvnd_jll
   2370.8 ms  ✓ HarfBuzz_jll
   2496.1 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3995.7 ms  ✓ HypergeometricFunctions
   3697.5 ms  ✓ libwebp_jll
  31494.4 ms  ✓ StaticArrays
   3603.5 ms  ✓ Pango_jll
   7206.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  32888.2 ms  ✓ SIMD
   5233.2 ms  ✓ libass_jll
   2917.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3089.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3162.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3410.5 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3510.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  20305.3 ms  ✓ Colors
   4468.2 ms  ✓ FFMPEG_jll
   3400.0 ms  ✓ Animations
   8813.8 ms  ✓ StatsFuns
   4005.0 ms  ✓ Graphics
   6601.3 ms  ✓ OpenEXR
   4696.6 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  10589.0 ms  ✓ Interpolations
   8612.8 ms  ✓ Cairo
   9116.7 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  19903.4 ms  ✓ ExactPredicates
  18788.0 ms  ✓ ColorSchemes
  38871.0 ms  ✓ FFTW
  55789.9 ms  ✓ Parsers
  81695.4 ms  ✓ Unitful
  21504.3 ms  ✓ Distributions
   4794.8 ms  ✓ JSON
   2501.1 ms  ✓ Unitful → PrintfExt
   2572.6 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2571.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3504.9 ms  ✓ Interpolations → InterpolationsUnitfulExt
   1815.0 ms  ✓ ColorBrewer
   3091.7 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   3399.4 ms  ✓ Distributions → DistributionsTestExt
  12621.8 ms  ✓ DelaunayTriangulation
   2604.1 ms  ✓ KernelDensity
  37409.8 ms  ✓ Automa
  41449.9 ms  ✓ GeometryBasics
   1834.3 ms  ✓ Packing
   3484.1 ms  ✓ ShaderAbstractions
   5285.7 ms  ✓ FreeTypeAbstraction
  24234.4 ms  ✓ PlotUtils
  48906.5 ms  ✓ ImageCore
  11341.9 ms  ✓ GridLayoutBase
   2491.3 ms  ✓ ImageBase
   2932.3 ms  ✓ WebP
   4287.5 ms  ✓ JpegTurbo
   4397.3 ms  ✓ PNGFiles
   2286.9 ms  ✓ ImageAxes
    897.7 ms  ✓ ImageMetadata
   2500.0 ms  ✓ Netpbm
  63145.4 ms  ✓ TiffImages
  87916.7 ms  ✓ REPL
   1025.8 ms  ✓ UnicodeFun
   4936.7 ms  ✓ Pkg → REPLExt
   2046.4 ms  ✓ Sixel
    833.7 ms  ✓ ImageIO
   4311.0 ms  ✓ MathTeXEngine
 113844.0 ms  ✓ Makie
  38670.0 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 301 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 927.33
	System time (seconds): 53.02
	Percent of CPU this job got: 282%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:46.48
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4871624
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1080
	Minor (reclaiming a frame) page faults: 14910470
	Voluntary context switches: 300805
	Involuntary context switches: 221052
	Swaps: 0
	File system inputs: 0
	File system outputs: 3838864
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
