Precompiling Pkg...
   2021.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2904.4 ms  ✓ OpenBLASConsistentFPCSR_jll
   2189.8 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2115.8 ms  ✓ StructArrays → StructArraysAdaptExt
   3002.9 ms  ✓ OpenSpecFun_jll
   2213.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2308.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2599.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3310.1 ms  ✓ FilePaths
   2983.2 ms  ✓ Pixman_jll
   2785.9 ms  ✓ FreeType2_jll
   2615.0 ms  ✓ SortingAlgorithms
   2390.3 ms  ✓ SuiteSparse
   3386.1 ms  ✓ WoodburyMatrices
   4209.3 ms  ✓ Rmath
   6907.8 ms  ✓ ColorTypes
   2722.1 ms  ✓ Statistics → SparseArraysExt
   3509.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4998.7 ms  ✓ QuadGK
   2816.3 ms  ✓ Adapt → AdaptSparseArraysExt
   6400.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3090.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4285.2 ms  ✓ OpenEXR_jll
   4706.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3302.7 ms  ✓ libvorbis_jll
   3498.0 ms  ✓ libsixel_jll
   3392.6 ms  ✓ SignedDistanceFields
   3593.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6093.7 ms  ✓ CRlibm
   3109.7 ms  ✓ Libtiff_jll
   2488.2 ms  ✓ Isoband
   5197.6 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   2708.5 ms  ✓ AxisAlgorithms
   8192.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  47476.5 ms  ✓ StyledStrings
   6585.0 ms  ✓ GettextRuntime_jll
   4814.7 ms  ✓ Fontconfig_jll
   9089.8 ms  ✓ MKL_jll
   5904.6 ms  ✓ PDMats
  33893.2 ms  ✓ StaticArrays
  11982.5 ms  ✓ Xorg_libxcb_jll
   7599.7 ms  ✓ FreeType
   3684.2 ms  ✓ ColorTypes → StyledStringsExt
   3973.9 ms  ✓ Glib_jll
   7493.0 ms  ✓ QOI
   3586.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3109.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   5199.8 ms  ✓ FillArrays → FillArraysPDMatsExt
  39192.3 ms  ✓ SIMD
   5397.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3911.3 ms  ✓ Adapt → AdaptStaticArraysExt
  14004.7 ms  ✓ SpecialFunctions
  11189.7 ms  ✓ ColorVectorSpace
   4505.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  10692.5 ms  ✓ StatsBase
   2992.0 ms  ✓ Xorg_libX11_jll
   2501.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  11409.8 ms  ✓ IntervalArithmetic
   5078.7 ms  ✓ HypergeometricFunctions
   3213.1 ms  ✓ Xorg_libXext_jll
   4017.5 ms  ✓ Xorg_libXrender_jll
   3005.3 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3313.3 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3698.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   8589.3 ms  ✓ Interpolations
   4789.9 ms  ✓ Libglvnd_jll
  11694.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   5689.3 ms  ✓ Cairo_jll
  21694.3 ms  ✓ Colors
   8416.9 ms  ✓ StatsFuns
  53478.5 ms  ✓ Parsers
   4795.5 ms  ✓ libwebp_jll
   3692.4 ms  ✓ HarfBuzz_jll
   2908.3 ms  ✓ Animations
   3210.0 ms  ✓ Graphics
   2687.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2797.2 ms  ✓ Pango_jll
   3194.6 ms  ✓ libass_jll
   6487.7 ms  ✓ OpenEXR
   6609.7 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   7291.9 ms  ✓ JSON
   5605.5 ms  ✓ FFMPEG_jll
   3810.8 ms  ✓ ColorBrewer
  20593.9 ms  ✓ ExactPredicates
  15118.2 ms  ✓ ColorSchemes
   9984.9 ms  ✓ Cairo
  37207.1 ms  ✓ FFTW
  21909.4 ms  ✓ Distributions
  91193.1 ms  ✓ Unitful
   4683.0 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   5892.3 ms  ✓ Distributions → DistributionsTestExt
   3798.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3918.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4111.8 ms  ✓ Unitful → PrintfExt
  43621.8 ms  ✓ Automa
   4312.9 ms  ✓ Interpolations → InterpolationsUnitfulExt
   5329.4 ms  ✓ KernelDensity
  19344.5 ms  ✓ DelaunayTriangulation
  48901.1 ms  ✓ GeometryBasics
   1628.9 ms  ✓ Packing
   1933.0 ms  ✓ ShaderAbstractions
