nice: cannot set niceness: Permission denied
Precompiling packages...
   3589.6 ms  ✓ CodecZstd
   2894.2 ms  ✓ SuiteSparse
   2805.4 ms  ✓ WoodburyMatrices
   2780.4 ms  ✓ Adapt → AdaptSparseArraysExt
   3112.3 ms  ✓ Statistics
   3390.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2164.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2999.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2312.7 ms  ✓ FilePaths
   6496.1 ms  ✓ Xorg_libxcb_jll
   2902.0 ms  ✓ AxisArrays
   2389.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2533.5 ms  ✓ Fontconfig_jll
   3711.5 ms  ✓ FFTA
   3702.2 ms  ✓ StructArrays → StructArraysAdaptExt
   3229.3 ms  ✓ FreeType
   2078.0 ms  ✓ Accessors → LinearAlgebraExt
   4398.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3733.2 ms  ✓ Accessors → StructArraysExt
   4493.4 ms  ✓ HypergeometricFunctions
   3185.0 ms  ✓ Accessors → IntervalSetsExt
   2692.9 ms  ✓ Glib_jll
   2416.0 ms  ✓ AxisAlgorithms
   3234.7 ms  ✓ PDMats
   2534.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2298.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2193.0 ms  ✓ Xorg_libX11_jll
  10215.8 ms  ✓ SpecialFunctions
   2625.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   8285.6 ms  ✓ IntervalArithmetic
   6274.6 ms  ✓ SignedDistanceFields
   2192.7 ms  ✓ Xorg_libXfixes_jll
   2224.7 ms  ✓ Xorg_libXext_jll
   2316.6 ms  ✓ Xorg_libXrender_jll
   2497.8 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2400.3 ms  ✓ libva_jll
   2678.4 ms  ✓ Libglvnd_jll
   5200.9 ms  ✓ StatsFuns
   5392.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   6009.4 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  10416.0 ms  ✓ StatsBase
   3309.1 ms  ✓ Cairo_jll
  11911.2 ms  ✓ FixedPointNumbers
   6429.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   7604.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  27806.4 ms  ✓ Parsers
   3368.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5317.3 ms  ✓ libwebp_jll
  29300.4 ms  ✓ StaticArrays
   2786.8 ms  ✓ HarfBuzz_jll
   2817.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3290.9 ms  ✓ PDMats → StatsBaseExt
  14205.7 ms  ✓ Roots
   3393.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   7813.3 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  32683.2 ms  ✓ SIMD
   3700.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3982.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4022.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   7715.5 ms  ✓ ColorTypes
   5129.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   5485.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3929.4 ms  ✓ libass_jll
   6204.9 ms  ✓ Accessors → StaticArraysExt
   3900.8 ms  ✓ Pango_jll
   4012.9 ms  ✓ Roots → RootsChainRulesCoreExt
   4089.2 ms  ✓ FFMPEG_jll
   4776.7 ms  ✓ QOI
  39402.9 ms  ✓ Automa
   7736.2 ms  ✓ Interpolations
  11172.9 ms  ✓ ExactPredicates
   7442.2 ms  ✓ ColorVectorSpace
   1158.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  12318.2 ms  ✓ Distributions
  11412.6 ms  ✓ Colors
   3480.4 ms  ✓ Graphics
   3811.3 ms  ✓ OpenEXR
   3819.3 ms  ✓ Animations
   4820.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   9611.2 ms  ✓ DelaunayTriangulation
  66101.7 ms  ✓ Unitful
   2093.9 ms  ✓ Unitful → PrintfExt
   3826.5 ms  ✓ Cairo
   2814.0 ms  ✓ Unitful → NaNMathExt
   2816.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3800.8 ms  ✓ KernelDensity
   3401.1 ms  ✓ Interpolations → InterpolationsUnitfulExt
  10421.0 ms  ✓ ColorSchemes
  27217.6 ms  ✓ GeometryBasics
   1599.4 ms  ✓ Packing
   1677.3 ms  ✓ GeometryBasics → IntervalSetsExt
   2155.9 ms  ✓ ShaderAbstractions
   3091.3 ms  ✓ FreeTypeAbstraction
  12610.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   7784.5 ms  ✓ GridLayoutBase
  37696.2 ms  ✓ JSON
   7802.4 ms  ✓ MathTeXEngine
   2000.5 ms  ✓ ColorBrewer
  12860.5 ms  ✓ PlotUtils
  24090.0 ms  ✓ Accessors → UnitfulExt
  25012.0 ms  ✓ Roots → RootsUnitfulExt
  41631.3 ms  ✓ TiffImages
  30498.2 ms  ✓ ImageCore
   1416.8 ms  ✓ WebP
   1470.9 ms  ✓ Sixel
   1533.3 ms  ✓ JpegTurbo
   1739.4 ms  ✓ ImageBase
   2840.5 ms  ✓ PNGFiles
   1660.5 ms  ✓ ImageAxes
    937.6 ms  ✓ ImageMetadata
    963.7 ms  ✓ Netpbm
    380.0 ms  ✓ ImageIO
 100282.0 ms  ✓ Makie
  33934.6 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 240 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 630.97
	System time (seconds): 54.63
	Percent of CPU this job got: 283%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:01.53
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4057720
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 901
	Minor (reclaiming a frame) page faults: 13473103
	Voluntary context switches: 316004
	Involuntary context switches: 201285
	Swaps: 0
	File system inputs: 24
	File system outputs: 2691000
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
