nice: cannot set niceness: Permission denied
Precompiling packages...
   3799.2 ms  ✓ OpenBLASConsistentFPCSR_jll
   4193.0 ms  ✓ FriBidi_jll
   3972.6 ms  ✓ SharedArrays
   3107.4 ms  ✓ SortingAlgorithms
   2497.8 ms  ✓ StructUtils → StructUtilsTablesExt
   6189.7 ms  ✓ FilePathsBase
   5176.8 ms  ✓ ProgressMeter
   3916.3 ms  ✓ FreeType2_jll
   4890.0 ms  ✓ Pixman_jll
  26567.3 ms  ✓ Test
   2401.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5233.9 ms  ✓ Rmath
   4130.9 ms  ✓ CRlibm
   3501.4 ms  ✓ WoodburyMatrices
   3200.2 ms  ✓ SuiteSparse
   5801.4 ms  ✓ OpenEXR_jll
   3302.7 ms  ✓ Statistics → SparseArraysExt
   3503.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3295.9 ms  ✓ Adapt → AdaptSparseArraysExt
  11202.9 ms  ✓ QuadGK
   3805.2 ms  ✓ libsixel_jll
   4010.8 ms  ✓ Libtiff_jll
  11810.2 ms  ✓ StructArrays
  15061.8 ms  ✓ ChainRulesCore
   4563.7 ms  ✓ libvorbis_jll
   2372.5 ms  ✓ Isoband
   4235.2 ms  ✓ GettextRuntime_jll
   2956.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2406.8 ms  ✓ SignedDistanceFields
   3890.7 ms  ✓ FilePaths
   7070.8 ms  ✓ MKL_jll
   3530.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4793.0 ms  ✓ FreeType
   5130.6 ms  ✓ Fontconfig_jll
  14504.1 ms  ✓ ColorTypes
  11092.5 ms  ✓ Xorg_libxcb_jll
   3404.5 ms  ✓ AxisAlgorithms
   2501.7 ms  ✓ StructArrays → StructArraysAdaptExt
   2667.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   8100.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4499.3 ms  ✓ PDMats
   3395.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   7141.3 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   2462.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2607.7 ms  ✓ ColorTypes → StyledStringsExt
  14100.7 ms  ✓ SpecialFunctions
   3834.2 ms  ✓ Xorg_libX11_jll
   5439.2 ms  ✓ Glib_jll
   7508.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3660.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   9163.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3859.1 ms  ✓ Xorg_libXrender_jll
   5298.3 ms  ✓ HypergeometricFunctions
   7995.3 ms  ✓ QOI
  17556.3 ms  ✓ IntervalArithmetic
  17209.7 ms  ✓ StatsBase
   6538.4 ms  ✓ Xorg_libXext_jll
  59510.5 ms  ✓ SIMD
   3771.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3829.0 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4600.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  17939.8 ms  ✓ ColorVectorSpace
  12964.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   6091.3 ms  ✓ PDMats → StatsBaseExt
   6543.0 ms  ✓ Cairo_jll
   7094.0 ms  ✓ Libglvnd_jll
   2708.8 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  63391.6 ms  ✓ Parsers
   3496.5 ms  ✓ HarfBuzz_jll
   4009.3 ms  ✓ libwebp_jll
  50006.7 ms  ✓ StaticArrays
  25897.2 ms  ✓ Colors
  16863.1 ms  ✓ StatsFuns
   4892.1 ms  ✓ libass_jll
   5031.6 ms  ✓ Pango_jll
   3489.2 ms  ✓ Adapt → AdaptStaticArraysExt
   3580.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3683.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3302.9 ms  ✓ Animations
   2505.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6901.6 ms  ✓ OpenEXR
   9558.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  13267.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
  12322.9 ms  ✓ Graphics
  10800.8 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  27503.1 ms  ✓ JSON
  14389.7 ms  ✓ FFMPEG_jll
  23794.0 ms  ✓ ExactPredicates
  21316.3 ms  ✓ ColorSchemes
  51039.7 ms  ✓ FFTW
 111954.8 ms  ✓ Unitful
  18832.9 ms  ✓ Interpolations
   5397.4 ms  ✓ ColorBrewer
   2801.8 ms  ✓ Unitful → NaNMathExt
   2800.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2843.3 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2929.1 ms  ✓ Unitful → PrintfExt
  16705.3 ms  ✓ Cairo
   2715.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
  26115.5 ms  ✓ Distributions
   4587.9 ms  ✓ Distributions → DistributionsTestExt
   8451.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  51242.2 ms  ✓ Automa
  17406.4 ms  ✓ DelaunayTriangulation
   2175.9 ms  ✓ KernelDensity
  23796.9 ms  ✓ PlotUtils
  52050.3 ms  ✓ GeometryBasics
   3601.2 ms  ✓ Packing
   7633.3 ms  ✓ ShaderAbstractions
   8828.4 ms  ✓ FreeTypeAbstraction
 134714.5 ms  ✓ REPL
  18149.5 ms  ✓ GridLayoutBase
  66808.1 ms  ✓ ImageCore
   3792.0 ms  ✓ UnicodeFun
   2478.5 ms  ✓ ImageBase
   2883.7 ms  ✓ WebP
   4997.1 ms  ✓ JpegTurbo
   6128.7 ms  ✓ ImageAxes
   8993.9 ms  ✓ PNGFiles
  14928.7 ms  ✓ Pkg → REPLExt
   3474.1 ms  ✓ ImageMetadata
  92456.4 ms  ✓ TiffImages
   1325.4 ms  ✓ Netpbm
   2892.3 ms  ✓ Sixel
    888.7 ms  ✓ ImageIO
   4730.3 ms  ✓ MathTeXEngine
 122448.6 ms  ✓ Makie
  43214.5 ms  ✓ CairoMakie
  249 dependencies successfully precompiled in 350 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1152.38
	System time (seconds): 70.34
	Percent of CPU this job got: 297%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:50.99
	Average shared text size (kbytes): 0
