Precompiling Pkg...
   3111.2 ms  ✓ OpenBLASConsistentFPCSR_jll
   4175.9 ms  ✓ Libuuid_jll
   3296.9 ms  ✓ OpenSpecFun_jll
   3394.3 ms  ✓ SharedArrays
  17798.5 ms  ✓ Test
   4302.6 ms  ✓ ProgressMeter
   2587.7 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2817.4 ms  ✓ Pixman_jll
   2801.6 ms  ✓ SuiteSparse
   3203.1 ms  ✓ WoodburyMatrices
   3816.7 ms  ✓ StructArrays
   2915.5 ms  ✓ Statistics → SparseArraysExt
   2810.7 ms  ✓ Adapt → AdaptSparseArraysExt
   3114.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2694.4 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3015.1 ms  ✓ FreeType2_jll
   2185.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4084.6 ms  ✓ FilePaths
   2985.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3396.9 ms  ✓ OpenEXR_jll
   2802.0 ms  ✓ SortingAlgorithms
   4105.8 ms  ✓ Rmath
   3091.9 ms  ✓ libsixel_jll
   7818.4 ms  ✓ ColorTypes
   2585.3 ms  ✓ Isoband
   3711.3 ms  ✓ libvorbis_jll
   3120.4 ms  ✓ Libtiff_jll
   5595.5 ms  ✓ QuadGK
   3501.8 ms  ✓ XML2_jll
   3694.0 ms  ✓ Libgcrypt_jll
   6982.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2973.0 ms  ✓ SignedDistanceFields
   3608.9 ms  ✓ StructArrays → StructArraysAdaptExt
   4392.3 ms  ✓ AxisAlgorithms
   5218.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6883.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   9698.2 ms  ✓ MKL_jll
   6512.0 ms  ✓ PDMats
   5516.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4426.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   8191.1 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4603.1 ms  ✓ Fontconfig_jll
  12213.8 ms  ✓ SpecialFunctions
  49197.7 ms  ✓ StyledStrings
   3603.6 ms  ✓ Gettext_jll
   3397.1 ms  ✓ XSLT_jll
   6197.9 ms  ✓ FreeType
   3201.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   2688.0 ms  ✓ ColorTypes → StyledStringsExt
  15885.9 ms  ✓ IntervalArithmetic
   8711.8 ms  ✓ QOI
   3399.8 ms  ✓ Glib_jll
   4900.8 ms  ✓ HypergeometricFunctions
  10689.7 ms  ✓ StatsBase
   2212.4 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   9895.8 ms  ✓ ColorVectorSpace
   7203.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4835.2 ms  ✓ Xorg_libxcb_jll
   1820.2 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2282.5 ms  ✓ Xorg_libX11_jll
   5486.3 ms  ✓ StatsFuns
  32916.1 ms  ✓ SIMD
   3315.1 ms  ✓ Xorg_libXext_jll
  34088.9 ms  ✓ StaticArrays
   4277.5 ms  ✓ Xorg_libXrender_jll
   3321.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3209.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3300.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3693.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4103.9 ms  ✓ Libglvnd_jll
  21683.7 ms  ✓ Colors
   4976.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
   6200.6 ms  ✓ Adapt → AdaptStaticArraysExt
   3694.1 ms  ✓ Graphics
   3708.3 ms  ✓ Animations
  11589.6 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   6087.2 ms  ✓ Cairo_jll
   6285.5 ms  ✓ libwebp_jll
   3895.6 ms  ✓ HarfBuzz_jll
   8110.2 ms  ✓ OpenEXR
   3017.8 ms  ✓ libass_jll
  31589.4 ms  ✓ FFTW
   3327.4 ms  ✓ Pango_jll
   8992.3 ms  ✓ Interpolations
   4182.2 ms  ✓ FFMPEG_jll
   7795.2 ms  ✓ Cairo
  15822.6 ms  ✓ ColorSchemes
  21596.9 ms  ✓ ExactPredicates
  29314.0 ms  ✓ Distributions
  87180.3 ms  ✓ Unitful
   3487.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2010.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3904.7 ms  ✓ Distributions → DistributionsTestExt
   2329.7 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   4000.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
   6994.9 ms  ✓ KernelDensity
  21281.4 ms  ✓ DelaunayTriangulation
  48487.7 ms  ✓ Automa
  81320.8 ms  ✓ Parsers
  47251.6 ms  ✓ GeometryBasics
