nice: cannot set niceness: Permission denied
Precompiling packages...
   4984.0 ms  ✓ FriBidi_jll
   4965.6 ms  ✓ SimpleTraits
   3278.2 ms  ✓ SortingAlgorithms
  29193.0 ms  ✓ SparseArrays
   2619.1 ms  ✓ StructUtils → StructUtilsTablesExt
   6019.5 ms  ✓ FilePathsBase
   3904.3 ms  ✓ FreeType2_jll
   4414.6 ms  ✓ Pixman_jll
   4096.4 ms  ✓ Rmath
   2587.1 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4199.9 ms  ✓ SharedArrays
   5028.7 ms  ✓ OpenEXR_jll
   3492.8 ms  ✓ CRlibm
   4707.8 ms  ✓ ProgressMeter
   4288.1 ms  ✓ libvorbis_jll
   3796.3 ms  ✓ libsixel_jll
   4017.3 ms  ✓ Libtiff_jll
   2370.6 ms  ✓ Isoband
   4278.4 ms  ✓ GettextRuntime_jll
  11907.9 ms  ✓ QuadGK
   3412.2 ms  ✓ WoodburyMatrices
  11472.8 ms  ✓ StructArrays
  14475.6 ms  ✓ ChainRulesCore
   3001.6 ms  ✓ SuiteSparse
   3598.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3302.6 ms  ✓ Statistics → SparseArraysExt
   3094.5 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3287.4 ms  ✓ Adapt → AdaptSparseArraysExt
   4188.8 ms  ✓ FilePaths
  12102.5 ms  ✓ Xorg_libxcb_jll
   2389.4 ms  ✓ StructArrays → StructArraysAdaptExt
  13888.1 ms  ✓ ColorTypes
   3712.3 ms  ✓ AxisAlgorithms
   5218.7 ms  ✓ FreeType
   3314.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
   5428.0 ms  ✓ Fontconfig_jll
   4802.4 ms  ✓ PDMats
   3107.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2513.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2814.4 ms  ✓ ColorTypes → StyledStringsExt
  14377.9 ms  ✓ SpecialFunctions
   4098.6 ms  ✓ Xorg_libX11_jll
   3286.9 ms  ✓ FillArrays → FillArraysPDMatsExt
