nice: cannot set niceness: Permission denied
Precompiling packages...
  28703.7 ms  ✓ SparseArrays
   3818.5 ms  ✓ Libuuid_jll
   4204.5 ms  ✓ OpenBLASConsistentFPCSR_jll
   2379.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3069.8 ms  ✓ SortingAlgorithms
   4211.8 ms  ✓ SimpleTraits
   2679.9 ms  ✓ CoreMath
   5976.6 ms  ✓ FilePathsBase
   2418.1 ms  ✓ StructUtils → StructUtilsTablesExt
   6160.7 ms  ✓ Gamma
   5799.0 ms  ✓ FFTA
   4217.2 ms  ✓ SharedArrays
   4604.6 ms  ✓ ProgressMeter
   2402.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3730.8 ms  ✓ Pixman_jll
   4103.1 ms  ✓ FreeType2_jll
   4184.5 ms  ✓ Rmath
  11575.4 ms  ✓ QuadGK
   4015.7 ms  ✓ libdrm_jll
   3887.5 ms  ✓ x265_jll
  12720.1 ms  ✓ ChainRulesCore
   3413.5 ms  ✓ CRlibm
  10595.9 ms  ✓ StructArrays
   4097.1 ms  ✓ libvorbis_jll
   3813.4 ms  ✓ libsixel_jll
   2884.9 ms  ✓ Isoband
   4884.3 ms  ✓ CodecZstd
   4597.7 ms  ✓ GettextRuntime_jll
  17775.2 ms  ✓ Accessors
   5298.3 ms  ✓ Libtiff_jll
   4190.2 ms  ✓ WoodburyMatrices
  13426.2 ms  ✓ ColorTypes
   3798.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2921.7 ms  ✓ SuiteSparse
   3907.4 ms  ✓ Statistics → SparseArraysExt
   3686.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3624.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
  12624.1 ms  ✓ Xorg_libxcb_jll
   4896.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   8003.7 ms  ✓ FilePaths
   7303.3 ms  ✓ HypergeometricFunctions
  46486.2 ms  ✓ StaticArrays
   7190.7 ms  ✓ Fontconfig_jll
   3795.4 ms  ✓ StructArrays → StructArraysAdaptExt
   9690.7 ms  ✓ FreeType
   8406.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3702.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4803.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4216.6 ms  ✓ Accessors → StructArraysExt
   5294.8 ms  ✓ Glib_jll
   4878.3 ms  ✓ Accessors → IntervalSetsExt
   4521.2 ms  ✓ AxisAlgorithms
   4801.7 ms  ✓ ColorTypes → StyledStringsExt
  53626.2 ms  ✓ Automa
  21810.0 ms  ✓ SpecialFunctions
   5203.7 ms  ✓ PDMats
   3561.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  10303.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5410.5 ms  ✓ Xorg_libX11_jll
   4489.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3595.8 ms  ✓ Adapt → AdaptStaticArraysExt
  57190.4 ms  ✓ SIMD
   3189.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  19870.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2994.4 ms  ✓ Accessors → LinearAlgebraExt
   3904.1 ms  ✓ Accessors → StaticArraysExt
   3796.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   3511.9 ms  ✓ Xorg_libXrender_jll
  22710.7 ms  ✓ IntervalArithmetic
   3422.4 ms  ✓ Xorg_libXext_jll
   3793.7 ms  ✓ Xorg_libXfixes_jll
  10121.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   8419.2 ms  ✓ QOI
   2595.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4282.9 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   9700.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3493.9 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  21490.6 ms  ✓ ColorVectorSpace
   4002.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
  12507.3 ms  ✓ StatsFuns
  20304.3 ms  ✓ StatsBase
   5814.9 ms  ✓ Cairo_jll
   2905.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   5803.0 ms  ✓ libva_jll
