nice: cannot set niceness: Permission denied
Precompiling packages...
   1267.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
    841.9 ms  ✓ PDMats
    638.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
    728.1 ms  ✓ Unitful → PrintfExt
   2496.4 ms  ✓ StatsBase
   5002.4 ms  ✓ Colors
    726.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
    715.2 ms  ✓ Unitful → NaNMathExt
    481.1 ms  ✓ Isoband
    719.9 ms  ✓ FreeType2_jll
    777.0 ms  ✓ Rmath
    863.6 ms  ✓ CRlibm
    845.1 ms  ✓ OpenEXR_jll
    618.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    614.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2485.4 ms  ✓ SpecialFunctions
    643.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    699.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
    594.3 ms  ✓ Adapt → AdaptStaticArraysExt
    840.0 ms  ✓ libvorbis_jll
   4258.3 ms  ✓ JSON
    823.3 ms  ✓ Pixman_jll
    815.0 ms  ✓ GettextRuntime_jll
   1684.5 ms  ✓ Xorg_libxcb_jll
   1393.9 ms  ✓ QOI
    698.3 ms  ✓ Libtiff_jll
    726.3 ms  ✓ libsixel_jll
    680.2 ms  ✓ StructArrays → StructArraysSparseArraysExt
    563.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
    538.5 ms  ✓ StructArrays → StructArraysAdaptExt
    968.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
    909.9 ms  ✓ FillArrays → FillArraysPDMatsExt
    907.4 ms  ✓ PDMats → StatsBaseExt
    904.7 ms  ✓ Animations
    911.6 ms  ✓ Graphics
  19133.7 ms  ✓ Automa
   5567.1 ms  ✓ ColorSchemes
  21054.7 ms  ✓ GeometryBasics
   1028.2 ms  ✓ FreeType
   1150.7 ms  ✓ Fontconfig_jll
   1477.6 ms  ✓ OpenEXR
   2690.1 ms  ✓ IntervalArithmetic
   2075.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1278.5 ms  ✓ HypergeometricFunctions
    756.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   1202.1 ms  ✓ ColorBrewer
   2197.7 ms  ✓ Interpolations
   1165.2 ms  ✓ Glib_jll
    901.5 ms  ✓ Xorg_libX11_jll
   1150.9 ms  ✓ Packing
  72579.4 ms  ✓ REPL
  10052.0 ms  ✓ GridLayoutBase
  28357.5 ms  ✓ ImageCore
    747.8 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2128.2 ms  ✓ ShaderAbstractions
    812.0 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
    626.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3012.2 ms  ✓ FreeTypeAbstraction
   1454.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
   1104.5 ms  ✓ Xorg_libXrender_jll
   2554.6 ms  ✓ StatsFuns
   1099.8 ms  ✓ Xorg_libXext_jll
