nice: cannot set niceness: Permission denied
Precompiling packages...
   2050.4 ms  ✓ IteratorInterfaceExtensions
   2401.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1910.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2610.8 ms  ✓ GettextRuntime_jll
   2491.9 ms  ✓ FilePaths
   1933.8 ms  ✓ StructUtils → StructUtilsTablesExt
   2204.9 ms  ✓ Fontconfig_jll
   6791.3 ms  ✓ Xorg_libxcb_jll
   3301.4 ms  ✓ StructArrays
   2594.6 ms  ✓ AxisAlgorithms
   3498.1 ms  ✓ FreeType
  22297.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3607.1 ms  ✓ PDMats
   5707.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
    StructArraysLinearAlgebraExt Being precompiled by another process (pid: 2679259, pidfile: /workdir/depot/compiled/v1.10/StructArraysLinearAlgebraExt/j2VwV_9L19s.ji.pidfile)
   2907.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2613.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2398.8 ms  ✓ Xorg_libX11_jll
   2991.8 ms  ✓ Glib_jll
   5819.2 ms  ✓ SignedDistanceFields
   2099.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   7497.4 ms  ✓ IntervalArithmetic
   1803.0 ms  ✓ Xorg_libXrender_jll
   1965.3 ms  ✓ Xorg_libXext_jll
   4604.6 ms  ✓ StructArrays → StructArraysAdaptExt
   9796.6 ms  ✓ SpecialFunctions
  27495.0 ms  ✓ StaticArrays
   8988.9 ms  ✓ FixedPointNumbers
   2516.3 ms  ✓ Cairo_jll
   7602.7 ms  ✓ StatsBase
   3102.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3029.0 ms  ✓ Libglvnd_jll
   1807.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1706.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1693.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1593.2 ms  ✓ Adapt → AdaptStaticArraysExt
   3198.2 ms  ✓ HypergeometricFunctions
   2410.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2005.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2198.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5167.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2703.2 ms  ✓ HarfBuzz_jll
   2505.0 ms  ✓ PDMats → StatsBaseExt
  10807.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3470.6 ms  ✓ libwebp_jll
   2888.4 ms  ✓ libass_jll
   6302.0 ms  ✓ ColorTypes
   3993.6 ms  ✓ Pango_jll
IntervalArithmeticIntervalSetsExt Waiting for background task / IO / timer.
[pid 2679506] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x333bd690->0x77b506ba11e0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  37097.0 ms  ✓ Parsers
IntervalArithmeticSparseArraysExt Waiting for background task / IO / timer.
[pid 2679504] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x34817dc0->0x783c6c8eb040
