nice: cannot set niceness: Permission denied
Precompiling packages...
    913.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3104.3 ms  ✓ StatsBase
    787.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
    844.3 ms  ✓ Unitful → ConstructionBaseUnitfulExt
    979.6 ms  ✓ Unitful → PrintfExt
   1954.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1058.2 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1030.6 ms  ✓ Unitful → NaNMathExt
   7412.0 ms  ✓ Colors
   1199.0 ms  ✓ FreeType2_jll
    606.0 ms  ✓ Isoband
   1094.9 ms  ✓ Rmath
   1205.8 ms  ✓ CRlibm
   1326.7 ms  ✓ OpenEXR_jll
    967.9 ms  ✓ libvorbis_jll
   3304.7 ms  ✓ SpecialFunctions
    932.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    803.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    730.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    972.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
    792.4 ms  ✓ Adapt → AdaptStaticArraysExt
   1123.6 ms  ✓ Pixman_jll
   6574.5 ms  ✓ JSON
   1301.3 ms  ✓ GettextRuntime_jll
   2102.5 ms  ✓ QOI
   2323.6 ms  ✓ Xorg_libxcb_jll
   1088.2 ms  ✓ Libtiff_jll
    833.8 ms  ✓ libsixel_jll
    758.2 ms  ✓ StructArrays → StructArraysSparseArraysExt
    557.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
    619.6 ms  ✓ StructArrays → StructArraysAdaptExt
   1034.0 ms  ✓ StructArrays → StructArraysStaticArraysExt
    903.3 ms  ✓ FillArrays → FillArraysPDMatsExt
    897.3 ms  ✓ PDMats → StatsBaseExt
    859.1 ms  ✓ Animations
    948.6 ms  ✓ Graphics
  38662.7 ms  ✓ Automa
  37321.3 ms  ✓ GeometryBasics
   1310.7 ms  ✓ FreeType
   7890.7 ms  ✓ ColorSchemes
   1932.9 ms  ✓ Fontconfig_jll
   2167.6 ms  ✓ OpenEXR
   3835.3 ms  ✓ IntervalArithmetic
   2887.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1681.1 ms  ✓ HypergeometricFunctions
   1002.8 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2206.9 ms  ✓ ColorBrewer
   3036.2 ms  ✓ Interpolations
   1550.6 ms  ✓ Xorg_libX11_jll
   1963.0 ms  ✓ Glib_jll
   2534.8 ms  ✓ Packing
   4868.9 ms  ✓ ShaderAbstractions
  48071.9 ms  ✓ ImageCore
   7515.4 ms  ✓ FreeTypeAbstraction
   1427.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  16833.8 ms  ✓ GridLayoutBase
   1095.6 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
 119779.4 ms  ✓ REPL
    811.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   1138.3 ms  ✓ Xorg_libXrender_jll
   1679.1 ms  ✓ Interpolations → InterpolationsUnitfulExt
   2895.0 ms  ✓ StatsFuns
   1430.4 ms  ✓ Xorg_libXext_jll
   4289.3 ms  ✓ ImageBase
   3827.7 ms  ✓ JpegTurbo
   2648.7 ms  ✓ UnicodeFun
   9408.5 ms  ✓ PNGFiles
  76093.1 ms  ✓ TiffImages
    679.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2304.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   1671.6 ms  ✓ Libglvnd_jll
   1689.4 ms  ✓ Cairo_jll
  27331.2 ms  ✓ PlotUtils
   3097.6 ms  ✓ ImageAxes
  14907.5 ms  ✓ ExactPredicates
   8103.6 ms  ✓ Distributions
   1125.9 ms  ✓ HarfBuzz_jll
   1472.6 ms  ✓ libwebp_jll
   1615.3 ms  ✓ ImageMetadata
   1015.4 ms  ✓ libass_jll
   1287.2 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   1124.2 ms  ✓ Pango_jll
   1335.9 ms  ✓ FFMPEG_jll
   2060.2 ms  ✓ Netpbm
   2761.1 ms  ✓ WebP
   2126.7 ms  ✓ KernelDensity
   1935.4 ms  ✓ Cairo
  18053.9 ms  ✓ Pkg → REPLExt
   5960.6 ms  ✓ DelaunayTriangulation
   2228.8 ms  ✓ Sixel
   1045.1 ms  ✓ ImageIO
   6381.3 ms  ✓ MathTeXEngine
 228916.1 ms  ✓ Makie
  74196.0 ms  ✓ CairoMakie
  241 dependencies successfully precompiled in 479 seconds. 27 already precompiled.
