nice: cannot set niceness: Permission denied
Precompiling packages...
   3801.8 ms  ✓ FriBidi_jll
   3798.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   2422.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2497.6 ms  ✓ StructUtils → StructUtilsTablesExt
   2501.5 ms  ✓ Isoband
   3194.8 ms  ✓ SortingAlgorithms
   3899.7 ms  ✓ Pixman_jll
   3924.6 ms  ✓ libdrm_jll
   2598.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   6103.8 ms  ✓ FilePathsBase
   3697.1 ms  ✓ SharedArrays
   4191.6 ms  ✓ Rmath
   4996.4 ms  ✓ ProgressMeter
   3473.9 ms  ✓ CRlibm
   3810.4 ms  ✓ libsixel_jll
   4287.1 ms  ✓ libvorbis_jll
   4893.5 ms  ✓ OpenEXR_jll
   3797.7 ms  ✓ Libtiff_jll
  11102.1 ms  ✓ StructArrays
  11407.7 ms  ✓ QuadGK
   3719.9 ms  ✓ FreeType2_jll
   3504.4 ms  ✓ WoodburyMatrices
   3503.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
  13703.7 ms  ✓ ChainRulesCore
   4384.5 ms  ✓ GettextRuntime_jll
   3199.0 ms  ✓ SuiteSparse
   3000.9 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3511.9 ms  ✓ Statistics → SparseArraysExt
   3376.5 ms  ✓ Adapt → AdaptSparseArraysExt
  14199.9 ms  ✓ ColorTypes
   2588.4 ms  ✓ StructArrays → StructArraysAdaptExt
   3998.8 ms  ✓ FilePaths
   3473.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2696.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
  11106.7 ms  ✓ Xorg_libxcb_jll
   3404.5 ms  ✓ AxisAlgorithms
   2617.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4586.4 ms  ✓ FreeType
   5386.6 ms  ✓ Fontconfig_jll
   2691.2 ms  ✓ ColorTypes → StyledStringsExt
  13818.0 ms  ✓ SpecialFunctions
   4601.9 ms  ✓ PDMats
   5521.9 ms  ✓ Glib_jll
   4015.8 ms  ✓ Xorg_libX11_jll
   7992.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  10913.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5094.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  46666.7 ms  ✓ StaticArrays
   7794.0 ms  ✓ QOI
   7400.4 ms  ✓ HypergeometricFunctions
   3883.9 ms  ✓ Xorg_libXfixes_jll
   5780.6 ms  ✓ Xorg_libXrender_jll
   5616.6 ms  ✓ Xorg_libXext_jll
  17902.6 ms  ✓ IntervalArithmetic
   9876.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3517.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3508.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3611.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3412.9 ms  ✓ Adapt → AdaptStaticArraysExt
   2888.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   7064.4 ms  ✓ Libglvnd_jll
  21794.5 ms  ✓ StatsBase
   7391.7 ms  ✓ libva_jll
   6898.3 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4573.3 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  23620.2 ms  ✓ ColorVectorSpace
  14325.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  61004.7 ms  ✓ SIMD
  11306.0 ms  ✓ Cairo_jll
  61904.9 ms  ✓ Parsers
  13401.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4703.5 ms  ✓ PDMats → StatsBaseExt
   2691.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   5823.5 ms  ✓ libwebp_jll
   2997.8 ms  ✓ HarfBuzz_jll
  16410.6 ms  ✓ StatsFuns
  30002.7 ms  ✓ Colors
   3697.8 ms  ✓ libass_jll
   3912.6 ms  ✓ Pango_jll
