nice: cannot set niceness: Permission denied
Precompiling packages...
   3603.2 ms  ✓ OpenSpecFun_jll
   3790.9 ms  ✓ FriBidi_jll
   3700.3 ms  ✓ Libuuid_jll
   2419.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4236.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   2816.3 ms  ✓ SortingAlgorithms
   3298.9 ms  ✓ CoreMath
   6399.6 ms  ✓ FilePathsBase
   5274.6 ms  ✓ Gamma
   2392.2 ms  ✓ StructUtils → StructUtilsTablesExt
   3596.5 ms  ✓ Pixman_jll
   5907.7 ms  ✓ FFTA
   3225.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3421.8 ms  ✓ SharedArrays
   3686.1 ms  ✓ FreeType2_jll
   4606.5 ms  ✓ ProgressMeter
   3592.0 ms  ✓ libdrm_jll
  11592.3 ms  ✓ QuadGK
   3882.5 ms  ✓ Rmath
  13871.9 ms  ✓ ChainRulesCore
  10381.0 ms  ✓ StructArrays
   4186.7 ms  ✓ XZ_jll
   3777.7 ms  ✓ CRlibm
   3405.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4697.7 ms  ✓ WoodburyMatrices
   2816.4 ms  ✓ SuiteSparse
   3306.5 ms  ✓ Statistics → SparseArraysExt
  17123.9 ms  ✓ Accessors
   3611.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2684.2 ms  ✓ Isoband
   5115.7 ms  ✓ libsixel_jll
   3114.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   5696.3 ms  ✓ GettextRuntime_jll
   6304.7 ms  ✓ CodecZstd
  15698.0 ms  ✓ ColorTypes
   5011.3 ms  ✓ FilePaths
  46301.5 ms  ✓ StaticArrays
   4802.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  12306.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7284.4 ms  ✓ FreeType
   4881.5 ms  ✓ StructArrays → StructArraysAdaptExt
   8674.6 ms  ✓ HypergeometricFunctions
   8705.8 ms  ✓ Fontconfig_jll
  15034.6 ms  ✓ Xorg_libxcb_jll
   7400.9 ms  ✓ libvorbis_jll
  46607.9 ms  ✓ Parsers
   4121.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3588.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4201.4 ms  ✓ AxisAlgorithms
  15513.3 ms  ✓ SpecialFunctions
   5809.9 ms  ✓ Libtiff_jll
   4735.3 ms  ✓ PDMats
   4184.9 ms  ✓ Accessors → StructArraysExt
  52907.8 ms  ✓ Automa
   3902.9 ms  ✓ Accessors → IntervalSetsExt
  11811.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4281.3 ms  ✓ Accessors → LinearAlgebraExt
   2606.5 ms  ✓ ColorTypes → StyledStringsExt
   3302.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   6102.9 ms  ✓ Glib_jll
   3078.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3286.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3721.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3589.3 ms  ✓ Accessors → StaticArraysExt
   5572.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   7396.6 ms  ✓ Xorg_libX11_jll
  62410.1 ms  ✓ SIMD
  11884.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  12013.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
  19807.4 ms  ✓ IntervalArithmetic
  17973.1 ms  ✓ StatsBase
   3688.8 ms  ✓ Xorg_libXrender_jll
   3692.1 ms  ✓ Xorg_libXext_jll
   4008.7 ms  ✓ Xorg_libXfixes_jll
  12213.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2719.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  21007.0 ms  ✓ ColorVectorSpace
   4310.0 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   8513.8 ms  ✓ QOI
   3591.1 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  14989.5 ms  ✓ StatsFuns
   4185.8 ms  ✓ PDMats → StatsBaseExt
   5787.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   3992.1 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3011.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5473.8 ms  ✓ Cairo_jll
   5408.0 ms  ✓ Libglvnd_jll
   7498.5 ms  ✓ libva_jll
  22098.5 ms  ✓ Roots
   8523.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  29695.1 ms  ✓ Colors
  99101.5 ms  ✓ Unitful
   6816.4 ms  ✓ HarfBuzz_jll
  15604.0 ms  ✓ Interpolations
   7085.6 ms  ✓ libwebp_jll
   3910.4 ms  ✓ Roots → RootsChainRulesCoreExt
   3192.6 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3287.4 ms  ✓ Animations
   3692.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   4894.9 ms  ✓ Unitful → NaNMathExt
   3417.8 ms  ✓ Unitful → PrintfExt
  31598.2 ms  ✓ JSON
   3205.7 ms  ✓ Roots → RootsUnitfulExt
   4510.7 ms  ✓ Accessors → UnitfulExt
   7385.8 ms  ✓ OpenEXR
   4201.6 ms  ✓ libass_jll
   4117.1 ms  ✓ Pango_jll
   4178.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
   9103.5 ms  ✓ Graphics
   4182.0 ms  ✓ ColorBrewer
  20804.9 ms  ✓ ExactPredicates
   3907.2 ms  ✓ FFMPEG_jll
   4919.2 ms  ✓ Cairo
  14088.4 ms  ✓ ColorSchemes
  16107.2 ms  ✓ Distributions
   4294.9 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  10306.5 ms  ✓ DelaunayTriangulation
  49230.9 ms  ✓ GeometryBasics
   3895.6 ms  ✓ KernelDensity
   2063.3 ms  ✓ GeometryBasics → IntervalSetsExt
   2322.6 ms  ✓ Packing
   3803.4 ms  ✓ ShaderAbstractions
   4041.7 ms  ✓ FreeTypeAbstraction
  22190.1 ms  ✓ PlotUtils
  16455.8 ms  ✓ GridLayoutBase
 128707.9 ms  ✓ REPL
  46593.1 ms  ✓ ImageCore
   2184.5 ms  ✓ UnicodeFun
   2785.5 ms  ✓ WebP
   2820.7 ms  ✓ ImageBase
   5385.8 ms  ✓ JpegTurbo
   8808.5 ms  ✓ PNGFiles
   6366.5 ms  ✓ ImageAxes
   2772.3 ms  ✓ ImageMetadata
  12896.8 ms  ✓ Pkg → REPLExt
  75005.3 ms  ✓ TiffImages
   1355.1 ms  ✓ Netpbm
   1742.7 ms  ✓ Sixel
    856.0 ms  ✓ ImageIO
   5515.0 ms  ✓ MathTeXEngine
 132334.9 ms  ✓ Makie
  43522.2 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 350 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 170 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1130.79
	System time (seconds): 66.62
	Percent of CPU this job got: 289%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:54.01
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4473168
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 848
	Minor (reclaiming a frame) page faults: 17485688
	Voluntary context switches: 46194
	Involuntary context switches: 122492
	Swaps: 0
	File system inputs: 0
	File system outputs: 3121776
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
