nice: cannot set niceness: Permission denied
Precompiling packages...
   3973.1 ms  ✓ OpenBLASConsistentFPCSR_jll
   2917.3 ms  ✓ CommonSolve
  25687.9 ms  ✓ SparseArrays
   2193.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4693.6 ms  ✓ SimpleTraits
   4115.0 ms  ✓ GettextRuntime_jll
   4714.0 ms  ✓ MuladdMacro
   2833.7 ms  ✓ SortingAlgorithms
   2715.7 ms  ✓ CoreMath
   5289.2 ms  ✓ Gamma
   6261.9 ms  ✓ FilePathsBase
   3607.6 ms  ✓ Pixman_jll
   3703.7 ms  ✓ FreeType2_jll
   3682.5 ms  ✓ libdrm_jll
   2459.6 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4187.4 ms  ✓ Rmath
   3229.6 ms  ✓ CRlibm
   2626.6 ms  ✓ StructUtils → StructUtilsTablesExt
   3595.5 ms  ✓ SharedArrays
   4791.6 ms  ✓ OpenEXR_jll
   3712.7 ms  ✓ libsixel_jll
   4408.4 ms  ✓ ProgressMeter
  11019.0 ms  ✓ QuadGK
  13196.0 ms  ✓ ChainRulesCore
   4003.5 ms  ✓ libvorbis_jll
   4394.9 ms  ✓ Libtiff_jll
   5190.0 ms  ✓ CodecZstd
   2500.1 ms  ✓ Isoband
  17262.9 ms  ✓ Accessors
   3667.9 ms  ✓ WoodburyMatrices
  10818.5 ms  ✓ StructArrays
   4402.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3304.6 ms  ✓ SuiteSparse
   3285.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3405.1 ms  ✓ Statistics → SparseArraysExt
  14800.1 ms  ✓ ColorTypes
   5138.5 ms  ✓ Glib_jll
   3090.0 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   5124.3 ms  ✓ FFTA
   4319.0 ms  ✓ FilePaths
   4799.8 ms  ✓ PDMats
   4800.9 ms  ✓ FreeType
   2803.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   6779.8 ms  ✓ HypergeometricFunctions
  13899.7 ms  ✓ SpecialFunctions
   2886.2 ms  ✓ Accessors → LinearAlgebraExt
   2807.7 ms  ✓ Accessors → IntervalSetsExt
   2396.2 ms  ✓ StructArrays → StructArraysAdaptExt
   3495.7 ms  ✓ AxisAlgorithms
   3003.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3626.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3012.9 ms  ✓ Accessors → StructArraysExt
  10501.6 ms  ✓ Xorg_libxcb_jll
  19526.6 ms  ✓ IntervalArithmetic
   7900.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   9902.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2897.5 ms  ✓ ColorTypes → StyledStringsExt
   5001.8 ms  ✓ Fontconfig_jll
   3693.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   2601.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3758.6 ms  ✓ Xorg_libX11_jll
   3719.7 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3882.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   3593.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  10092.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3606.1 ms  ✓ Xorg_libXext_jll
   5499.1 ms  ✓ Xorg_libXrender_jll
  42308.4 ms  ✓ StaticArrays
   4098.5 ms  ✓ Xorg_libXfixes_jll
   8337.1 ms  ✓ QOI
  14285.2 ms  ✓ StatsFuns
  17215.3 ms  ✓ StatsBase
   3088.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3100.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4721.8 ms  ✓ Cairo_jll
   5119.0 ms  ✓ Libglvnd_jll
   4264.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3701.1 ms  ✓ Accessors → StaticArraysExt
  20707.2 ms  ✓ ColorVectorSpace
   4709.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2734.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  10987.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  21705.3 ms  ✓ Roots
  53661.5 ms  ✓ SIMD
   7794.5 ms  ✓ libva_jll
   5801.6 ms  ✓ PDMats → StatsBaseExt
   6098.6 ms  ✓ HarfBuzz_jll
   3705.9 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  11904.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   7284.8 ms  ✓ libwebp_jll
  29400.1 ms  ✓ Colors
  12110.2 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   6943.2 ms  ✓ Roots → RootsChainRulesCoreExt
   6480.3 ms  ✓ libass_jll
   4793.2 ms  ✓ Animations
  11600.6 ms  ✓ Pango_jll
   6616.1 ms  ✓ FFMPEG_jll
  57009.5 ms  ✓ Automa
  11500.5 ms  ✓ Graphics
  12596.4 ms  ✓ OpenEXR
  19101.2 ms  ✓ Interpolations
 101714.3 ms  ✓ Unitful
  27992.4 ms  ✓ ExactPredicates
   2894.0 ms  ✓ Unitful → NaNMathExt
   3280.6 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3389.6 ms  ✓ Accessors → UnitfulExt
   3395.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3413.7 ms  ✓ Roots → RootsUnitfulExt
   3591.1 ms  ✓ Unitful → PrintfExt
   5283.9 ms  ✓ Interpolations → InterpolationsUnitfulExt
  24702.2 ms  ✓ Distributions
  19175.2 ms  ✓ ColorSchemes
  12922.1 ms  ✓ Cairo
   8492.8 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2792.7 ms  ✓ KernelDensity
  16997.4 ms  ✓ DelaunayTriangulation
  90317.3 ms  ✓ Parsers
  50432.4 ms  ✓ GeometryBasics
   2269.9 ms  ✓ GeometryBasics → IntervalSetsExt
   2941.5 ms  ✓ Packing
  21516.4 ms  ✓ PlotUtils
   6446.7 ms  ✓ ShaderAbstractions
   6521.0 ms  ✓ FreeTypeAbstraction
  13754.7 ms  ✓ GridLayoutBase
  57194.6 ms  ✓ ImageCore
  27384.9 ms  ✓ JSON
   8591.7 ms  ✓ WebP
   9084.5 ms  ✓ ImageBase
   9138.8 ms  ✓ ColorBrewer
  10545.3 ms  ✓ JpegTurbo
 130492.0 ms  ✓ REPL
  11841.4 ms  ✓ PNGFiles
   2911.6 ms  ✓ ImageAxes
   1316.6 ms  ✓ UnicodeFun
    933.7 ms  ✓ ImageMetadata
   3465.2 ms  ✓ Netpbm
  83239.4 ms  ✓ TiffImages
   8508.5 ms  ✓ Pkg → REPLExt
   1706.6 ms  ✓ Sixel
    854.3 ms  ✓ ImageIO
   4231.3 ms  ✓ MathTeXEngine
 135102.1 ms  ✓ Makie
  40955.4 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 359 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 170 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1175.31
	System time (seconds): 67.24
	Percent of CPU this job got: 292%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:04.19
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4533108
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1123
	Minor (reclaiming a frame) page faults: 17263452
	Voluntary context switches: 45445
	Involuntary context switches: 115851
	Swaps: 0
	File system inputs: 0
	File system outputs: 2583320
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
