Precompiling Pkg...
  19890.4 ms  ✓ FileIO
  16380.1 ms  ✓ Test
   4705.1 ms  ✓ OpenSpecFun_jll
   2315.1 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2296.2 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4692.0 ms  ✓ StructArrays
   3988.5 ms  ✓ SharedArrays
   4300.6 ms  ✓ ProgressMeter
   2689.2 ms  ✓ Pixman_jll
   3184.0 ms  ✓ FilePaths
   3023.2 ms  ✓ FreeType2_jll
   3892.8 ms  ✓ Rmath
   2785.8 ms  ✓ oneTBB_jll
   2921.1 ms  ✓ SortingAlgorithms
   3131.1 ms  ✓ OpenEXR_jll
   2506.6 ms  ✓ SuiteSparse
   3092.2 ms  ✓ CRlibm
   2689.5 ms  ✓ Statistics → SparseArraysExt
   7198.5 ms  ✓ ColorTypes
   2874.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2408.6 ms  ✓ Adapt → AdaptSparseArraysExt
   5316.4 ms  ✓ QuadGK
   2888.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2770.8 ms  ✓ Libiconv_jll
   6591.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2981.9 ms  ✓ libsixel_jll
   2320.7 ms  ✓ Isoband
   3282.2 ms  ✓ libvorbis_jll
   2701.6 ms  ✓ AxisAlgorithms
   3197.8 ms  ✓ Libtiff_jll
   1913.3 ms  ✓ SignedDistanceFields
   2688.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2088.6 ms  ✓ StructArrays → StructArraysAdaptExt
   2317.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2802.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   6814.3 ms  ✓ Xorg_libxcb_jll
   5203.9 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   3700.6 ms  ✓ PDMats
   5089.3 ms  ✓ FreeType
   7505.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5107.9 ms  ✓ Fontconfig_jll
   3410.6 ms  ✓ GettextRuntime_jll
   8717.6 ms  ✓ MKL_jll
   4186.9 ms  ✓ Xorg_libX11_jll
   4993.5 ms  ✓ FillArrays → FillArraysPDMatsExt
   4093.1 ms  ✓ Glib_jll
  49781.4 ms  ✓ StyledStrings
   3122.6 ms  ✓ Xorg_libXext_jll
   3205.3 ms  ✓ Xorg_libXrender_jll
  11521.5 ms  ✓ IntervalArithmetic
  13982.3 ms  ✓ SpecialFunctions
  10486.8 ms  ✓ QOI
  10906.6 ms  ✓ StatsBase
