nice: cannot set niceness: Permission denied
Precompiling packages...
   5738.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1803.4 ms  ✓ Isoband
   3012.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2588.9 ms  ✓ GettextRuntime_jll
   2597.8 ms  ✓ FilePaths
   2516.2 ms  ✓ AxisAlgorithms
   2490.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3697.3 ms  ✓ FreeType
   3189.6 ms  ✓ Fontconfig_jll
   7497.2 ms  ✓ Xorg_libxcb_jll
   3560.7 ms  ✓ PDMats
   2607.7 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2819.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2061.9 ms  ✓ StructArrays → StructArraysAdaptExt
   2237.0 ms  ✓ Xorg_libX11_jll
   2784.4 ms  ✓ Glib_jll
   2686.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   6332.4 ms  ✓ SignedDistanceFields
   2532.8 ms  ✓ FillArrays → FillArraysPDMatsExt
   1707.3 ms  ✓ Xorg_libXext_jll
   1710.1 ms  ✓ Xorg_libXrender_jll
   8578.6 ms  ✓ IntervalArithmetic
  10506.5 ms  ✓ SpecialFunctions
   8821.1 ms  ✓ FixedPointNumbers
  28698.2 ms  ✓ StaticArrays
   8306.8 ms  ✓ StatsBase
   3317.1 ms  ✓ Cairo_jll
   3452.7 ms  ✓ Libglvnd_jll
   3198.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2850.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3089.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3095.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3594.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3682.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4499.2 ms  ✓ HypergeometricFunctions
   2978.7 ms  ✓ PDMats → StatsBaseExt
   3239.9 ms  ✓ HarfBuzz_jll
   6854.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3090.4 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   7283.5 ms  ✓ ColorTypes
   5218.6 ms  ✓ libwebp_jll
  35584.9 ms  ✓ SIMD
   3284.4 ms  ✓ Pango_jll
   3402.6 ms  ✓ libass_jll
   6336.3 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   5485.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4568.5 ms  ✓ QOI
   4889.7 ms  ✓ FFMPEG_jll
   9399.9 ms  ✓ StatsFuns
  44303.8 ms  ✓ Parsers
   3024.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  13793.8 ms  ✓ Interpolations
  12218.1 ms  ✓ ColorVectorSpace
  29176.8 ms  ✓ FFTW
   6217.0 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  17753.6 ms  ✓ ExactPredicates
   1815.9 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  15507.1 ms  ✓ Colors
   2577.7 ms  ✓ Graphics
   2698.6 ms  ✓ Animations
   3197.1 ms  ✓ OpenEXR
   9999.5 ms  ✓ JSON
   2915.7 ms  ✓ Cairo
   2306.9 ms  ✓ ColorBrewer
  15220.3 ms  ✓ Distributions
  11229.3 ms  ✓ DelaunayTriangulation
   3775.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  13080.2 ms  ✓ ColorSchemes
  71100.9 ms  ✓ Unitful
  37181.4 ms  ✓ GeometryBasics
   2684.0 ms  ✓ Unitful → PrintfExt
   7719.1 ms  ✓ KernelDensity
  33398.3 ms  ✓ Automa
   2286.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3202.7 ms  ✓ Packing
   2503.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2499.6 ms  ✓ Unitful → NaNMathExt
   3012.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
   3906.8 ms  ✓ ShaderAbstractions
   4567.6 ms  ✓ FreeTypeAbstraction
   7709.0 ms  ✓ GridLayoutBase
   5632.3 ms  ✓ MathTeXEngine
  13779.8 ms  ✓ PlotUtils
  34276.6 ms  ✓ ImageCore
  50717.7 ms  ✓ TiffImages
   2021.2 ms  ✓ WebP
   2137.7 ms  ✓ Sixel
   2177.2 ms  ✓ JpegTurbo
   2358.5 ms  ✓ ImageBase
   3491.7 ms  ✓ PNGFiles
   1560.6 ms  ✓ ImageAxes
    910.7 ms  ✓ ImageMetadata
    926.5 ms  ✓ Netpbm
    385.9 ms  ✓ ImageIO
  92265.5 ms  ✓ Makie
  33663.5 ms  ✓ CairoMakie
  239 dependencies successfully precompiled in 233 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 622.38
	System time (seconds): 53.87
	Percent of CPU this job got: 289%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:53.92
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3755744
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 630
	Minor (reclaiming a frame) page faults: 12528152
	Voluntary context switches: 276757
	Involuntary context switches: 179636
	Swaps: 0
	File system inputs: 392
	File system outputs: 2629984
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
