nice: cannot set niceness: Permission denied
Precompiling packages...
   4001.0 ms  ✓ OpenBLASConsistentFPCSR_jll
   3093.3 ms  ✓ CommonSolve
  26897.5 ms  ✓ SparseArrays
   2497.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4598.5 ms  ✓ MuladdMacro
   2791.4 ms  ✓ CoreMath
   3106.1 ms  ✓ SortingAlgorithms
   5463.7 ms  ✓ Gamma
   3602.1 ms  ✓ Pixman_jll
   5986.1 ms  ✓ FilePathsBase
   3906.4 ms  ✓ FreeType2_jll
   3787.1 ms  ✓ EarCut_jll
   2432.6 ms  ✓ StructUtils → StructUtilsTablesExt
   3598.6 ms  ✓ libdrm_jll
   3410.7 ms  ✓ SharedArrays
   2713.7 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4517.0 ms  ✓ ProgressMeter
   3600.8 ms  ✓ CRlibm
   5004.6 ms  ✓ OpenEXR_jll
  11609.5 ms  ✓ QuadGK
   4996.7 ms  ✓ libvorbis_jll
  13479.1 ms  ✓ ChainRulesCore
   3895.4 ms  ✓ libsixel_jll
  10304.0 ms  ✓ StructArrays
   3182.4 ms  ✓ Isoband
  16895.2 ms  ✓ Accessors
   5091.4 ms  ✓ CodecZstd
   4395.5 ms  ✓ Libtiff_jll
   3306.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4684.7 ms  ✓ GettextRuntime_jll
   4582.4 ms  ✓ WoodburyMatrices
  13007.6 ms  ✓ ColorTypes
   3175.1 ms  ✓ Statistics → SparseArraysExt
   3087.8 ms  ✓ SuiteSparse
  10499.6 ms  ✓ Xorg_libxcb_jll
   3215.1 ms  ✓ Adapt → AdaptSparseArraysExt
   2904.9 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   5169.5 ms  ✓ FFTA
   2791.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3998.3 ms  ✓ FilePaths
   4698.7 ms  ✓ FreeType
   4945.9 ms  ✓ Fontconfig_jll
   2242.4 ms  ✓ StructArrays → StructArraysAdaptExt
   6580.9 ms  ✓ HypergeometricFunctions
   2804.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3502.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2980.3 ms  ✓ Accessors → StructArraysExt
   2696.3 ms  ✓ Accessors → LinearAlgebraExt
   2812.1 ms  ✓ Accessors → IntervalSetsExt
  13802.5 ms  ✓ SpecialFunctions
   8099.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2713.6 ms  ✓ ColorTypes → StyledStringsExt
   4905.1 ms  ✓ Glib_jll
  10092.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4222.1 ms  ✓ AxisAlgorithms
   5019.4 ms  ✓ PDMats
   4396.1 ms  ✓ Xorg_libX11_jll
   3378.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   3695.8 ms  ✓ Xorg_libXrender_jll
   8491.2 ms  ✓ QOI
   9302.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  19798.7 ms  ✓ IntervalArithmetic
   3104.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4921.6 ms  ✓ Xorg_libXfixes_jll
   6103.8 ms  ✓ Xorg_libXext_jll
  17568.3 ms  ✓ StatsBase
  47211.0 ms  ✓ StaticArrays
  47907.5 ms  ✓ Parsers
  18398.9 ms  ✓ StatsFuns
   8814.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   9702.3 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   6600.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   7109.9 ms  ✓ Libglvnd_jll
  51504.5 ms  ✓ Automa
   8306.7 ms  ✓ Cairo_jll
   5678.4 ms  ✓ PDMats → StatsBaseExt
  21995.9 ms  ✓ Roots
  25405.6 ms  ✓ ColorVectorSpace
   4199.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   7630.1 ms  ✓ libva_jll
   5005.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4993.8 ms  ✓ Adapt → AdaptStaticArraysExt
   2897.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3690.4 ms  ✓ Accessors → StaticArraysExt
   5894.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  56393.4 ms  ✓ SIMD
   2821.4 ms  ✓ Roots → RootsChainRulesCoreExt
   3010.1 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   4588.0 ms  ✓ HarfBuzz_jll
   5298.7 ms  ✓ libwebp_jll
   7208.9 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  12588.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   9891.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4078.0 ms  ✓ libass_jll
   4704.1 ms  ✓ Pango_jll
  36782.2 ms  ✓ Colors
   4617.1 ms  ✓ Animations
 102318.3 ms  ✓ Unitful
   9228.2 ms  ✓ FFMPEG_jll
  19521.0 ms  ✓ ExactPredicates
   8496.3 ms  ✓ OpenEXR
   8915.4 ms  ✓ Graphics
   3513.6 ms  ✓ Unitful → NaNMathExt
   3687.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3607.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3692.9 ms  ✓ Unitful → PrintfExt
   3214.0 ms  ✓ Accessors → UnitfulExt
   2799.2 ms  ✓ Roots → RootsUnitfulExt
  16008.3 ms  ✓ Interpolations
  26124.2 ms  ✓ JSON
  23619.8 ms  ✓ Distributions
   4110.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
   7222.9 ms  ✓ Cairo
  16097.7 ms  ✓ ColorSchemes
   2676.4 ms  ✓ ColorBrewer
   3785.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2196.9 ms  ✓ KernelDensity
  11843.5 ms  ✓ DelaunayTriangulation
  39069.7 ms  ✓ GeometryBasics
   1535.6 ms  ✓ GeometryBasics → IntervalSetsExt
   1828.1 ms  ✓ Packing
   4720.5 ms  ✓ ShaderAbstractions
   5979.8 ms  ✓ FreeTypeAbstraction
  15104.9 ms  ✓ PlotUtils
  12834.1 ms  ✓ GridLayoutBase
  44328.0 ms  ✓ ImageCore
   7495.1 ms  ✓ ImageBase
   7691.2 ms  ✓ WebP
  10421.8 ms  ✓ JpegTurbo
 136417.5 ms  ✓ REPL
  11574.5 ms  ✓ PNGFiles
   4314.8 ms  ✓ ImageAxes
   3284.5 ms  ✓ ImageMetadata
   3776.1 ms  ✓ UnicodeFun
   3541.6 ms  ✓ Netpbm
  72466.4 ms  ✓ TiffImages
   9248.9 ms  ✓ Pkg → REPLExt
   1711.1 ms  ✓ Sixel
    873.2 ms  ✓ ImageIO
   5498.9 ms  ✓ MathTeXEngine
 131876.4 ms  ✓ Makie
  43665.0 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 354 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 170 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1142.49
	System time (seconds): 67.44
	Percent of CPU this job got: 289%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:57.93
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4475632
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 904
	Minor (reclaiming a frame) page faults: 17550211
	Voluntary context switches: 45727
	Involuntary context switches: 109410
	Swaps: 0
	File system inputs: 0
	File system outputs: 3125816
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
