nice: cannot set niceness: Permission denied
Precompiling packages...
   5403.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2398.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2707.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2807.0 ms  ✓ WoodburyMatrices
   2604.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2791.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2293.8 ms  ✓ Accessors → StructArraysExt
   2898.0 ms  ✓ OpenEXR_jll
   2505.5 ms  ✓ Accessors → LinearAlgebraExt
   2497.1 ms  ✓ Accessors → IntervalSetsExt
   2419.8 ms  ✓ CRlibm
   2323.6 ms  ✓ libvorbis_jll
   2496.0 ms  ✓ libsixel_jll
   2701.4 ms  ✓ Libtiff_jll
   2718.5 ms  ✓ GettextRuntime_jll
   1997.4 ms  ✓ Isoband
   3619.4 ms  ✓ CodecZstd
   2392.5 ms  ✓ FilePaths
   3102.4 ms  ✓ Fontconfig_jll
   3797.8 ms  ✓ FreeType
   2686.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2906.6 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2701.8 ms  ✓ AxisAlgorithms
   6593.3 ms  ✓ Xorg_libxcb_jll
   3303.3 ms  ✓ PDMats
   3022.5 ms  ✓ Glib_jll
   2798.7 ms  ✓ Xorg_libX11_jll
  30211.6 ms  ✓ StaticArrays
   7910.8 ms  ✓ SignedDistanceFields
   8475.8 ms  ✓ IntervalArithmetic
   2586.3 ms  ✓ FillArrays → FillArraysPDMatsExt
   2577.3 ms  ✓ Xorg_libXrender_jll
   2575.3 ms  ✓ Xorg_libXext_jll
   2601.4 ms  ✓ Xorg_libXfixes_jll
  11502.7 ms  ✓ SpecialFunctions
  10104.0 ms  ✓ StatsBase
   3699.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4800.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  11494.9 ms  ✓ FixedPointNumbers
   4394.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3918.5 ms  ✓ Adapt → AdaptStaticArraysExt
   5988.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3876.7 ms  ✓ Accessors → StaticArraysExt
   3200.4 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  35528.4 ms  ✓ SIMD
   2923.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   5100.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3094.8 ms  ✓ Cairo_jll
   3715.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   3403.8 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2807.1 ms  ✓ libva_jll
   4981.2 ms  ✓ Libglvnd_jll
   3285.8 ms  ✓ Ratios → RatiosFixedPointNumbersExt
  15279.1 ms  ✓ Roots
   3203.9 ms  ✓ HarfBuzz_jll
   4899.6 ms  ✓ PDMats → StatsBaseExt
   5518.0 ms  ✓ StatsFuns
   2723.6 ms  ✓ libwebp_jll
  41619.3 ms  ✓ Automa
   2126.6 ms  ✓ Roots → RootsChainRulesCoreExt
   6896.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1901.4 ms  ✓ libass_jll
   1503.2 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   6315.7 ms  ✓ ColorTypes
   2203.7 ms  ✓ Pango_jll
   7121.3 ms  ✓ Interpolations
   2000.5 ms  ✓ FFMPEG_jll
   3513.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   2197.9 ms  ✓ QOI
   8776.9 ms  ✓ ExactPredicates
   5235.7 ms  ✓ ColorVectorSpace
   1095.3 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   9206.1 ms  ✓ Colors
  11104.3 ms  ✓ Distributions
   3398.9 ms  ✓ Graphics
   3603.2 ms  ✓ Animations
   9726.8 ms  ✓ DelaunayTriangulation
   4369.9 ms  ✓ OpenEXR
  64852.7 ms  ✓ Unitful
   4773.7 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   3226.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3933.6 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4699.6 ms  ✓ Unitful → PrintfExt
   5802.1 ms  ✓ Cairo
   5198.4 ms  ✓ Accessors → UnitfulExt
   5318.2 ms  ✓ Unitful → NaNMathExt
   5619.3 ms  ✓ Roots → RootsUnitfulExt
   6814.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
  13795.4 ms  ✓ ColorSchemes
  34490.4 ms  ✓ GeometryBasics
   8131.7 ms  ✓ KernelDensity
   2128.6 ms  ✓ GeometryBasics → IntervalSetsExt
   2528.2 ms  ✓ Packing
   3094.4 ms  ✓ ShaderAbstractions
   3877.8 ms  ✓ FreeTypeAbstraction
   7704.6 ms  ✓ GridLayoutBase
   6919.8 ms  ✓ MathTeXEngine
  77743.2 ms  ✓ Parsers
  12570.4 ms  ✓ PlotUtils
  41500.6 ms  ✓ TiffImages
  34001.5 ms  ✓ ImageCore
   1820.2 ms  ✓ WebP
   1953.9 ms  ✓ Sixel
   1992.3 ms  ✓ JpegTurbo
   2243.2 ms  ✓ ImageBase
   3526.1 ms  ✓ PNGFiles
   1767.9 ms  ✓ ImageAxes
   1007.8 ms  ✓ ImageMetadata
   1019.0 ms  ✓ Netpbm
    388.8 ms  ✓ ImageIO
  18802.2 ms  ✓ JSON
   1440.5 ms  ✓ ColorBrewer
 100172.3 ms  ✓ Makie
   4340.7 ms  ✓ IntervalArithmetic → IntervalArithmeticMakieExt
  31591.8 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 250 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 665.56
	System time (seconds): 54.73
	Percent of CPU this job got: 286%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:11.62
